ERS_grp_num,ERS_grp_size,gene_id,xscripts,contains_which_gtf,flag_nonolp_pair,flag_IR_in_set,num_IR_xscripts,prop_IR,num_ER,min_num_nt_diff,max_num_nt_diff,mean_num_nt_diff,median_num_nt_diff,min_prop_nt_diff,max_prop_nt_diff,mean_prop_nt_diff,median_prop_nt_diff
1,2,FBgn0036816,tr_FBgn0036816_1|tr_FBgn0036816_2,0,0,0,0,0.0,9,97.0,97.0,97.0,97.0,0.037582332429291,0.037582332429291,0.037582332429291,0.037582332429291
2,1,FBgn0036821,tr_FBgn0036821_3,0,0,0,0,0.0,8,64.0,64.0,64.0,64.0,0.018974206937445,0.018974206937445,0.018974206937445,0.018974206937445
3,1,FBgn0036821,tr_FBgn0036821_4,0,0,0,0,0.0,8,64.0,64.0,64.0,64.0,0.018974206937445,0.018974206937445,0.018974206937445,0.018974206937445
4,2,FBgn0036832,tr_FBgn0036832_2|tr_FBgn0036832_1,0,0,0,0,0.0,3,6.0,6.0,6.0,6.0,0.006048387096774,0.006048387096774,0.006048387096774,0.006048387096774
5,1,FBgn0036850,tr_FBgn0036850_1,0,0,0,0,0.0,2,75.0,75.0,75.0,75.0,0.063025210084034,0.063025210084034,0.063025210084034,0.063025210084034
6,1,FBgn0036850,tr_FBgn0036850_2,0,0,0,0,0.0,2,75.0,75.0,75.0,75.0,0.063025210084034,0.063025210084034,0.063025210084034,0.063025210084034
7,2,FBgn0036881,tr_FBgn0036881_2|tr_FBgn0036881_1,0,0,0,0,0.0,5,9.0,80.0,42.25,40.0,0.001988950276243,0.01767955801105,0.009344834082868,0.008855414022089501
8,1,FBgn0036881,tr_FBgn0036881_3,0,0,0,0,0.0,5,71.0,80.0,75.5,75.5,0.015721877767936,0.01767955801105,0.016700717889493,0.016700717889493
9,1,FBgn0036890,tr_FBgn0036890_1,0,0,0,0,0.0,2,595.0,610.0,602.5,602.5,0.245563351217499,0.251754023937268,0.2486586875773835,0.2486586875773835
10,2,FBgn0036890,tr_FBgn0036890_2|tr_FBgn0036890_3,0,0,0,0,0.0,2,15.0,610.0,308.75,305.0,0.008205689277899,0.251754023937268,0.12843218842764126,0.126884520247699
11,2,FBgn0036892,tr_FBgn0036892_2|tr_FBgn0036892_1,0,0,0,0,0.0,9,54.0,54.0,54.0,54.0,0.014357883541611,0.014357883541611,0.014357883541611,0.014357883541611
12,3,FBgn0036896,tr_FBgn0036896_4|tr_FBgn0036896_3|tr_FBgn0036896_2,0,0,0,0,0.0,8,77.0,205.0,142.66666666666666,146.0,0.017563868613139,0.045434397163121,0.03176400203306567,0.032293740322937
13,1,FBgn0036897,tr_FBgn0036897_2,0,0,0,0,0.0,4,1899.0,1899.0,1899.0,1899.0,0.49171413775246,0.49171413775246,0.49171413775246,0.49171413775246
14,1,FBgn0036897,tr_FBgn0036897_3,0,0,0,0,0.0,4,1899.0,1899.0,1899.0,1899.0,0.49171413775246,0.49171413775246,0.49171413775246,0.49171413775246
15,3,FBgn0036899,tr_FBgn0036899_3|tr_FBgn0036899_2|tr_FBgn0036899_1,0,0,0,0,0.0,9,87.0,373.0,268.6666666666667,346.0,0.0271875,0.1165625,0.084611968395376,0.110085905186128
16,2,FBgn0036900,tr_FBgn0036900_2|tr_FBgn0036900_1,0,0,0,0,0.0,5,6.0,68.0,35.5,34.0,0.00194678780013,0.022063595068138,0.0115184944841015,0.011031797534069
17,1,FBgn0036900,tr_FBgn0036900_3,0,0,0,0,0.0,5,62.0,68.0,65.0,65.0,0.020116807268008,0.022063595068138,0.021090201168073003,0.021090201168073003
18,2,FBgn0036909,tr_FBgn0036909_1|tr_FBgn0036909_2,0,0,0,0,0.0,4,11.0,982.0,493.75,491.0,0.016393442622951,0.598051157125457,0.3055475130288932,0.30387272618358246
19,1,FBgn0036909,tr_FBgn0036909_3,0,0,0,0,0.0,3,971.0,982.0,976.5,976.5,0.591352009744214,0.598051157125457,0.5947015834348355,0.5947015834348355
20,1,FBgn0036911,tr_FBgn0036911_1,0,0,0,0,0.0,7,67.0,378.0,193.0,134.0,0.052590266875981,0.24689745264533,0.13453527454647166,0.104118104118104
21,1,FBgn0036911,tr_FBgn0036911_2,0,0,0,0,0.0,7,67.0,311.0,148.33333333333334,67.0,0.052590266875981,0.212431693989071,0.10664666455064567,0.054918032786885
22,2,FBgn0036911,tr_FBgn0036911_4|tr_FBgn0036911_3,0,0,0,0,0.0,7,67.0,378.0,238.33333333333334,270.0,0.054918032786885,0.24689745264533,0.166307542571627,0.189739985945186
23,4,FBgn0036913,tr_FBgn0036913_4|tr_FBgn0036913_2|tr_FBgn0036913_3|tr_FBgn0036913_1,0,0,0,0,0.0,14,9.0,66.0,44.0,57.0,0.001426081445096,0.01045793059737,0.006976269746783333,0.0090382984257085
24,1,FBgn0036915,tr_FBgn0036915_1,0,0,0,0,0.0,2,72.0,72.0,72.0,72.0,0.03347280334728,0.03347280334728,0.03347280334728,0.03347280334728
25,1,FBgn0036915,tr_FBgn0036915_2,0,0,0,0,0.0,2,72.0,72.0,72.0,72.0,0.03347280334728,0.03347280334728,0.03347280334728,0.03347280334728
26,2,FBgn0036921,tr_FBgn0036921_1|tr_FBgn0036921_2,0,0,0,0,0.0,5,98.0,98.0,98.0,98.0,0.063636363636364,0.063636363636364,0.063636363636364,0.063636363636364
27,2,FBgn0036922,tr_FBgn0036922_1|tr_FBgn0036922_2,0,0,0,0,0.0,2,146.0,146.0,146.0,146.0,0.141472868217054,0.141472868217054,0.141472868217054,0.141472868217054
28,2,FBgn0036934,tr_FBgn0036934_2|tr_FBgn0036934_1,0,0,0,0,0.0,3,1875.0,1875.0,1875.0,1875.0,0.395069532237674,0.395069532237674,0.395069532237674,0.395069532237674
29,2,FBgn0036938,tr_FBgn0036938_1|tr_FBgn0036938_2,0,0,0,0,0.0,2,54.0,54.0,54.0,54.0,0.109756097560976,0.109756097560976,0.109756097560976,0.109756097560976
