gene_id,num_sets,min_ER,max_ER,mean_ER,median_ER,min_grp_size,max_grp_size,mean_grp_size,median_grp_size
FBgn0038405,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0038419,2,2,3,2.5,2.5,2,2,2.0,2.0
FBgn0038420,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038421,1,3,3,3.0,3.0,4,4,4.0,4.0
FBgn0038422,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0038423,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0038425,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0038428,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0038429,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0038448,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0038453,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0038461,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038462,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038465,1,11,11,11.0,11.0,2,2,2.0,2.0
FBgn0038469,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0038470,1,13,13,13.0,13.0,3,3,3.0,3.0
FBgn0038475,2,6,6,6.0,6.0,1,2,1.5,1.5
FBgn0038481,1,1,1,1.0,1.0,2,2,2.0,2.0
FBgn0038488,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0038491,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0038492,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0038499,1,7,7,7.0,7.0,2,2,2.0,2.0
FBgn0038504,2,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0038515,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0038516,3,3,4,3.3333333333333335,3.0,1,2,1.3333333333333333,1.0
FBgn0038524,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0038526,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0038532,2,7,8,7.5,7.5,1,3,2.0,2.0
