gene_id,transcript_1,transcript_2,transcript_id,ef_id,ef_chr,ef_start,ef_end,ef_strand,ef_ir_flag,er_id,er_chr,er_start,er_end,er_strand
gene:WBGene00000122,tr_gene:WBGene00000122_1,tr_gene:WBGene00000122_2,tr_gene:WBGene00000122_2,gene:WBGene00000122:ER1:EF1,IV,12123313,12123521,+,0,gene:WBGene00000122:ER1,IV,12123313,12123521,+
gene:WBGene00000122,tr_gene:WBGene00000122_1,tr_gene:WBGene00000122_2,tr_gene:WBGene00000122_2,gene:WBGene00000122:ER2:EF1,IV,12123571,12123691,+,0,gene:WBGene00000122:ER2,IV,12123571,12123691,+
gene:WBGene00000122,tr_gene:WBGene00000122_1,tr_gene:WBGene00000122_2,tr_gene:WBGene00000122_1|tr_gene:WBGene00000122_2,gene:WBGene00000122:ER3:EF1,IV,12123738,12123830,+,0,gene:WBGene00000122:ER3,IV,12123738,12124373,+
gene:WBGene00000122,tr_gene:WBGene00000122_1,tr_gene:WBGene00000122_2,tr_gene:WBGene00000122_2,gene:WBGene00000122:ER3:EF2,IV,12123830,12124246,+,1,gene:WBGene00000122:ER3,IV,12123738,12124373,+
gene:WBGene00000122,tr_gene:WBGene00000122_1,tr_gene:WBGene00000122_2,tr_gene:WBGene00000122_1|tr_gene:WBGene00000122_2,gene:WBGene00000122:ER3:EF3,IV,12124246,12124373,+,0,gene:WBGene00000122:ER3,IV,12123738,12124373,+
gene:WBGene00000122,tr_gene:WBGene00000122_1,tr_gene:WBGene00000122_2,tr_gene:WBGene00000122_1|tr_gene:WBGene00000122_2,gene:WBGene00000122:ER4:EF1,IV,12124423,12124807,+,0,gene:WBGene00000122:ER4,IV,12124423,12124807,+
gene:WBGene00000186,tr_gene:WBGene00000186_1,tr_gene:WBGene00000186_2,tr_gene:WBGene00000186_1|tr_gene:WBGene00000186_2,gene:WBGene00000186:ER1:EF1,IV,12622092,12622525,-,0,gene:WBGene00000186:ER1,IV,12622092,12622537,-
gene:WBGene00000186,tr_gene:WBGene00000186_1,tr_gene:WBGene00000186_2,tr_gene:WBGene00000186_2,gene:WBGene00000186:ER1:EF2,IV,12622525,12622537,-,0,gene:WBGene00000186:ER1,IV,12622092,12622537,-
gene:WBGene00000186,tr_gene:WBGene00000186_1,tr_gene:WBGene00000186_2,tr_gene:WBGene00000186_1|tr_gene:WBGene00000186_2,gene:WBGene00000186:ER2:EF1,IV,12622579,12622824,-,0,gene:WBGene00000186:ER2,IV,12622579,12622824,-
gene:WBGene00000186,tr_gene:WBGene00000186_1,tr_gene:WBGene00000186_2,tr_gene:WBGene00000186_1|tr_gene:WBGene00000186_2,gene:WBGene00000186:ER3:EF1,IV,12623084,12623306,-,0,gene:WBGene00000186:ER3,IV,12623084,12623306,-
gene:WBGene00000186,tr_gene:WBGene00000186_1,tr_gene:WBGene00000186_2,tr_gene:WBGene00000186_1|tr_gene:WBGene00000186_2,gene:WBGene00000186:ER4:EF1,IV,12623655,12624127,-,0,gene:WBGene00000186:ER4,IV,12623655,12624127,-
gene:WBGene00000186,tr_gene:WBGene00000186_1,tr_gene:WBGene00000186_2,tr_gene:WBGene00000186_1|tr_gene:WBGene00000186_2,gene:WBGene00000186:ER5:EF1,IV,12624915,12625448,-,0,gene:WBGene00000186:ER5,IV,12624915,12625448,-
gene:WBGene00000186,tr_gene:WBGene00000186_1,tr_gene:WBGene00000186_2,tr_gene:WBGene00000186_1|tr_gene:WBGene00000186_2,gene:WBGene00000186:ER6:EF1,IV,12626351,12626721,-,0,gene:WBGene00000186:ER6,IV,12626351,12626721,-
gene:WBGene00000186,tr_gene:WBGene00000186_1,tr_gene:WBGene00000186_2,tr_gene:WBGene00000186_1|tr_gene:WBGene00000186_2,gene:WBGene00000186:ER7:EF1,IV,12627508,12627852,-,0,gene:WBGene00000186:ER7,IV,12627508,12627852,-
gene:WBGene00000186,tr_gene:WBGene00000186_1,tr_gene:WBGene00000186_2,tr_gene:WBGene00000186_1|tr_gene:WBGene00000186_2,gene:WBGene00000186:ER8:EF1,IV,12628358,12628679,-,0,gene:WBGene00000186:ER8,IV,12628358,12628679,-
