ujc_id,num_xscripts,junction_string
tr3R_6822498_6822796_1008,1,monoexon_6822498_6822796
tr2R_22137433_22172834_28941,1,2R:22138251:22151654:+|2R:22151695:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171985:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
tr2R_22136968_22172834_28972,1,2R:22137208:22138000:+|2R:22138251:22151654:+|2R:22151695:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171985:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
tr2R_22136968_22172834_28973,1,2R:22137026:22138000:+|2R:22138251:22151654:+|2R:22151695:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171985:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
tr2R_22136968_22172834_28974,1,2R:22137026:22138000:+|2R:22138251:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171259:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
tr3R_16807627_16828105_27235,1,3R:16810061:16810132:-|3R:16810355:16822422:-|3R:16822469:16826051:-|3R:16826307:16827135:-
tr3R_16807627_16829752_27516,1,3R:16810061:16810132:-|3R:16810355:16822422:-|3R:16822469:16826051:-|3R:16826307:16827135:-|3R:16827637:16827739:-|3R:16827897:16828921:-
tr3R_16807214_16830049_27637,2,3R:16810061:16810132:-|3R:16810355:16822422:-|3R:16822469:16826051:-|3R:16826307:16827135:-|3R:16827897:16828921:-
tr3R_16927212_16934242_21946,2,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16932371:-
tr3R_16927212_16944273_26445,4,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16943782:-
tr3R_16927667_16960281_28717,1,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16959972:-
tr3R_16927667_16968574_29306,2,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16963159:-
tr3R_16927212_16972236_29559,1,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16971759:-
tr3L_16622370_16647882_27980,1,3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
