gene_id,er_id,ef_id,ef_chr,ef_start,ef_end,ef_strand,ef_exon_ids,ef_transcript_ids,exons_per_ef,transcripts_per_ef,ef_ir_flag,ea_annotation_frequency
IV:12108000,IV:12108000:ER1,IV:12108000:ER1:EF1,IV,12108671,12109641,-,tr_IV:12108000_1_exon_1,tr_IV:12108000_1,1,1,0,unique
IV:12108000,IV:12108000:ER2,IV:12108000:ER2:EF2,IV,12110104,12110257,-,tr_IV:12108000_1_exon_2,tr_IV:12108000_1,1,1,0,unique
IV:13421000,IV:13421000:ER1,IV:13421000:ER1:EF1,IV,13421813,13422391,+,tr_IV:13421000_1_exon_1,tr_IV:13421000_1,1,1,0,unique
IV:1399000,IV:1399000:ER1,IV:1399000:ER1:EF1,IV,1399118,1400496,+,tr_IV:1399000_1_exon_1,tr_IV:1399000_1,1,1,0,unique
IV:1969000,IV:1969000:ER1,IV:1969000:ER1:EF1,IV,1969736,1969815,+,tr_IV:1969000_1_exon_1,tr_IV:1969000_1,1,1,0,unique
IV:1969000,IV:1969000:ER2,IV:1969000:ER2:EF2,IV,1969943,1970280,+,tr_IV:1969000_1_exon_2,tr_IV:1969000_1,1,1,0,unique
IV:2709000,IV:2709000:ER1,IV:2709000:ER1:EF1,IV,2709941,2710669,-,tr_IV:2709000_1_exon_1,tr_IV:2709000_1,1,1,0,unique
IV:4178000,IV:4178000:ER1,IV:4178000:ER1:EF1,IV,4178462,4178556,+,tr_IV:4178000_1_exon_1,tr_IV:4178000_1,1,1,0,unique
IV:4178000,IV:4178000:ER2,IV:4178000:ER2:EF2,IV,4179262,4179531,+,tr_IV:4178000_1_exon_2,tr_IV:4178000_1,1,1,0,unique
IV:8978000,IV:8978000:ER1,IV:8978000:ER1:EF1,IV,8978822,8979812,-,tr_IV:8978000_1_exon_1,tr_IV:8978000_1,1,1,0,unique
gene:WBGene00000002,gene:WBGene00000002:ER1,gene:WBGene00000002:ER1:EF1,IV,9599081,9599495,-,tr_gene:WBGene00000002_1_exon_1,tr_gene:WBGene00000002_1,1,1,0,unique
gene:WBGene00000002,gene:WBGene00000002:ER2,gene:WBGene00000002:ER2:EF2,IV,9599560,9599653,-,tr_gene:WBGene00000002_1_exon_2,tr_gene:WBGene00000002_1,1,1,0,unique
gene:WBGene00000002,gene:WBGene00000002:ER3,gene:WBGene00000002:ER3:EF3,IV,9599701,9599873,-,tr_gene:WBGene00000002_1_exon_3,tr_gene:WBGene00000002_1,1,1,0,unique
gene:WBGene00000002,gene:WBGene00000002:ER4,gene:WBGene00000002:ER4:EF4,IV,9600001,9600392,-,tr_gene:WBGene00000002_1_exon_4,tr_gene:WBGene00000002_1,1,1,0,unique
gene:WBGene00000002,gene:WBGene00000002:ER5,gene:WBGene00000002:ER5:EF5,IV,9600626,9600780,-,tr_gene:WBGene00000002_1_exon_5,tr_gene:WBGene00000002_1,1,1,0,unique
gene:WBGene00000002,gene:WBGene00000002:ER6,gene:WBGene00000002:ER6:EF6,IV,9600827,9600953,-,tr_gene:WBGene00000002_1_exon_6,tr_gene:WBGene00000002_1,1,1,0,unique
gene:WBGene00000002,gene:WBGene00000002:ER7,gene:WBGene00000002:ER7:EF7,IV,9601039,9601345,-,tr_gene:WBGene00000002_1_exon_7,tr_gene:WBGene00000002_1,1,1,0,unique
gene:WBGene00000002,gene:WBGene00000002:ER8,gene:WBGene00000002:ER8:EF8,IV,9601516,9601695,-,tr_gene:WBGene00000002_1_exon_8,tr_gene:WBGene00000002_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER1,gene:WBGene00000005:ER1:EF1,IV,6272528,6272814,-,tr_gene:WBGene00000005_1_exon_1,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER2,gene:WBGene00000005:ER2:EF2,IV,6272926,6273046,-,tr_gene:WBGene00000005_1_exon_2,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER3,gene:WBGene00000005:ER3:EF3,IV,6273097,6273197,-,tr_gene:WBGene00000005_1_exon_3,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER4,gene:WBGene00000005:ER4:EF4,IV,6273266,6273453,-,tr_gene:WBGene00000005_1_exon_4,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER5,gene:WBGene00000005:ER5:EF5,IV,6273708,6273846,-,tr_gene:WBGene00000005_1_exon_5,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER6,gene:WBGene00000005:ER6:EF6,IV,6273976,6274204,-,tr_gene:WBGene00000005_1_exon_6,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER7,gene:WBGene00000005:ER7:EF7,IV,6274254,6274399,-,tr_gene:WBGene00000005_1_exon_7,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER8,gene:WBGene00000005:ER8:EF8,IV,6274485,6274617,-,tr_gene:WBGene00000005_1_exon_8,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER9,gene:WBGene00000005:ER9:EF9,IV,6274671,6274752,-,tr_gene:WBGene00000005_1_exon_9,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER10,gene:WBGene00000005:ER10:EF10,IV,6274799,6274908,-,tr_gene:WBGene00000005_1_exon_10,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER11,gene:WBGene00000005:ER11:EF11,IV,6275334,6275513,-,tr_gene:WBGene00000005_1_exon_11,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000005,gene:WBGene00000005:ER12,gene:WBGene00000005:ER12:EF12,IV,6275622,6275713,-,tr_gene:WBGene00000005_1_exon_12,tr_gene:WBGene00000005_1,1,1,0,unique
gene:WBGene00000093,gene:WBGene00000093:ER1,gene:WBGene00000093:ER1:EF1,IV,13368435,13368721,-,tr_gene:WBGene00000093_1_exon_1,tr_gene:WBGene00000093_1,1,1,0,unique
gene:WBGene00000093,gene:WBGene00000093:ER2,gene:WBGene00000093:ER2:EF2,IV,13368989,13369124,-,tr_gene:WBGene00000093_1_exon_2,tr_gene:WBGene00000093_1,1,1,0,unique
gene:WBGene00000093,gene:WBGene00000093:ER3,gene:WBGene00000093:ER3:EF3,IV,13369174,13369318,-,tr_gene:WBGene00000093_1_exon_3,tr_gene:WBGene00000093_1,1,1,0,unique
gene:WBGene00000093,gene:WBGene00000093:ER4,gene:WBGene00000093:ER4:EF4,IV,13369361,13369417,-,tr_gene:WBGene00000093_1_exon_4,tr_gene:WBGene00000093_1,1,1,0,unique
gene:WBGene00000109,gene:WBGene00000109:ER1,gene:WBGene00000109:ER1:EF1,IV,11022602,11022731,+,tr_gene:WBGene00000109_1_exon_1,tr_gene:WBGene00000109_1,1,1,0,unique
gene:WBGene00000109,gene:WBGene00000109:ER2,gene:WBGene00000109:ER2:EF2,IV,11022862,11023094,+,tr_gene:WBGene00000109_1_exon_2,tr_gene:WBGene00000109_1,1,1,0,unique
gene:WBGene00000109,gene:WBGene00000109:ER3,gene:WBGene00000109:ER3:EF3,IV,11023140,11023327,+,tr_gene:WBGene00000109_1_exon_3,tr_gene:WBGene00000109_1,1,1,0,unique
