"gene_id","transcript_1","transcript_2","num_junction_T1_only","num_junction_T2_only","num_junction_shared","prop_junction_diff","prop_junction_similar","junction_T1_all","junction_T2_all","junction_T1_only","junction_T2_only","junction_shared","num_ER_T1_only","num_ER_T2_only","num_ER_shared","prop_ER_diff","prop_ER_similar","ER_T1_only","ER_T2_only","ER_shared","num_fragment_T1_only","num_fragment_T2_only","num_fragment_shared","prop_fragment_diff","prop_fragment_similar","fragment_T1_only","fragment_T2_only","fragment_shared","num_fragment_singletons_T1_only","num_fragment_singletons_T2_only","num_fragment_singletons_shared","num_IR_fragment_T1","num_IR_fragment_T2","IR_fragment_T1","IR_fragment_T2","num_nt_shared","num_nt_T1_only","num_nt_T2_only","num_nt_diff","total_nt","prop_nt_diff","prop_nt_similar","num_nt_T1_only_in_shared_ER","num_nt_T2_only_in_shared_ER","num_nt_shared_in_shared_ER","total_nt_in_shared_ER","prop_nt_diff_in_shared_ER","prop_nt_similar_in_shared_ER","num_nt_T1_only_in_unique_ER","num_nt_T2_only_in_unique_ER","flag_FSM","flag_T1_ISM_of_T2","flag_T2_ISM_of_T1","flag_IR","flag_5_variation","flag_3_variation","flag_alt_donor_acceptor","flag_alt_exon","flag_no_shared_nt","num_transcript_in_gene_mel_isoseq3cluster","num_transcript_in_gene_mel_FLAIR","flag_mel_isoseq3cluster_greater","flag_mel_FLAIR_greater","flag_match","transcript_in_gene","min_match_mel_isoseq3cluster","flag_min_match_mel_isoseq3cluster","min_match_mel_FLAIR","flag_min_match_mel_FLAIR","flag_recip_min_match","num_recip_min_match_in_gene","flag_mel_isoseq3cluster_tie","flag_mel_FLAIR_tie","mel_isoseq3cluster_distance_ties","mel_FLAIR_distance_ties","flag_identical_recip_min_match","flag_FSM_recip_min_match","flag_ERM_recip_min_match","flag_ERM_noIR_recip_min_match","flag_ERM_withIR_recip_min_match","num_identical_recip_min_match_in_gene","num_FSM_recip_min_match_in_gene","num_ERM_recip_min_match_in_gene","num_ERM_noIR_recip_min_match_in_gene","num_ERM_withIR_recip_min_match_in_gene","prop_identical_recip_min_match_in_gene","prop_FSM_recip_min_match_in_gene","prop_ERM_recip_min_match_in_gene","prop_ERM_noIR_recip_min_match_in_gene","prop_ERM_withIR_recip_min_match_in_gene","flag_no_shared_nt_recip_min_match","flag_alt_exon_recip_min_match","flag_alt_donor_acceptor_recip_min_match","flag_IR_recip_min_match","flag_5_variation_recip_min_match","flag_3_variation_recip_min_match","recip_min_pair_in_gene","flag_min_match_mel_isoseq3cluster_w_ties","flag_min_match_mel_FLAIR_w_ties","flag_recip_min_match_w_ties","num_recip_min_match_in_gene_w_ties","flag_identical_recip_min_match_w_ties","flag_FSM_recip_min_match_w_ties","flag_ERM_recip_min_match_w_ties","flag_ERM_noIR_recip_min_match_w_ties","flag_ERM_withIR_recip_min_match_w_ties","num_identical_recip_min_match_in_gene_w_ties","num_FSM_recip_min_match_in_gene_w_ties","num_ERM_recip_min_match_in_gene_w_ties","num_ERM_noIR_recip_min_match_in_gene_w_ties","prop_identical_recip_min_match_in_gene_w_ties","prop_FSM_recip_min_match_in_gene_w_ties","prop_ERM_recip_min_match_in_gene_w_ties","prop_ERM_noIR_recip_min_match_in_gene_w_ties","num_ERM_withIR_recip_min_match_in_gene_w_ties","prop_ERM_withIR_recip_min_match_in_gene_w_ties","recip_min_pair_in_gene_w_ties"
"FBgn0266579","T1_isoseq","T1_flair",0,0,5,0,1,"3R:27641484:27645234:-|3R:27645400:27646050:-|3R:27646233:27646345:-|3R:27646515:27647574:-|3R:27647598:27656215:-","3R:27641484:27645234:-|3R:27645400:27646050:-|3R:27646233:27646345:-|3R:27646515:27647574:-|3R:27647598:27656215:-",,,"3R:27641484:27645234:-|3R:27645400:27646050:-|3R:27646233:27646345:-|3R:27646515:27647574:-|3R:27647598:27656215:-",0,0,6,0,1,,,"3R:27640678:27641494:-|3R:27645224:27645410:-|3R:27646040:27646243:-|3R:27646335:27646525:-|3R:27647564:27647608:-|3R:27656205:27656810:-",0,0,6,0,1,,,"3R:27640678:27641494:-|3R:27645224:27645410:-|3R:27646040:27646243:-|3R:27646335:27646525:-|3R:27647564:27647608:-|3R:27656205:27656810:-",0,0,6,0,0,,,2044,0,0,0,2044,0,1,0,0,2044,2044,0,1,0,0,1,0,0,0,0,0,0,0,0,9,8,1,0,0,"mel_isoseq3cluster_greater","T1_flair",1,"T1_isoseq",1,1,6,0,0,"T1_flair","T1_isoseq",1,1,1,1,0,2,6,6,6,0,0.333333333333333,1,1,1,0,0,0,0,0,0,0,"partial_reciprocal_pairs",1,1,1,6,1,1,1,1,0,2,6,6,6,0,0.333333333333333,1,1,1,0,"partial_reciprocal_pairs"
"FBgn0266579","T2_isoseq","mel_flair_FBgn0266579_2_mel_FLAIR",0,0,7,0,1,"3R:27642928:27643824:-|3R:27643963:27644414:-|3R:27644412:27645234:-|3R:27645400:27646050:-|3R:27646233:27646345:-|3R:27646515:27647574:-|3R:27647598:27656215:-","3R:27642928:27643824:-|3R:27643963:27644414:-|3R:27644412:27645234:-|3R:27645400:27646050:-|3R:27646233:27646345:-|3R:27646515:27647574:-|3R:27647598:27656215:-",,,"3R:27642928:27643824:-|3R:27643963:27644414:-|3R:27644412:27645234:-|3R:27645400:27646050:-|3R:27646233:27646345:-|3R:27646515:27647574:-|3R:27647598:27656215:-",0,0,8,0,1,,,"3R:27642316:27642938:-|3R:27643814:27643973:-|3R:27644404:27644422:-|3R:27645224:27645410:-|3R:27646040:27646243:-|3R:27646335:27646525:-|3R:27647564:27647608:-|3R:27656205:27656810:-",0,0,8,0,1,,,"3R:27642316:27642938:-|3R:27643814:27643973:-|3R:27644404:27644422:-|3R:27645224:27645410:-|3R:27646040:27646243:-|3R:27646335:27646525:-|3R:27647564:27647608:-|3R:27656205:27656810:-",0,0,8,0,0,,,2027,0,0,0,2027,0,1,0,0,2027,2027,0,1,0,0,1,0,0,0,0,0,0,0,0,9,8,1,0,0,"mel_isoseq3cluster_greater","mel_flair_FBgn0266579_2_mel_FLAIR",1,"T2_isoseq",1,1,6,0,0,"mel_flair_FBgn0266579_2_mel_FLAIR","T2_isoseq",1,1,1,1,0,2,6,6,6,0,0.333333333333333,1,1,1,0,0,0,0,0,0,0,"partial_reciprocal_pairs",1,1,1,6,1,1,1,1,0,2,6,6,6,0,0.333333333333333,1,1,1,0,"partial_reciprocal_pairs"
"FBgn0263994","T3_isoseq","mel_flair_FBgn0263994_1_mel_FLAIR",0,0,2,0,1,"X:15175541:15175820:+|X:15175989:15177702:+","X:15175541:15175820:+|X:15175989:15177702:+",,,"X:15175541:15175820:+|X:15175989:15177702:+",0,0,3,0,1,,,"X:15175439:15175551:+|X:15175810:15175999:+|X:15177692:15177832:+",0,0,3,0,1,,,"X:15175439:15175551:+|X:15175810:15175999:+|X:15177692:15177832:+",0,0,3,0,0,,,441,0,0,0,441,0,1,0,0,441,441,0,1,0,0,1,0,0,0,0,0,0,0,0,6,5,1,0,0,"mel_isoseq3cluster_greater","mel_flair_FBgn0263994_1_mel_FLAIR",1,"T3_isoseq",1,1,3,0,0,"mel_flair_FBgn0263994_1_mel_FLAIR","T3_isoseq",1,1,1,1,0,1,3,3,3,0,0.333333333333333,1,1,1,0,0,0,0,0,0,0,"partial_reciprocal_pairs",1,1,1,3,1,1,1,1,0,1,3,3,3,0,0.333333333333333,1,1,1,0,"partial_reciprocal_pairs"
"FBgn0051660","T4_isoseq","mel_flair_FBgn0051660_4_mel_FLAIR",0,0,13,0,1,"2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873881:+|2L:4873989:4874067:+|2L:4874159:4874896:+","2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873881:+|2L:4873989:4874067:+|2L:4874159:4874896:+",,,"2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873881:+|2L:4873989:4874067:+|2L:4874159:4874896:+",0,0,14,0,1,,,"2L:4852894:4853016:+|2L:4854397:4854728:+|2L:4865147:4866130:+|2L:4870477:4870717:+|2L:4870777:4870836:+|2L:4871075:4871195:+|2L:4871257:4871338:+|2L:4871415:4871764:+|2L:4871824:4871893:+|2L:4871954:4872356:+|2L:4872498:4872693:+|2L:4873871:4873999:+|2L:4874057:4874169:+|2L:4874886:4875233:+",0,0,14,0,1,,,"2L:4852894:4853016:+|2L:4854397:4854728:+|2L:4865147:4866130:+|2L:4870477:4870717:+|2L:4870777:4870836:+|2L:4871075:4871195:+|2L:4871257:4871338:+|2L:4871415:4871764:+|2L:4871824:4871893:+|2L:4871954:4872356:+|2L:4872498:4872693:+|2L:4873871:4873999:+|2L:4874057:4874169:+|2L:4874886:4875233:+",0,0,14,0,0,,,3538,0,0,0,3538,0,1,0,0,3538,3538,0,1,0,0,1,0,0,0,0,0,0,0,0,5,5,0,0,1,"match","mel_flair_FBgn0051660_4_mel_FLAIR",1,"T4_isoseq",1,1,4,0,0,"mel_flair_FBgn0051660_4_mel_FLAIR","T4_isoseq",1,1,1,1,0,4,4,4,4,0,1,1,1,1,0,0,0,0,0,0,0,"partial_reciprocal_pairs",1,1,1,4,1,1,1,1,0,4,4,4,4,0,1,1,1,1,0,"partial_reciprocal_pairs"
"FBgn0051660","T5_isoseq","mel_flair_FBgn0051660_3_mel_FLAIR",0,0,14,0,1,"2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873881:+|2L:4873989:4874067:+|2L:4874159:4874551:+|2L:4874552:4874896:+","2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873881:+|2L:4873989:4874067:+|2L:4874159:4874551:+|2L:4874552:4874896:+",,,"2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873881:+|2L:4873989:4874067:+|2L:4874159:4874551:+|2L:4874552:4874896:+",0,0,15,0,1,,,"2L:4852894:4853016:+|2L:4854397:4854728:+|2L:4865147:4866130:+|2L:4870477:4870717:+|2L:4870777:4870836:+|2L:4871075:4871195:+|2L:4871257:4871338:+|2L:4871415:4871764:+|2L:4871824:4871893:+|2L:4871954:4872356:+|2L:4872498:4872693:+|2L:4873871:4873999:+|2L:4874057:4874169:+|2L:4874541:4874562:+|2L:4874886:4875233:+",0,0,15,0,1,,,"2L:4852894:4853016:+|2L:4854397:4854728:+|2L:4865147:4866130:+|2L:4870477:4870717:+|2L:4870777:4870836:+|2L:4871075:4871195:+|2L:4871257:4871338:+|2L:4871415:4871764:+|2L:4871824:4871893:+|2L:4871954:4872356:+|2L:4872498:4872693:+|2L:4873871:4873999:+|2L:4874057:4874169:+|2L:4874541:4874562:+|2L:4874886:4875233:+",0,0,15,0,0,,,3559,0,0,0,3559,0,1,0,0,3559,3559,0,1,0,0,1,0,0,0,0,0,0,0,0,5,5,0,0,1,"match","mel_flair_FBgn0051660_3_mel_FLAIR",1,"T5_isoseq",1,1,4,0,0,"mel_flair_FBgn0051660_3_mel_FLAIR","T5_isoseq",1,1,1,1,0,4,4,4,4,0,1,1,1,1,0,0,0,0,0,0,0,"partial_reciprocal_pairs",1,1,1,4,1,1,1,1,0,4,4,4,4,0,1,1,1,1,0,"partial_reciprocal_pairs"
"FBgn0051660","T6_isoseq","mel_flair_FBgn0051660_2_mel_FLAIR",0,0,13,0,1,"2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873827:+|2L:4873989:4874067:+|2L:4874159:4874896:+","2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873827:+|2L:4873989:4874067:+|2L:4874159:4874896:+",,,"2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873827:+|2L:4873989:4874067:+|2L:4874159:4874896:+",0,0,14,0,1,,,"2L:4852894:4853016:+|2L:4854397:4854728:+|2L:4865147:4866130:+|2L:4870477:4870717:+|2L:4870777:4870836:+|2L:4871075:4871195:+|2L:4871257:4871338:+|2L:4871415:4871764:+|2L:4871824:4871893:+|2L:4871954:4872356:+|2L:4872498:4872693:+|2L:4873817:4873999:+|2L:4874057:4874169:+|2L:4874886:4875233:+",0,0,14,0,1,,,"2L:4852894:4853016:+|2L:4854397:4854728:+|2L:4865147:4866130:+|2L:4870477:4870717:+|2L:4870777:4870836:+|2L:4871075:4871195:+|2L:4871257:4871338:+|2L:4871415:4871764:+|2L:4871824:4871893:+|2L:4871954:4872356:+|2L:4872498:4872693:+|2L:4873817:4873999:+|2L:4874057:4874169:+|2L:4874886:4875233:+",0,0,14,0,0,,,3592,0,0,0,3592,0,1,0,0,3592,3592,0,1,0,0,1,0,0,0,0,0,0,0,0,5,5,0,0,1,"match","mel_flair_FBgn0051660_2_mel_FLAIR",1,"T6_isoseq",1,1,4,0,0,"mel_flair_FBgn0051660_2_mel_FLAIR","T6_isoseq",1,1,1,1,0,4,4,4,4,0,1,1,1,1,0,0,0,0,0,0,0,"partial_reciprocal_pairs",1,1,1,4,1,1,1,1,0,4,4,4,4,0,1,1,1,1,0,"partial_reciprocal_pairs"
"FBgn0051660","T7_isoseq","mel_flair_FBgn0051660_1_mel_FLAIR",0,0,14,0,1,"2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873827:+|2L:4873989:4874067:+|2L:4874159:4874551:+|2L:4874552:4874896:+","2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873827:+|2L:4873989:4874067:+|2L:4874159:4874551:+|2L:4874552:4874896:+",,,"2L:4853006:4854407:+|2L:4854718:4865157:+|2L:4866120:4870487:+|2L:4870707:4870787:+|2L:4870826:4871085:+|2L:4871185:4871267:+|2L:4871328:4871425:+|2L:4871754:4871834:+|2L:4871883:4871964:+|2L:4872346:4872508:+|2L:4872683:4873827:+|2L:4873989:4874067:+|2L:4874159:4874551:+|2L:4874552:4874896:+",0,0,15,0,1,,,"2L:4852894:4853016:+|2L:4854397:4854728:+|2L:4865147:4866130:+|2L:4870477:4870717:+|2L:4870777:4870836:+|2L:4871075:4871195:+|2L:4871257:4871338:+|2L:4871415:4871764:+|2L:4871824:4871893:+|2L:4871954:4872356:+|2L:4872498:4872693:+|2L:4873817:4873999:+|2L:4874057:4874169:+|2L:4874541:4874562:+|2L:4874886:4875233:+",0,0,15,0,1,,,"2L:4852894:4853016:+|2L:4854397:4854728:+|2L:4865147:4866130:+|2L:4870477:4870717:+|2L:4870777:4870836:+|2L:4871075:4871195:+|2L:4871257:4871338:+|2L:4871415:4871764:+|2L:4871824:4871893:+|2L:4871954:4872356:+|2L:4872498:4872693:+|2L:4873817:4873999:+|2L:4874057:4874169:+|2L:4874541:4874562:+|2L:4874886:4875233:+",0,0,15,0,0,,,3613,0,0,0,3613,0,1,0,0,3613,3613,0,1,0,0,1,0,0,0,0,0,0,0,0,5,5,0,0,1,"match","mel_flair_FBgn0051660_1_mel_FLAIR",1,"T7_isoseq",1,1,4,0,0,"mel_flair_FBgn0051660_1_mel_FLAIR","T7_isoseq",1,1,1,1,0,4,4,4,4,0,1,1,1,1,0,0,0,0,0,0,0,"partial_reciprocal_pairs",1,1,1,4,1,1,1,1,0,4,4,4,4,0,1,1,1,1,0,"partial_reciprocal_pairs"
"FBgn0051363","mel_isoseq3cluster_FBgn0051363_15_mel_isoseq3cluster","mel_flair_FBgn0051363_15_mel_FLAIR",0,0,3,0,1,"3R:11591297:11592376:-|3R:11592614:11593642:-|3R:11593756:11619713:-","3R:11591297:11592376:-|3R:11592614:11593642:-|3R:11593756:11619713:-",,,"3R:11591297:11592376:-|3R:11592614:11593642:-|3R:11593756:11619713:-",0,0,4,0,1,,,"3R:11590385:11591307:-|3R:11592366:11592624:-|3R:11593632:11593766:-|3R:11619703:11619903:-",0,0,4,0,1,,,"3R:11590385:11591307:-|3R:11592366:11592624:-|3R:11593632:11593766:-|3R:11619703:11619903:-",0,0,4,0,0,,,1514,0,0,0,1514,0,1,0,0,1514,1514,0,1,0,0,1,0,0,0,0,0,0,0,0,15,15,0,0,1,"match","mel_flair_FBgn0051363_15_mel_FLAIR",1,"mel_isoseq3cluster_FBgn0051363_15_mel_isoseq3cluster",1,1,10,0,0,"mel_flair_FBgn0051363_15_mel_FLAIR","mel_isoseq3cluster_FBgn0051363_15_mel_isoseq3cluster",1,1,1,1,0,2,10,10,10,0,0.2,1,1,1,0,0,0,0,0,0,0,"partial_reciprocal_pairs",1,1,1,10,1,1,1,1,0,2,10,10,10,0,0.2,1,1,1,0,"partial_reciprocal_pairs"
"FBgn0051363","mel_isoseq3cluster_FBgn0051363_13_mel_isoseq3cluster","mel_flair_FBgn0051363_11_mel_FLAIR",0,0,5,0,1,"3R:11591297:11592004:-|3R:11592002:11592376:-|3R:11592614:11593331:-|3R:11593344:11593642:-|3R:11593756:11619713:-","3R:11591297:11592004:-|3R:11592002:11592376:-|3R:11592614:11593331:-|3R:11593344:11593642:-|3R:11593756:11619713:-",,,"3R:11591297:11592004:-|3R:11592002:11592376:-|3R:11592614:11593331:-|3R:11593344:11593642:-|3R:11593756:11619713:-",0,0,6,0,1,,,"3R:11590385:11591307:-|3R:11591994:11592012:-|3R:11592366:11592624:-|3R:11593321:11593354:-|3R:11593632:11593766:-|3R:11619703:11619903:-",0,0,6,0,1,,,"3R:11590385:11591307:-|3R:11591994:11592012:-|3R:11592366:11592624:-|3R:11593321:11593354:-|3R:11593632:11593766:-|3R:11619703:11619903:-",0,0,6,0,0,,,1565,0,0,0,1565,0,1,0,0,1565,1565,0,1,0,0,1,0,0,0,0,0,0,0,0,15,15,0,0,1,"match","mel_flair_FBgn0051363_11_mel_FLAIR",1,"mel_isoseq3cluster_FBgn0051363_13_mel_isoseq3cluster",1,1,10,0,0,"mel_flair_FBgn0051363_11_mel_FLAIR","mel_isoseq3cluster_FBgn0051363_13_mel_isoseq3cluster",1,1,1,1,0,2,10,10,10,0,0.2,1,1,1,0,0,0,0,0,0,0,"partial_reciprocal_pairs",1,1,1,10,1,1,1,1,0,2,10,10,10,0,0.2,1,1,1,0,"partial_reciprocal_pairs"
"FBgn0038610","mel_isoseq3cluster_FBgn0038610_3_mel_isoseq3cluster","mel_flair_FBgn0038610_3_mel_FLAIR",0,0,2,0,1,"3R:18378957:18379235:-|3R:18379354:18381089:-","3R:18378957:18379235:-|3R:18379354:18381089:-",,,"3R:18378957:18379235:-|3R:18379354:18381089:-",0,0,3,0,1,,,"3R:18378123:18378967:-|3R:18379225:18379364:-|3R:18381079:18381172:-",0,0,3,0,1,,,"3R:18378123:18378967:-|3R:18379225:18379364:-|3R:18381079:18381172:-",0,0,3,0,0,,,1076,0,0,0,1076,0,1,0,0,1076,1076,0,1,0,0,1,0,0,0,0,0,0,0,0,4,3,1,0,0,"mel_isoseq3cluster_greater","mel_flair_FBgn0038610_3_mel_FLAIR",1,"mel_isoseq3cluster_FBgn0038610_3_mel_isoseq3cluster",1,1,3,0,0,"mel_flair_FBgn0038610_3_mel_FLAIR","mel_isoseq3cluster_FBgn0038610_3_mel_isoseq3cluster",1,1,1,1,0,2,3,3,3,0,0.666666666666667,1,1,1,0,0,0,0,0,0,0,"reciprocal_pairs",1,1,1,3,1,1,1,1,0,2,3,3,3,0,0.666666666666667,1,1,1,0,"reciprocal_pairs"
