,gene_id,ujc_id,transcript_id,num_transcript_in_consol_transcript,num_transcript_id_in_gene,num_consol_transcript_id_in_gene,flag_gene_consolidated
0,FBgn0000003,tr_FBgn0000003_1,FBtr0081624,1,1,1,0
1,FBgn0000022,tr_FBgn0000022_1,FBtr0070072,1,1,1,0
2,FBgn0000046,tr_FBgn0000046_1,FBtr0082786,1,3,2,1
3,FBgn0000077,tr_FBgn0000077_1,FBtr0307281,2,2,1,1
3,FBgn0000077,tr_FBgn0000077_1,FBtr0071331,2,2,1,1
4,FBgn0000078,tr_FBgn0000078_1,FBtr0086983,1,1,1,0
5,FBgn0000079,tr_FBgn0000079_1,FBtr0345521,2,2,1,1
5,FBgn0000079,tr_FBgn0000079_1,FBtr0087004,2,2,1,1
6,FBgn0000116,tr_FBgn0000116_1,FBtr0345030,1,7,7,0
7,FBgn0000137,tr_FBgn0000137_1,FBtr0070075,1,1,1,0
8,FBgn0000181,tr_FBgn0000181_1,FBtr0087783,1,2,2,0
9,FBgn0000216,tr_FBgn0000216_1,FBtr0075621,1,1,1,0
10,FBgn0000221,tr_FBgn0000221_1,FBtr0070638,1,1,1,0
11,FBgn0000244,tr_FBgn0000244_3,FBtr0301093,1,3,3,0
12,FBgn0000411,tr_FBgn0000411_2,FBtr0333035,1,4,3,1
13,FBgn0000411,tr_FBgn0000411_1,FBtr0333034,1,4,3,1
14,FBgn0000426,tr_FBgn0000426_1,FBtr0088010,1,1,1,0
15,FBgn0000455,tr_FBgn0000455_1,FBtr0082597,1,2,2,0
16,FBgn0000455,tr_FBgn0000455_2,FBtr0344982,1,2,2,0
17,FBgn0000499,tr_FBgn0000499_1,FBtr0073454,1,1,1,0
18,FBgn0000500,tr_FBgn0000500_1,FBtr0078989,1,1,1,0
19,FBgn0000566,tr_FBgn0000566_1,FBtr0086710,1,2,2,0
20,FBgn0000566,tr_FBgn0000566_2,FBtr0345422,1,2,2,0
21,FBgn0000591,tr_FBgn0000591_1,FBtr0084961,1,1,1,0
22,FBgn0000618,tr_FBgn0000618_1,FBtr0073540,1,1,1,0
23,FBgn0000639,tr_FBgn0000639_2,FBtr0075750,1,3,3,0
24,FBgn0000658,tr_FBgn0000658_1,FBtr0086754,1,1,1,0
25,FBgn0000659,tr_FBgn0000659_4,FBtr0345227,1,5,4,1
26,FBgn0000659,tr_FBgn0000659_1,FBtr0300259,1,5,4,1
27,FBgn0000659,tr_FBgn0000659_2,FBtr0330333,1,5,4,1
28,FBgn0000659,tr_FBgn0000659_3,FBtr0346765,2,5,4,1
28,FBgn0000659,tr_FBgn0000659_3,FBtr0085321,2,5,4,1
29,FBgn0000826,tr_FBgn0000826_1,FBtr0070234,1,1,1,0
30,FBgn0000964,tr_FBgn0000964_1,FBtr0301669,2,2,1,1
30,FBgn0000964,tr_FBgn0000964_1,FBtr0329891,2,2,1,1
31,FBgn0001090,tr_FBgn0001090_2,FBtr0074658,1,4,4,0
32,FBgn0001091,tr_FBgn0001091_1,FBtr0100479,2,2,1,1
32,FBgn0001091,tr_FBgn0001091_1,FBtr0088903,2,2,1,1
