gene_id,num_sets,min_ER,max_ER,mean_ER,median_ER,min_grp_size,max_grp_size,mean_grp_size,median_grp_size
XLOC_019285,1,1,1,1.0,1.0,3,3,3.0,3.0
XLOC_019271,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_019257,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_017440,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_017405,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_017386,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_015641,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_015628,2,1,1,1.0,1.0,1,2,1.5,1.5
XLOC_014806,7,4,6,5.142857142857143,5.0,1,2,1.4285714285714286,1.0
XLOC_011815,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_011155,2,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_010891,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_010108,2,1,2,1.5,1.5,1,2,1.5,1.5
XLOC_009899,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_009127,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_009097,4,1,2,1.25,1.0,1,2,1.25,1.0
XLOC_009065,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_009058,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_008732,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_007541,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_007278,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_005521,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004966,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003636,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003615,2,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003194,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_002903,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_001643,1,1,1,1.0,1.0,2,2,2.0,2.0
FBgn0285991,12,2,6,4.0,4.0,1,5,1.4166666666666667,1.0
FBgn0285963,5,3,13,7.6,6.0,1,2,1.2,1.0
FBgn0285962,1,4,4,4.0,4.0,4,4,4.0,4.0
FBgn0285958,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0285943,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0285925,44,2,18,9.090909090909092,8.0,1,11,1.5,1.0
FBgn0285912,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0285911,1,9,9,9.0,9.0,2,2,2.0,2.0
FBgn0284421,1,9,9,9.0,9.0,8,8,8.0,8.0
FBgn0284257,11,2,11,5.636363636363637,5.0,1,6,1.5454545454545454,1.0
FBgn0284252,4,2,5,3.5,3.5,1,2,1.25,1.0
FBgn0284249,1,4,4,4.0,4.0,5,5,5.0,5.0
FBgn0284246,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0284245,4,1,2,1.5,1.5,1,39,11.5,3.0
FBgn0284243,2,2,2,2.0,2.0,1,9,5.0,5.0
FBgn0284235,4,6,12,9.25,9.5,1,2,1.25,1.0
FBgn0284221,2,5,12,8.5,8.5,1,2,1.5,1.5
FBgn0284084,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0284082,1,1,1,1.0,1.0,2,2,2.0,2.0
FBgn0283682,3,2,7,5.0,6.0,1,2,1.3333333333333333,1.0
FBgn0283681,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0283680,7,3,6,4.857142857142857,5.0,1,5,1.8571428571428572,1.0
FBgn0283658,7,2,7,4.142857142857143,4.0,1,16,3.142857142857143,1.0
FBgn0283657,3,2,3,2.3333333333333335,2.0,1,4,2.6666666666666665,3.0
FBgn0283652,1,5,5,5.0,5.0,3,3,3.0,3.0
FBgn0283651,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0283625,1,2,2,2.0,2.0,3,3,3.0,3.0
FBgn0283521,34,2,8,5.617647058823529,6.0,1,2,1.3823529411764706,1.0
FBgn0283499,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0283480,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0283477,2,2,3,2.5,2.5,1,4,2.5,2.5
FBgn0283471,15,1,10,5.666666666666667,6.0,1,2,1.2,1.0
FBgn0283468,4,4,8,5.75,5.5,1,2,1.25,1.0
FBgn0283467,1,1,1,1.0,1.0,2,2,2.0,2.0
FBgn0283438,3,3,5,4.333333333333333,5.0,1,2,1.6666666666666667,2.0
FBgn0278608,2,2,6,4.0,4.0,1,4,2.5,2.5
FBgn0278604,1,3,3,3.0,3.0,2,2,2.0,2.0
