gene_id,xscript_model_id,ERG_num,flag_nonolp_pair,nonolp_xscript_id,num_ER
FBgn0038405,FBtr0100110,1,0,,2
FBgn0038405,FBtr0344472,1,0,,2
FBgn0038419,FBtr0083325,2,0,,2
FBgn0038419,FBtr0083326,2,0,,2
FBgn0038419,FBtr0334733,3,0,,3
FBgn0038419,FBtr0345255,3,0,,3
FBgn0038420,FBtr0083324,4,0,,4
FBgn0038420,FBtr0345202,4,0,,4
FBgn0038421,FBtr0083323,5,1,FBtr0332177,3
FBgn0038421,FBtr0345208,5,0,,3
FBgn0038421,FBtr0392900,5,1,FBtr0332177,3
FBgn0038421,FBtr0332177,5,1,FBtr0392900|FBtr0083323,3
FBgn0038422,FBtr0083320,6,0,,5
FBgn0038422,FBtr0083321,6,0,,5
FBgn0038423,FBtr0300677,7,0,,3
FBgn0038423,FBtr0300678,7,0,,3
FBgn0038425,FBtr0083287,8,0,,3
FBgn0038425,FBtr0083288,8,0,,3
FBgn0038428,FBtr0083314,9,0,,2
FBgn0038428,FBtr0337016,9,0,,2
FBgn0038429,FBtr0083289,10,0,,2
FBgn0038429,FBtr0337015,10,0,,2
FBgn0038448,FBtr0331687,11,0,,6
FBgn0038448,FBtr0331688,11,0,,6
FBgn0038453,FBtr0083336,12,0,,3
FBgn0038453,FBtr0333728,12,0,,3
FBgn0038461,FBtr0083376,13,0,,4
FBgn0038461,FBtr0337064,13,0,,4
FBgn0038462,FBtr0083375,14,0,,4
FBgn0038462,FBtr0337063,14,0,,4
FBgn0038465,FBtr0083371,15,0,,11
FBgn0038465,FBtr0337060,15,0,,11
FBgn0038469,FBtr0305130,16,0,,5
FBgn0038469,FBtr0337062,16,0,,5
FBgn0038470,FBtr0305129,17,0,,13
FBgn0038470,FBtr0339156,17,0,,13
FBgn0038470,FBtr0339157,17,0,,13
FBgn0038475,FBtr0083422,18,0,,6
FBgn0038475,FBtr0083424,18,0,,6
FBgn0038481,FBtr0083417,19,0,,1
FBgn0038481,FBtr0346149,19,0,,1
FBgn0038488,FBtr0083414,20,0,,6
FBgn0038488,FBtr0337043,20,0,,6
FBgn0038491,FBtr0083410,21,0,,2
FBgn0038491,FBtr0337042,21,0,,2
FBgn0038492,FBtr0334402,22,0,,6
FBgn0038492,FBtr0334403,22,0,,6
FBgn0038499,FBtr0083452,23,0,,7
FBgn0038499,FBtr0302317,23,0,,7
FBgn0038504,FBtr0083447,24,0,,3
FBgn0038504,FBtr0339531,24,0,,3
FBgn0038504,FBtr0083448,25,0,,3
FBgn0038504,FBtr0339532,25,0,,3
FBgn0038515,FBtr0083505,26,0,,4
FBgn0038515,FBtr0321266,26,0,,4
FBgn0038516,FBtr0083454,27,0,,3
FBgn0038516,FBtr0083455,27,0,,3
FBgn0038524,FBtr0083462,28,0,,5
FBgn0038524,FBtr0305308,28,0,,5
FBgn0038526,FBtr0083465,29,0,,2
FBgn0038526,FBtr0345206,29,0,,2
FBgn0038532,FBtr0083476,30,0,,7
FBgn0038532,FBtr0331347,30,0,,7
FBgn0038532,FBtr0344347,30,0,,7
FBgn0038535,FBtr0089412,31,0,,6
FBgn0038535,FBtr0089413,31,0,,6
FBgn0038535,FBtr0089417,31,0,,6
FBgn0038539,FBtr0083533,32,0,,1
FBgn0038539,FBtr0346730,32,0,,1
FBgn0038541,FBtr0332174,33,0,,6
FBgn0038541,FBtr0344630,33,0,,6
FBgn0038542,FBtr0083532,34,0,,6
FBgn0038542,FBtr0346161,34,0,,6
FBgn0038545,FBtr0083513,35,0,,5
FBgn0038545,FBtr0305007,35,0,,5
FBgn0038547,FBtr0083528,36,0,,5
FBgn0038547,FBtr0347216,36,0,,5
FBgn0038558,FBtr0083519,37,0,,1
FBgn0038558,FBtr0308497,37,0,,1
FBgn0038569,FBtr0083623,38,0,,3
FBgn0038569,FBtr0344646,38,0,,3
FBgn0038576,FBtr0083557,39,0,,2
FBgn0038576,FBtr0336468,39,0,,2
FBgn0038590,FBtr0083605,40,0,,1
FBgn0038590,FBtr0347215,40,0,,1
FBgn0038603,FBtr0083590,41,1,FBtr0083592,8
FBgn0038603,FBtr0083591,41,0,,8
FBgn0038603,FBtr0330312,41,0,,8
FBgn0038603,FBtr0330313,41,1,FBtr0083592,8
FBgn0038603,FBtr0083592,41,1,FBtr0083590|FBtr0330313,8
FBgn0038608,FBtr0083586,42,0,,7
FBgn0038608,FBtr0302307,42,0,,7
FBgn0038608,FBtr0339976,42,0,,7
FBgn0038610,FBtr0083581,43,0,,3
FBgn0038610,FBtr0083583,43,0,,3
FBgn0038610,FBtr0083582,44,0,,4
FBgn0038610,FBtr0344550,44,0,,4
FBgn0038619,FBtr0083630,45,0,,3
FBgn0038619,FBtr0333830,45,0,,3
FBgn0038630,FBtr0083634,46,0,,1
FBgn0038630,FBtr0083636,46,0,,1
FBgn0038630,FBtr0305956,46,0,,2
FBgn0038638,FBtr0083664,47,0,,3
FBgn0038638,FBtr0083665,47,0,,3
FBgn0038639,FBtr0083688,48,0,,3
FBgn0038639,FBtr0083689,48,0,,3
FBgn0038641,FBtr0083668,49,0,,6
FBgn0038641,FBtr0083669,49,0,,6
FBgn0038642,FBtr0083687,50,0,,4
FBgn0038642,FBtr0345269,50,0,,4
FBgn0038651,FBtr0273382,51,0,,15
FBgn0038651,FBtr0305051,51,0,,15
FBgn0038652,FBtr0083678,52,0,,11
FBgn0038652,FBtr0301199,52,0,,11
FBgn0038653,FBtr0083677,53,0,,3
FBgn0038653,FBtr0330029,53,0,,3
FBgn0038653,FBtr0332809,53,0,,3
FBgn0038654,FBtr0083695,54,0,,2
FBgn0038654,FBtr0334521,54,0,,2
FBgn0038659,FBtr0083698,55,0,,1
FBgn0038659,FBtr0083699,55,0,,1
FBgn0038659,FBtr0334522,55,0,,2
FBgn0038662,FBtr0083723,56,0,,4
FBgn0038662,FBtr0334525,56,0,,4
FBgn0038665,FBtr0083722,57,0,,2
FBgn0038665,FBtr0304691,57,0,,2
FBgn0038666,FBtr0304689,58,0,,6
FBgn0038666,FBtr0304690,58,0,,6
FBgn0038672,FBtr0083719,59,0,,3
FBgn0038672,FBtr0343992,59,0,,3
FBgn0038683,FBtr0083750,60,0,,4
FBgn0038683,FBtr0335020,60,0,,4
FBgn0038693,FBtr0301692,61,0,,27
FBgn0038693,FBtr0301693,61,0,,27
FBgn0038695,FBtr0083738,62,0,,7
FBgn0038695,FBtr0346143,62,0,,7
FBgn0038700,FBtr0083755,63,0,,7
FBgn0038700,FBtr0339152,63,0,,7
FBgn0038704,FBtr0083758,64,0,,4
FBgn0038704,FBtr0083759,64,0,,4
FBgn0038704,FBtr0083760,64,0,,4
FBgn0038704,FBtr0445726,64,0,,3
FBgn0038716,FBtr0083777,65,0,,6
FBgn0038716,FBtr0304745,65,0,,6
FBgn0038738,FBtr0083860,66,0,,1
FBgn0038738,FBtr0083861,66,0,,1
FBgn0038738,FBtr0302327,66,0,,2
FBgn0038739,FBtr0083816,67,0,,3
FBgn0038739,FBtr0334307,67,0,,3
FBgn0038740,FBtr0083859,68,0,,9
FBgn0038740,FBtr0113250,68,0,,9
FBgn0038740,FBtr0330036,68,0,,9
FBgn0038740,FBtr0330034,69,0,,9
FBgn0038740,FBtr0330035,69,0,,9
FBgn0038744,FBtr0301117,70,0,,9
FBgn0038744,FBtr0308828,70,0,,9
FBgn0038744,FBtr0308829,70,0,,9
FBgn0038744,FBtr0344260,70,0,,9
FBgn0038745,FBtr0083855,71,0,,5
FBgn0038745,FBtr0344262,71,0,,5
FBgn0038747,FBtr0083821,72,0,,5
FBgn0038747,FBtr0344351,72,0,,5
FBgn0038747,FBtr0344354,72,0,,5
FBgn0038755,FBtr0083846,73,0,,6
FBgn0038755,FBtr0335240,73,0,,6
FBgn0038756,FBtr0083823,74,0,,2
FBgn0038756,FBtr0344285,74,0,,2
FBgn0038763,FBtr0083843,75,0,,4
FBgn0038763,FBtr0307345,75,0,,4
FBgn0038763,FBtr0344139,75,0,,4
FBgn0038783,FBtr0083901,76,0,,2
FBgn0038783,FBtr0344245,76,0,,2
FBgn0038787,FBtr0083899,77,0,,3
FBgn0038787,FBtr0113252,77,0,,3
FBgn0038788,FBtr0083882,78,0,,4
FBgn0038788,FBtr0344243,78,0,,4
FBgn0038803,FBtr0083904,79,0,,3
FBgn0038803,FBtr0083906,79,0,,3
FBgn0038803,FBtr0083905,80,0,,4
FBgn0038803,FBtr0083907,80,0,,4
FBgn0038803,FBtr0345213,80,0,,4
FBgn0038805,FBtr0083948,81,0,,2
FBgn0038805,FBtr0083949,81,0,,2
FBgn0038811,FBtr0083944,82,0,,4
FBgn0038811,FBtr0302323,82,0,,4
FBgn0038814,FBtr0113254,83,0,,7
FBgn0038814,FBtr0330028,83,0,,7
FBgn0038818,FBtr0083936,84,0,,5
FBgn0038818,FBtr0334642,84,0,,5
FBgn0038828,FBtr0083994,85,0,,5
FBgn0038828,FBtr0334723,85,0,,5
FBgn0038834,FBtr0083969,86,0,,3
FBgn0038834,FBtr0346148,86,0,,3
FBgn0038839,FBtr0083986,87,0,,1
FBgn0038839,FBtr0347575,87,0,,1
FBgn0038840,FBtr0083978,88,0,,11
FBgn0038840,FBtr0335015,88,1,FBtr0335016,11
FBgn0038840,FBtr0335016,88,1,FBtr0335015,11
FBgn0038842,FBtr0083979,89,0,,6
FBgn0038842,FBtr0334919,89,0,,6
FBgn0038846,FBtr0084001,90,0,,3
FBgn0038846,FBtr0309206,90,0,,3
FBgn0038846,FBtr0309207,90,0,,3
FBgn0038846,FBtr0309208,90,0,,3
FBgn0038849,FBtr0084043,91,0,,3
FBgn0038849,FBtr0346111,91,0,,3
FBgn0038850,FBtr0300816,92,0,,3
FBgn0038850,FBtr0345303,92,0,,3
FBgn0038860,FBtr0084015,93,0,,1
FBgn0038860,FBtr0113258,93,0,,1
FBgn0038871,FBtr0084107,94,0,,2
FBgn0038871,FBtr0347217,94,0,,2
FBgn0038872,FBtr0084051,95,0,,7
FBgn0038872,FBtr0330376,95,0,,7
FBgn0038872,FBtr0339192,95,0,,7
FBgn0038874,FBtr0084054,96,0,,5
FBgn0038874,FBtr0339194,96,0,,5
FBgn0038876,FBtr0084055,97,0,,2
FBgn0038876,FBtr0300616,97,0,,2
FBgn0038880,FBtr0084098,98,0,,6
FBgn0038880,FBtr0301815,98,0,,6
FBgn0038881,FBtr0084095,99,0,,15
FBgn0038881,FBtr0343805,99,0,,15
FBgn0038881,FBtr0343806,99,0,,15
FBgn0038881,FBtr0343807,99,0,,15
FBgn0038887,FBtr0113261,100,0,,4
FBgn0038887,FBtr0113262,100,0,,4
FBgn0038889,FBtr0084109,101,0,,6
FBgn0038889,FBtr0334662,101,0,,6
FBgn0038890,FBtr0084112,102,0,,11
FBgn0038890,FBtr0301211,102,0,,11
FBgn0038890,FBtr0334664,102,0,,10
FBgn0038890,FBtr0301212,103,0,,12
FBgn0038890,FBtr0334663,103,0,,12
FBgn0038897,FBtr0084125,104,0,,6
FBgn0038897,FBtr0301164,104,0,,6
FBgn0038909,FBtr0084155,105,0,,4
FBgn0038909,FBtr0084156,105,0,,4
FBgn0038909,FBtr0113263,106,0,,3
FBgn0038909,FBtr0334880,106,0,,3
FBgn0038922,FBtr0084190,107,0,,6
FBgn0038922,FBtr0300788,107,0,,6
FBgn0038925,FBtr0084185,108,0,,3
FBgn0038925,FBtr0335198,108,0,,3
FBgn0038930,FBtr0084182,109,0,,2
FBgn0038930,FBtr0335197,109,0,,2
FBgn0038938,FBtr0084201,110,1,FBtr0321268|FBtr0301190,10
FBgn0038938,FBtr0344797,110,0,,10
FBgn0038938,FBtr0301190,110,1,FBtr0084201,10
FBgn0038938,FBtr0321268,110,1,FBtr0084201,10
FBgn0038947,FBtr0084206,111,0,,6
FBgn0038947,FBtr0084208,111,0,,6
FBgn0038947,FBtr0084209,111,0,,6
FBgn0038948,FBtr0084239,112,0,,1
FBgn0038948,FBtr0330378,112,0,,1
FBgn0038957,FBtr0084219,113,0,,4
FBgn0038957,FBtr0084221,113,0,,4
FBgn0038965,FBtr0084229,114,0,,3
FBgn0038965,FBtr0337044,114,0,,3
FBgn0038965,FBtr0345205,114,0,,3
FBgn0038966,FBtr0084297,115,0,,3
FBgn0038966,FBtr0346142,115,0,,3
FBgn0038967,FBtr0301711,116,0,,4
FBgn0038967,FBtr0337045,116,0,,4
FBgn0038975,FBtr0084256,117,0,,14
FBgn0038975,FBtr0301485,117,0,,14
FBgn0038975,FBtr0334607,118,0,,13
FBgn0038975,FBtr0334608,118,0,,13
FBgn0038975,FBtr0334609,118,0,,13
FBgn0038975,FBtr0334610,118,0,,13
FBgn0038975,FBtr0334612,118,0,,13
FBgn0038975,FBtr0345228,118,0,,13
FBgn0038976,FBtr0084257,119,0,,3
FBgn0038976,FBtr0301486,119,0,,3
FBgn0038980,FBtr0084260,120,0,,8
FBgn0038980,FBtr0331930,120,0,,8
FBgn0038984,FBtr0084282,121,0,,7
FBgn0038984,FBtr0308848,121,0,,7
FBgn0039003,FBtr0084334,122,0,,4
FBgn0039003,FBtr0302856,122,0,,4
FBgn0039007,FBtr0084333,123,0,,3
FBgn0039007,FBtr0335007,123,0,,3
FBgn0039008,FBtr0084305,124,0,,6
FBgn0039008,FBtr0347565,124,0,,6
FBgn0039026,FBtr0084312,125,0,,7
FBgn0039026,FBtr0310037,125,0,,7
FBgn0039026,FBtr0113270,126,0,,7
FBgn0039026,FBtr0310038,126,0,,7
FBgn0039026,FBtr0344297,126,0,,7
FBgn0039027,FBtr0084313,127,0,,2
FBgn0039027,FBtr0339137,127,0,,2
FBgn0039027,FBtr0345272,127,0,,2
FBgn0039029,FBtr0084314,128,0,,2
FBgn0039029,FBtr0339138,128,0,,2
FBgn0039031,FBtr0084340,129,0,,1
FBgn0039031,FBtr0339164,129,0,,1
FBgn0039044,FBtr0084360,130,0,,9
FBgn0039044,FBtr0301765,130,0,,9
FBgn0039050,FBtr0084350,131,0,,4
FBgn0039050,FBtr0337026,131,0,,4
FBgn0039051,FBtr0084351,132,0,,4
FBgn0039051,FBtr0337027,132,0,,4
FBgn0039054,FBtr0302022,133,0,,11
FBgn0039054,FBtr0302023,133,0,,11
FBgn0039054,FBtr0337028,133,0,,11
FBgn0039065,FBtr0084388,134,0,,7
FBgn0039065,FBtr0301088,134,0,,7
FBgn0039065,FBtr0334499,134,0,,7
FBgn0039065,FBtr0334500,134,0,,7
FBgn0039065,FBtr0334501,134,0,,7
FBgn0039065,FBtr0334502,134,0,,7
FBgn0039066,FBtr0084374,135,0,,8
FBgn0039066,FBtr0084375,135,0,,8
FBgn0039069,FBtr0084378,136,0,,2
FBgn0039069,FBtr0334497,136,0,,2
FBgn0039073,FBtr0084431,137,0,,1
FBgn0039073,FBtr0339619,137,0,,1
FBgn0039075,FBtr0301085,138,0,,12
FBgn0039075,FBtr0339617,138,0,,12
FBgn0039081,FBtr0084425,139,0,,6
FBgn0039081,FBtr0339622,139,0,,6
FBgn0039084,FBtr0084421,140,0,,7
FBgn0039084,FBtr0084422,140,0,,7
FBgn0039084,FBtr0344701,140,0,,8
FBgn0039086,FBtr0084419,141,0,,2
FBgn0039086,FBtr0303507,141,0,,2
FBgn0039088,FBtr0084417,142,0,,2
FBgn0039088,FBtr0300585,142,0,,2
FBgn0039089,FBtr0084433,143,0,,6
FBgn0039089,FBtr0332427,143,0,,6
FBgn0039109,FBtr0084446,144,0,,5
FBgn0039109,FBtr0084449,144,0,,5
FBgn0039110,FBtr0084468,145,0,,2
FBgn0039110,FBtr0335003,145,0,,2
FBgn0039113,FBtr0084464,146,0,,4
FBgn0039113,FBtr0084465,146,0,,4
FBgn0039114,FBtr0084456,147,0,,6
FBgn0039114,FBtr0084457,147,0,,6
FBgn0039114,FBtr0335002,147,0,,7
FBgn0039116,FBtr0084458,148,0,,3
FBgn0039116,FBtr0300681,148,0,,3
FBgn0039117,FBtr0084462,149,0,,3
FBgn0039117,FBtr0334895,149,0,,3
FBgn0039120,FBtr0084460,150,0,,9
FBgn0039120,FBtr0334894,150,0,,9
FBgn0039126,FBtr0084522,151,0,,4
FBgn0039126,FBtr0330369,151,0,,4
FBgn0039129,FBtr0084519,152,0,,3
FBgn0039129,FBtr0332444,152,0,,3
FBgn0039131,FBtr0084513,153,0,,6
FBgn0039131,FBtr0084514,153,0,,6
FBgn0039131,FBtr0308071,153,0,,6
FBgn0039132,FBtr0305039,154,0,,5
FBgn0039132,FBtr0305040,154,0,,5
FBgn0039136,FBtr0084501,155,0,,3
FBgn0039136,FBtr0084502,155,0,,3
FBgn0039136,FBtr0301165,155,0,,3
FBgn0039137,FBtr0084509,156,0,,8
FBgn0039137,FBtr0330370,156,0,,8
FBgn0039140,FBtr0084596,157,0,,4
FBgn0039140,FBtr0303849,157,0,,4
FBgn0039141,FBtr0084533,158,0,,6
FBgn0039141,FBtr0084534,158,0,,6
FBgn0039141,FBtr0445310,158,0,,6
FBgn0039141,FBtr0321260,159,0,,5
FBgn0039141,FBtr0346099,159,0,,5
FBgn0039141,FBtr0445311,159,0,,5
FBgn0039145,FBtr0334920,160,0,,1
FBgn0039145,FBtr0343101,160,0,,1
FBgn0039149,FBtr0084543,161,0,,1
FBgn0039149,FBtr0305314,161,0,,1
FBgn0039149,FBtr0339243,161,0,,1
FBgn0039152,FBtr0304161,162,0,,10
FBgn0039152,FBtr0339244,162,0,,10
FBgn0039157,FBtr0084579,163,0,,16
FBgn0039157,FBtr0100518,163,0,,16
FBgn0039157,FBtr0100517,164,0,,16
FBgn0039157,FBtr0310445,164,0,,16
FBgn0039161,FBtr0084553,165,0,,4
FBgn0039161,FBtr0335412,165,0,,4
FBgn0039161,FBtr0110794,166,0,,5
FBgn0039161,FBtr0344266,166,0,,5
FBgn0039163,FBtr0084574,167,0,,2
FBgn0039163,FBtr0084575,167,0,,2
FBgn0039163,FBtr0335413,167,1,FBtr0345215,2
FBgn0039163,FBtr0345215,167,1,FBtr0335413,2
FBgn0039169,FBtr0084565,168,0,,1
FBgn0039169,FBtr0330382,168,0,,1
FBgn0039172,FBtr0084564,169,0,,1
FBgn0039172,FBtr0305044,169,0,,1
FBgn0039183,FBtr0084605,170,0,,5
FBgn0039183,FBtr0334599,170,0,,5
FBgn0039184,FBtr0084606,171,0,,5
FBgn0039184,FBtr0346110,171,0,,5
FBgn0039186,FBtr0084630,172,0,,6
FBgn0039186,FBtr0084631,172,0,,6
FBgn0039186,FBtr0273282,172,0,,5
FBgn0039186,FBtr0273283,172,0,,5
FBgn0039186,FBtr0334601,172,0,,6
FBgn0039186,FBtr0334602,172,0,,5
FBgn0039186,FBtr0334603,172,0,,6
FBgn0039187,FBtr0273323,173,0,,10
FBgn0039187,FBtr0273324,173,0,,10
FBgn0039187,FBtr0330373,173,0,,10
FBgn0039200,FBtr0084618,174,0,,3
FBgn0039200,FBtr0345301,174,0,,3
FBgn0039201,FBtr0084641,175,0,,5
FBgn0039201,FBtr0334333,175,0,,5
FBgn0039205,FBtr0084679,176,0,,2
FBgn0039205,FBtr0334337,176,0,,2
FBgn0039209,FBtr0084672,177,0,,5
FBgn0039209,FBtr0110795,177,0,,5
FBgn0039209,FBtr0084674,178,0,,5
FBgn0039209,FBtr0110796,178,0,,5
FBgn0039209,FBtr0084675,179,0,,4
FBgn0039209,FBtr0345204,179,0,,4
FBgn0039213,FBtr0084657,180,0,,5
FBgn0039213,FBtr0345218,180,0,,5
FBgn0039214,FBtr0084668,181,0,,20
FBgn0039214,FBtr0306172,181,0,,20
FBgn0039214,FBtr0330308,181,0,,20
FBgn0039214,FBtr0330309,181,0,,20
FBgn0039214,FBtr0339135,181,0,,20
FBgn0039215,FBtr0089915,182,0,,6
FBgn0039215,FBtr0089916,182,0,,6
FBgn0039217,FBtr0084686,183,0,,4
FBgn0039217,FBtr0339251,183,0,,4
FBgn0039226,FBtr0331698,184,0,,3
FBgn0039226,FBtr0331699,184,0,,3
FBgn0039226,FBtr0345210,184,0,,3
FBgn0039229,FBtr0084700,185,1,FBtr0331696,7
FBgn0039229,FBtr0392911,185,0,,7
FBgn0039229,FBtr0392912,185,0,,8
FBgn0039229,FBtr0331696,185,1,FBtr0084700,7
FBgn0039234,FBtr0084705,186,1,FBtr0334570,7
FBgn0039234,FBtr0301865,186,0,,7
FBgn0039234,FBtr0306087,186,0,,6
FBgn0039234,FBtr0334570,186,1,FBtr0084705,7
FBgn0039235,FBtr0084732,187,0,,5
FBgn0039235,FBtr0308616,187,0,,5
FBgn0039240,FBtr0334574,188,0,,8
FBgn0039240,FBtr0334575,188,0,,8
FBgn0039240,FBtr0334576,188,0,,8
