ERS_grp_num,ERS_grp_size,gene_id,xscripts,contains_which_gtf,flag_nonolp_pair,flag_IR_in_set,num_IR_xscripts,prop_IR,num_ER,min_num_nt_diff,max_num_nt_diff,mean_num_nt_diff,median_num_nt_diff,min_prop_nt_diff,max_prop_nt_diff,mean_prop_nt_diff,median_prop_nt_diff
1,2,LOC107986886,tr_LOC107986886_2|tr_LOC107986886_3,0,0,0,0,0.0,4,71.0,71.0,71.0,71.0,0.1698564593301435,0.1698564593301435,0.1698564593301435,0.1698564593301435
2,2,LOC107986893,tr_LOC107986893_2|tr_LOC107986893_1,0,0,0,0,0.0,3,3.0,3.0,3.0,3.0,0.0051903114186851,0.0051903114186851,0.0051903114186851,0.0051903114186851
3,2,LOC107986930,tr_LOC107986930_1|tr_LOC107986930_2,0,0,1,2,1.0,3,622.0,622.0,622.0,622.0,0.178735632183908,0.178735632183908,0.178735632183908,0.178735632183908
4,2,LOC107986944,tr_LOC107986944_2|tr_LOC107986944_1,0,0,0,0,0.0,3,30.0,30.0,30.0,30.0,0.0485436893203883,0.0485436893203883,0.0485436893203883,0.0485436893203883
5,2,LOC107986974,tr_LOC107986974_1|tr_LOC107986974_2,0,0,0,0,0.0,3,416.0,416.0,416.0,416.0,0.0775396085740913,0.0775396085740913,0.0775396085740913,0.0775396085740913
6,2,LOC107986986,tr_LOC107986986_1|tr_LOC107986986_2,0,0,0,0,0.0,3,4.0,4.0,4.0,4.0,0.0009997500624843,0.0009997500624843,0.0009997500624843,0.0009997500624843
7,2,LOC107987043,tr_LOC107987043_1|tr_LOC107987043_2,0,0,0,0,0.0,3,46.0,46.0,46.0,46.0,0.0074181583615545,0.0074181583615545,0.0074181583615545,0.0074181583615545
8,2,LOC107987068,tr_LOC107987068_2|tr_LOC107987068_3,0,0,0,0,0.0,3,10.0,10.0,10.0,10.0,0.0062383031815346,0.0062383031815346,0.0062383031815346,0.0062383031815346
9,3,LOC107987088,tr_LOC107987088_3|tr_LOC107987088_2|tr_LOC107987088_1,0,0,0,0,0.0,4,3.0,212.0,141.33333333333334,209.0,0.0050420168067226,0.3563025210084034,0.23753501400560217,0.3512605042016806
10,2,LOC107987101,tr_LOC107987101_2|tr_LOC107987101_1,0,0,0,0,0.0,4,124.0,124.0,124.0,124.0,0.1177587844254511,0.1177587844254511,0.1177587844254511,0.1177587844254511
11,2,LOC107987124,tr_LOC107987124_2|tr_LOC107987124_1,0,0,1,2,1.0,4,338.0,338.0,338.0,338.0,0.2663514578408195,0.2663514578408195,0.2663514578408195,0.2663514578408195
12,5,LOC107987132,tr_LOC107987132_2|tr_LOC107987132_4|tr_LOC107987132_3|tr_LOC107987132_1|tr_LOC107987132_5,0,1,1,4,0.8,3,284.0,1255.0,705.8571428571429,707.0,0.1390793339862879,0.6145935357492655,0.3641656083358961,0.3493385595296423
13,2,LOC107987137,tr_LOC107987137_1|tr_LOC107987137_2,0,0,0,0,0.0,3,6227.0,6227.0,6227.0,6227.0,0.740604186489058,0.740604186489058,0.740604186489058,0.740604186489058
14,2,LOC107987139,tr_LOC107987139_1|tr_LOC107987139_2,0,0,1,2,1.0,3,244.0,244.0,244.0,244.0,0.1673525377229081,0.1673525377229081,0.1673525377229081,0.1673525377229081
15,2,LOC107987172,tr_LOC107987172_1|tr_LOC107987172_2,0,0,0,0,0.0,3,4.0,4.0,4.0,4.0,0.0049627791563275,0.0049627791563275,0.0049627791563275,0.0049627791563275
16,2,LOC107987209,tr_LOC107987209_1|tr_LOC107987209_2,0,0,1,2,1.0,3,329.0,329.0,329.0,329.0,0.1442349846558527,0.1442349846558527,0.1442349846558527,0.1442349846558527
17,2,LOC107987228,tr_LOC107987228_1|tr_LOC107987228_2,0,0,0,0,0.0,2,33.0,33.0,33.0,33.0,0.0200242718446601,0.0200242718446601,0.0200242718446601,0.0200242718446601
18,2,LOC107987334,tr_LOC107987334_2|tr_LOC107987334_1,0,0,0,0,0.0,3,5.0,5.0,5.0,5.0,0.0055617352614015,0.0055617352614015,0.0055617352614015,0.0055617352614015
19,2,LOC107987348,tr_LOC107987348_2|tr_LOC107987348_1,0,0,0,0,0.0,3,468.0,468.0,468.0,468.0,0.0918367346938775,0.0918367346938775,0.0918367346938775,0.0918367346938775
20,2,LOC107987350,tr_LOC107987350_2|tr_LOC107987350_1,0,0,0,0,0.0,3,468.0,468.0,468.0,468.0,0.0918367346938775,0.0918367346938775,0.0918367346938775,0.0918367346938775
21,3,LOC112267905,tr_LOC112267905_3|tr_LOC112267905_1|tr_LOC112267905_2,0,0,1,3,1.0,4,6.0,1022.0,681.3333333333334,1016.0,0.002016129032258,0.3434139784946236,0.22894265232974903,0.3413978494623655
22,2,LOC112267937,tr_LOC112267937_1|tr_LOC112267937_2,0,0,1,2,1.0,2,158.0,158.0,158.0,158.0,0.1528046421663443,0.1528046421663443,0.1528046421663443,0.1528046421663443
23,2,LOC112267988,tr_LOC112267988_1|tr_LOC112267988_2,0,0,0,0,0.0,3,283.0,283.0,283.0,283.0,0.1078095238095238,0.1078095238095238,0.1078095238095238,0.1078095238095238
24,2,LOC112268008,tr_LOC112268008_2|tr_LOC112268008_1,0,0,0,0,0.0,3,152.0,152.0,152.0,152.0,0.0921770770163735,0.0921770770163735,0.0921770770163735,0.0921770770163735
25,2,LOC112268051,tr_LOC112268051_2|tr_LOC112268051_3,0,0,1,2,1.0,3,282.0,282.0,282.0,282.0,0.127313769751693,0.127313769751693,0.127313769751693,0.127313769751693
26,2,LOC112268061,tr_LOC112268061_2|tr_LOC112268061_1,0,0,0,0,0.0,2,181.0,181.0,181.0,181.0,0.0123263415962952,0.0123263415962952,0.0123263415962952,0.0123263415962952
27,2,LOC112268152,tr_LOC112268152_1|tr_LOC112268152_2,0,0,0,0,0.0,3,13.0,13.0,13.0,13.0,0.0539419087136929,0.0539419087136929,0.0539419087136929,0.0539419087136929
28,2,LOC112268195,tr_LOC112268195_2|tr_LOC112268195_1,0,0,0,0,0.0,2,7.0,7.0,7.0,7.0,0.0066350710900473,0.0066350710900473,0.0066350710900473,0.0066350710900473
29,2,LOC112268288,tr_LOC112268288_2|tr_LOC112268288_1,0,0,1,2,1.0,2,82.0,82.0,82.0,82.0,0.0192759755524212,0.0192759755524212,0.0192759755524212,0.0192759755524212
30,3,LOC112268446,tr_LOC112268446_3|tr_LOC112268446_2|tr_LOC112268446_1,0,0,0,0,0.0,3,159.0,850.0,566.6666666666666,691.0,0.0415252024027161,0.217224635829287,0.14760672107289463,0.1840703249866808
31,2,LOC112268446,tr_LOC112268446_4|tr_LOC112268446_5,0,0,0,0,0.0,3,1011.0,1011.0,1011.0,1011.0,0.2354996505939902,0.2354996505939902,0.2354996505939902,0.2354996505939902
32,2,LOC112268455,tr_LOC112268455_1|tr_LOC112268455_2,0,0,0,0,0.0,2,259.0,259.0,259.0,259.0,0.1458333333333333,0.1458333333333333,0.1458333333333333,0.1458333333333333
33,2,MFSD4A-AS1,tr_MFSD4A-AS1_1|tr_MFSD4A-AS1_2,0,0,0,0,0.0,4,626.0,626.0,626.0,626.0,0.1733591802824702,0.1733591802824702,0.1733591802824702,0.1733591802824702
34,2,NPY4R,tr_NPY4R_1|tr_NPY4R_2,0,0,0,0,0.0,2,27.0,27.0,27.0,27.0,0.0075334821428571,0.0075334821428571,0.0075334821428571,0.0075334821428571
35,2,PLCXD1_1,tr_PLCXD1_1_4|tr_PLCXD1_1_5,0,0,1,2,1.0,7,2110.0,2110.0,2110.0,2110.0,0.3967657013915006,0.3967657013915006,0.3967657013915006,0.3967657013915006
36,2,PLCXD1_1,tr_PLCXD1_1_7|tr_PLCXD1_1_6,0,0,1,2,1.0,8,3200.0,3200.0,3200.0,3200.0,0.60882800608828,0.60882800608828,0.60882800608828,0.60882800608828
37,2,TCONS_00068220,tr_TCONS_00068220_2|tr_TCONS_00068220_3,0,0,1,2,1.0,3,439.0,439.0,439.0,439.0,0.283043197936815,0.283043197936815,0.283043197936815,0.283043197936815
