gene_id,xscript_model_id,ERS_grp_num,ERS_grp_size,flag_nonolp_pair,nonolp_xscript_id
FBgn0038405,FBtr0100110,1,2,0,
FBgn0038405,FBtr0344472,1,2,0,
FBgn0038419,FBtr0083325,2,2,0,
FBgn0038419,FBtr0083326,2,2,0,
FBgn0038419,FBtr0334733,3,2,0,
FBgn0038419,FBtr0345255,3,2,0,
FBgn0038420,FBtr0083324,4,2,0,
FBgn0038420,FBtr0345202,4,2,0,
FBgn0038421,FBtr0083323,5,4,1,FBtr0332177
FBgn0038421,FBtr0345208,5,4,0,
FBgn0038421,FBtr0392900,5,4,1,FBtr0332177
FBgn0038421,FBtr0332177,5,4,1,FBtr0083323|FBtr0392900
FBgn0038422,FBtr0083320,6,2,0,
FBgn0038422,FBtr0083321,6,2,0,
FBgn0038423,FBtr0300677,7,2,0,
FBgn0038423,FBtr0300678,7,2,0,
FBgn0038425,FBtr0083287,8,2,0,
FBgn0038425,FBtr0083288,8,2,0,
FBgn0038428,FBtr0083314,9,2,0,
FBgn0038428,FBtr0337016,9,2,0,
FBgn0038429,FBtr0083289,10,2,0,
FBgn0038429,FBtr0337015,10,2,0,
FBgn0038448,FBtr0331687,11,2,0,
FBgn0038448,FBtr0331688,11,2,0,
FBgn0038453,FBtr0083336,12,2,0,
FBgn0038453,FBtr0333728,12,2,0,
FBgn0038461,FBtr0083376,13,2,0,
FBgn0038461,FBtr0337064,13,2,0,
FBgn0038462,FBtr0083375,14,2,0,
FBgn0038462,FBtr0337063,14,2,0,
FBgn0038465,FBtr0083371,15,2,0,
FBgn0038465,FBtr0337060,15,2,0,
FBgn0038469,FBtr0305130,16,2,0,
FBgn0038469,FBtr0337062,16,2,0,
FBgn0038470,FBtr0305129,17,3,0,
FBgn0038470,FBtr0339156,17,3,0,
FBgn0038470,FBtr0339157,17,3,0,
FBgn0038475,FBtr0083422,18,2,0,
FBgn0038475,FBtr0083424,18,2,0,
FBgn0038481,FBtr0083417,19,2,0,
FBgn0038481,FBtr0346149,19,2,0,
FBgn0038488,FBtr0083414,20,2,0,
FBgn0038488,FBtr0337043,20,2,0,
FBgn0038491,FBtr0083410,21,2,0,
FBgn0038491,FBtr0337042,21,2,0,
FBgn0038492,FBtr0334402,22,2,0,
FBgn0038492,FBtr0334403,22,2,0,
FBgn0038499,FBtr0083452,23,2,0,
FBgn0038499,FBtr0302317,23,2,0,
FBgn0038504,FBtr0083447,24,2,0,
FBgn0038504,FBtr0339531,24,2,0,
FBgn0038504,FBtr0083448,25,2,0,
FBgn0038504,FBtr0339532,25,2,0,
FBgn0038515,FBtr0083505,26,2,0,
FBgn0038515,FBtr0321266,26,2,0,
FBgn0038516,FBtr0083454,27,2,0,
FBgn0038516,FBtr0083455,27,2,0,
FBgn0038524,FBtr0083462,28,2,0,
FBgn0038524,FBtr0305308,28,2,0,
FBgn0038526,FBtr0083465,29,2,0,
FBgn0038526,FBtr0345206,29,2,0,
FBgn0038532,FBtr0083476,30,3,0,
FBgn0038532,FBtr0331347,30,3,0,
FBgn0038532,FBtr0344347,30,3,0,
FBgn0038535,FBtr0089412,31,3,0,
FBgn0038535,FBtr0089413,31,3,0,
FBgn0038535,FBtr0089417,31,3,0,
FBgn0038539,FBtr0083533,32,2,0,
FBgn0038539,FBtr0346730,32,2,0,
FBgn0038541,FBtr0332174,33,2,0,
FBgn0038541,FBtr0344630,33,2,0,
FBgn0038542,FBtr0083532,34,2,0,
FBgn0038542,FBtr0346161,34,2,0,
FBgn0038545,FBtr0083513,35,2,0,
FBgn0038545,FBtr0305007,35,2,0,
FBgn0038547,FBtr0083528,36,2,0,
FBgn0038547,FBtr0347216,36,2,0,
FBgn0038558,FBtr0083519,37,2,0,
FBgn0038558,FBtr0308497,37,2,0,
FBgn0038569,FBtr0083623,38,2,0,
FBgn0038569,FBtr0344646,38,2,0,
FBgn0038576,FBtr0083557,39,2,0,
FBgn0038576,FBtr0336468,39,2,0,
FBgn0038590,FBtr0083605,40,2,0,
FBgn0038590,FBtr0347215,40,2,0,
FBgn0038603,FBtr0083590,41,5,1,FBtr0083592
FBgn0038603,FBtr0083591,41,5,0,
FBgn0038603,FBtr0330312,41,5,0,
FBgn0038603,FBtr0330313,41,5,1,FBtr0083592
FBgn0038603,FBtr0083592,41,5,1,FBtr0083590|FBtr0330313
FBgn0038608,FBtr0083586,42,3,0,
FBgn0038608,FBtr0302307,42,3,0,
FBgn0038608,FBtr0339976,42,3,0,
FBgn0038610,FBtr0083581,43,2,0,
FBgn0038610,FBtr0083583,43,2,0,
FBgn0038610,FBtr0083582,44,2,0,
FBgn0038610,FBtr0344550,44,2,0,
FBgn0038619,FBtr0083630,45,2,0,
FBgn0038619,FBtr0333830,45,2,0,
FBgn0038630,FBtr0083634,46,3,0,
FBgn0038630,FBtr0083636,46,3,0,
FBgn0038630,FBtr0305956,46,3,0,
FBgn0038638,FBtr0083664,47,2,0,
FBgn0038638,FBtr0083665,47,2,0,
FBgn0038639,FBtr0083688,48,2,0,
FBgn0038639,FBtr0083689,48,2,0,
FBgn0038641,FBtr0083668,49,2,0,
FBgn0038641,FBtr0083669,49,2,0,
FBgn0038642,FBtr0083687,50,2,0,
FBgn0038642,FBtr0345269,50,2,0,
FBgn0038651,FBtr0273382,51,2,0,
FBgn0038651,FBtr0305051,51,2,0,
FBgn0038652,FBtr0083678,52,2,0,
FBgn0038652,FBtr0301199,52,2,0,
FBgn0038653,FBtr0083677,53,3,0,
FBgn0038653,FBtr0330029,53,3,0,
FBgn0038653,FBtr0332809,53,3,0,
FBgn0038654,FBtr0083695,54,2,0,
FBgn0038654,FBtr0334521,54,2,0,
FBgn0038659,FBtr0083698,55,3,0,
FBgn0038659,FBtr0083699,55,3,0,
FBgn0038659,FBtr0334522,55,3,0,
FBgn0038662,FBtr0083723,56,2,0,
FBgn0038662,FBtr0334525,56,2,0,
FBgn0038665,FBtr0083722,57,2,0,
FBgn0038665,FBtr0304691,57,2,0,
FBgn0038666,FBtr0304689,58,2,0,
FBgn0038666,FBtr0304690,58,2,0,
FBgn0038672,FBtr0083719,59,2,0,
FBgn0038672,FBtr0343992,59,2,0,
FBgn0038683,FBtr0083750,60,2,0,
FBgn0038683,FBtr0335020,60,2,0,
FBgn0038693,FBtr0301692,61,2,0,
FBgn0038693,FBtr0301693,61,2,0,
FBgn0038695,FBtr0083738,62,2,0,
FBgn0038695,FBtr0346143,62,2,0,
FBgn0038700,FBtr0083755,63,2,0,
FBgn0038700,FBtr0339152,63,2,0,
FBgn0038704,FBtr0083758,64,4,0,
FBgn0038704,FBtr0083759,64,4,0,
FBgn0038704,FBtr0083760,64,4,0,
FBgn0038704,FBtr0445726,64,4,0,
FBgn0038716,FBtr0083777,65,2,0,
FBgn0038716,FBtr0304745,65,2,0,
FBgn0038738,FBtr0083860,66,3,0,
FBgn0038738,FBtr0083861,66,3,0,
FBgn0038738,FBtr0302327,66,3,0,
FBgn0038739,FBtr0083816,67,2,0,
FBgn0038739,FBtr0334307,67,2,0,
FBgn0038740,FBtr0083859,68,3,0,
FBgn0038740,FBtr0113250,68,3,0,
FBgn0038740,FBtr0330036,68,3,0,
FBgn0038740,FBtr0330034,69,2,0,
FBgn0038740,FBtr0330035,69,2,0,
FBgn0038744,FBtr0301117,70,4,0,
FBgn0038744,FBtr0308828,70,4,0,
FBgn0038744,FBtr0308829,70,4,0,
FBgn0038744,FBtr0344260,70,4,0,
FBgn0038745,FBtr0083855,71,2,0,
FBgn0038745,FBtr0344262,71,2,0,
FBgn0038747,FBtr0083821,72,3,0,
FBgn0038747,FBtr0344351,72,3,0,
FBgn0038747,FBtr0344354,72,3,0,
FBgn0038755,FBtr0083846,73,2,0,
FBgn0038755,FBtr0335240,73,2,0,
FBgn0038756,FBtr0083823,74,2,0,
FBgn0038756,FBtr0344285,74,2,0,
FBgn0038763,FBtr0083843,75,3,0,
FBgn0038763,FBtr0307345,75,3,0,
