gene_id,num_sets,min_ER,max_ER,mean_ER,median_ER,min_grp_size,max_grp_size,mean_grp_size,median_grp_size
FBgn0036816,3,9,9,9.0,9.0,1,2,1.3333333333333333,1.0
FBgn0036821,4,7,8,7.75,8.0,1,1,1.0,1.0
FBgn0036832,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0036850,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0036881,2,5,5,5.0,5.0,1,2,1.5,1.5
FBgn0036890,2,2,2,2.0,2.0,1,2,1.5,1.5
FBgn0036892,1,9,9,9.0,9.0,2,2,2.0,2.0
FBgn0036896,2,7,8,7.5,7.5,1,3,2.0,2.0
FBgn0036897,3,4,4,4.0,4.0,1,1,1.0,1.0
FBgn0036899,2,9,9,9.0,9.0,1,3,2.0,2.0
FBgn0036900,2,5,5,5.0,5.0,1,2,1.5,1.5
FBgn0036909,2,3,4,3.5,3.5,1,2,1.5,1.5
FBgn0036911,3,7,7,7.0,7.0,1,2,1.3333333333333333,1.0
FBgn0036913,1,14,14,14.0,14.0,4,4,4.0,4.0
FBgn0036915,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0036921,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0036922,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0036934,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0036938,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0036945,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0036952,3,2,3,2.3333333333333335,2.0,1,2,1.6666666666666667,2.0
FBgn0036958,5,3,11,8.0,10.0,1,2,1.6,2.0
FBgn0036967,3,5,7,6.333333333333333,7.0,1,2,1.3333333333333333,1.0
FBgn0036970,1,5,5,5.0,5.0,2,2,2.0,2.0
FBgn0036974,4,7,8,7.75,8.0,1,4,1.75,1.0
FBgn0036977,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0036991,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0036992,2,4,4,4.0,4.0,1,1,1.0,1.0
FBgn0036994,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037007,2,5,5,5.0,5.0,2,3,2.5,2.5
FBgn0037010,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0037015,2,5,6,5.5,5.5,1,2,1.5,1.5
FBgn0037024,1,2,2,2.0,2.0,3,3,3.0,3.0
FBgn0037025,2,5,5,5.0,5.0,1,1,1.0,1.0
FBgn0037026,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0037027,1,6,6,6.0,6.0,4,4,4.0,4.0
FBgn0037028,2,2,2,2.0,2.0,1,1,1.0,1.0
FBgn0037031,3,3,5,4.333333333333333,5.0,1,1,1.0,1.0
FBgn0037039,2,2,2,2.0,2.0,1,2,1.5,1.5
FBgn0037040,3,8,9,8.666666666666666,9.0,1,2,1.6666666666666667,2.0
FBgn0037060,3,3,10,7.0,8.0,1,2,1.3333333333333333,1.0
FBgn0037065,2,5,6,5.5,5.5,1,2,1.5,1.5
FBgn0037070,4,2,4,3.0,3.0,1,2,1.25,1.0
FBgn0037071,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0037074,2,10,10,10.0,10.0,1,1,1.0,1.0
FBgn0037081,1,7,7,7.0,7.0,2,2,2.0,2.0
FBgn0037082,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037084,3,3,4,3.3333333333333335,3.0,1,1,1.0,1.0
FBgn0037087,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037092,6,3,6,4.333333333333333,4.5,1,1,1.0,1.0
FBgn0037094,2,3,4,3.5,3.5,1,8,4.5,4.5
FBgn0037098,2,12,13,12.5,12.5,1,2,1.5,1.5
FBgn0037100,1,10,10,10.0,10.0,2,2,2.0,2.0
FBgn0037106,1,6,6,6.0,6.0,2,2,2.0,2.0
FBgn0037109,2,3,4,3.5,3.5,1,2,1.5,1.5
FBgn0037117,1,4,4,4.0,4.0,3,3,3.0,3.0
FBgn0037120,2,4,4,4.0,4.0,1,3,2.0,2.0
FBgn0037127,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0037130,1,8,8,8.0,8.0,4,4,4.0,4.0
FBgn0037135,1,4,4,4.0,4.0,2,2,2.0,2.0
FBgn0037137,2,3,4,3.5,3.5,1,3,2.0,2.0
FBgn0037138,3,8,8,8.0,8.0,1,2,1.6666666666666667,2.0
FBgn0037169,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037174,1,6,6,6.0,6.0,3,3,3.0,3.0
FBgn0037176,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037181,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037182,3,6,7,6.666666666666667,7.0,2,3,2.3333333333333335,2.0
FBgn0037184,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0037200,2,1,1,1.0,1.0,1,1,1.0,1.0
FBgn0037213,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0037215,3,8,9,8.333333333333334,8.0,1,3,1.6666666666666667,1.0
FBgn0037217,1,2,2,2.0,2.0,2,2,2.0,2.0
FBgn0037218,2,9,13,11.0,11.0,1,3,2.0,2.0
FBgn0037222,3,4,5,4.666666666666667,5.0,1,1,1.0,1.0
FBgn0037234,3,9,11,9.666666666666666,9.0,1,2,1.3333333333333333,1.0
FBgn0037238,2,5,7,6.0,6.0,1,3,2.0,2.0
FBgn0037239,2,6,7,6.5,6.5,1,2,1.5,1.5
FBgn0037248,2,7,8,7.5,7.5,1,2,1.5,1.5
FBgn0037261,4,3,6,4.0,3.5,1,1,1.0,1.0
FBgn0037262,2,3,4,3.5,3.5,2,3,2.5,2.5
FBgn0037279,4,3,5,4.0,4.0,1,1,1.0,1.0
FBgn0037288,1,3,3,3.0,3.0,2,2,2.0,2.0
FBgn0037297,3,4,5,4.666666666666667,5.0,1,1,1.0,1.0
FBgn0037298,2,1,1,1.0,1.0,1,2,1.5,1.5
FBgn0037299,1,2,2,2.0,2.0,3,3,3.0,3.0
FBgn0037304,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0037313,2,4,4,4.0,4.0,1,1,1.0,1.0
FBgn0037329,2,3,3,3.0,3.0,1,1,1.0,1.0
FBgn0037332,1,12,12,12.0,12.0,4,4,4.0,4.0
FBgn0037336,2,12,13,12.5,12.5,1,2,1.5,1.5
FBgn0037339,2,7,9,8.0,8.0,1,2,1.5,1.5
FBgn0037341,2,4,4,4.0,4.0,1,2,1.5,1.5
