gene_id,transcript_1,transcript_2,transcript_id,ef_id,ef_chr,ef_start,ef_end,ef_strand,ef_ir_flag,er_id,er_chr,er_start,er_end,er_strand
FBgn0000014,FBtr0083388,FBtr0349354,FBtr0083388,FBgn0000014:ER1:EF1,3R,16807626,16808436,-,0,FBgn0000014:ER1,3R,16807626,16810061,-
FBgn0000014,FBtr0083388,FBtr0349354,FBtr0083388|FBtr0349354,FBgn0000014:ER1:EF2,3R,16808436,16810061,-,0,FBgn0000014:ER1,3R,16807626,16810061,-
FBgn0000014,FBtr0083388,FBtr0349354,FBtr0083388|FBtr0349354,FBgn0000014:ER2:EF1,3R,16810131,16810355,-,0,FBgn0000014:ER2,3R,16810131,16810355,-
FBgn0000014,FBtr0083388,FBtr0349354,FBtr0083388|FBtr0349354,FBgn0000014:ER3:EF1,3R,16822421,16822469,-,0,FBgn0000014:ER3,3R,16822421,16822469,-
FBgn0000014,FBtr0083388,FBtr0349354,FBtr0083388|FBtr0349354,FBgn0000014:ER4:EF1,3R,16827134,16828105,-,0,FBgn0000014:ER4,3R,16827134,16828583,-
FBgn0000014,FBtr0083388,FBtr0349354,FBtr0349354,FBgn0000014:ER4:EF2,3R,16828105,16828583,-,0,FBgn0000014:ER4,3R,16827134,16828583,-
FBgn0000008,FBtr0071764,FBtr0358259,FBtr0071764,FBgn0000008:ER1:EF1,2R,22137432,22137999,+,0,FBgn0000008:ER1,2R,22137432,22138251,+
FBgn0000008,FBtr0071764,FBtr0358259,FBtr0071764|FBtr0358259,FBgn0000008:ER1:EF2,2R,22137999,22138251,+,0,FBgn0000008:ER1,2R,22137432,22138251,+
FBgn0000008,FBtr0071764,FBtr0358259,FBtr0071764|FBtr0358259,FBgn0000008:ER2:EF1,2R,22151653,22151695,+,0,FBgn0000008:ER2,2R,22151653,22151695,+
FBgn0000008,FBtr0071764,FBtr0358259,FBtr0071764|FBtr0358259,FBgn0000008:ER3:EF1,2R,22162904,22163694,+,0,FBgn0000008:ER3,2R,22162904,22163694,+
FBgn0000008,FBtr0071764,FBtr0358259,FBtr0071764|FBtr0358259,FBgn0000008:ER4:EF1,2R,22164776,22164989,+,0,FBgn0000008:ER4,2R,22164776,22164989,+
FBgn0000008,FBtr0071764,FBtr0358259,FBtr0071764|FBtr0358259,FBgn0000008:ER5:EF1,2R,22169243,22170717,+,0,FBgn0000008:ER5,2R,22169243,22170717,+
FBgn0000008,FBtr0071764,FBtr0358259,FBtr0071764|FBtr0358259,FBgn0000008:ER6:EF1,2R,22170777,22171985,+,0,FBgn0000008:ER6,2R,22170777,22171985,+
FBgn0000008,FBtr0071764,FBtr0358259,FBtr0071764|FBtr0358259,FBgn0000008:ER7:EF1,2R,22172081,22172252,+,0,FBgn0000008:ER7,2R,22172081,22172252,+
FBgn0000008,FBtr0071764,FBtr0358259,FBtr0071764|FBtr0358259,FBgn0000008:ER8:EF1,2R,22172496,22172834,+,0,FBgn0000008:ER8,2R,22172496,22172836,+
FBgn0000008,FBtr0071764,FBtr0358259,FBtr0358259,FBgn0000008:ER8:EF2,2R,22172834,22172836,+,0,FBgn0000008:ER8,2R,22172496,22172836,+
FBgn0000014,FBtr0300485,FBtr0352852,FBtr0300485,FBgn0000014:ER1:EF1,3R,16807213,16808436,-,0,FBgn0000014:ER1,3R,16807213,16810061,-
FBgn0000014,FBtr0300485,FBtr0352852,FBtr0300485|FBtr0352852,FBgn0000014:ER1:EF2,3R,16808436,16810061,-,0,FBgn0000014:ER1,3R,16807213,16810061,-
FBgn0000014,FBtr0300485,FBtr0352852,FBtr0300485|FBtr0352852,FBgn0000014:ER2:EF1,3R,16810131,16810355,-,0,FBgn0000014:ER2,3R,16810131,16810355,-
FBgn0000014,FBtr0300485,FBtr0352852,FBtr0300485|FBtr0352852,FBgn0000014:ER3:EF1,3R,16822421,16822469,-,0,FBgn0000014:ER3,3R,16822421,16822469,-
FBgn0000014,FBtr0300485,FBtr0352852,FBtr0300485|FBtr0352852,FBgn0000014:ER4:EF1,3R,16826050,16826307,-,0,FBgn0000014:ER4,3R,16826050,16826307,-
