ERS_grp_num,ERS_grp_size,gene_id,xscripts,contains_which_gtf,flag_nonolp_pair,flag_IR_in_set,num_IR_xscripts,prop_IR,num_ER,min_num_nt_diff,max_num_nt_diff,mean_num_nt_diff,median_num_nt_diff,min_prop_nt_diff,max_prop_nt_diff,mean_prop_nt_diff,median_prop_nt_diff
1,2,FBgn0036816,tr_FBgn0036816_1|tr_FBgn0036816_2,0,0,0,0,0.0,9,97.0,97.0,97.0,97.0,0.037582332429291,0.037582332429291,0.037582332429291,0.037582332429291
2,2,FBgn0036821,tr_FBgn0036821_4|tr_FBgn0036821_3,0,0,1,2,1.0,8,64.0,64.0,64.0,64.0,0.018974206937445,0.018974206937445,0.018974206937445,0.018974206937445
3,2,FBgn0036832,tr_FBgn0036832_2|tr_FBgn0036832_1,0,0,0,0,0.0,3,6.0,6.0,6.0,6.0,0.006048387096774,0.006048387096774,0.006048387096774,0.006048387096774
4,2,FBgn0036850,tr_FBgn0036850_2|tr_FBgn0036850_1,0,0,1,2,1.0,2,75.0,75.0,75.0,75.0,0.063025210084034,0.063025210084034,0.063025210084034,0.063025210084034
5,3,FBgn0036881,tr_FBgn0036881_2|tr_FBgn0036881_3|tr_FBgn0036881_1,0,0,1,3,1.0,5,9.0,80.0,53.333333333333336,71.0,0.001988950276243,0.01767955801105,0.011796795351743,0.015721877767936
6,3,FBgn0036890,tr_FBgn0036890_2|tr_FBgn0036890_3|tr_FBgn0036890_1,0,0,1,3,1.0,2,15.0,610.0,406.6666666666667,595.0,0.008205689277899,0.251754023937268,0.16850768814422198,0.245563351217499
7,2,FBgn0036892,tr_FBgn0036892_2|tr_FBgn0036892_1,0,0,0,0,0.0,9,54.0,54.0,54.0,54.0,0.014357883541611,0.014357883541611,0.014357883541611,0.014357883541611
8,3,FBgn0036896,tr_FBgn0036896_4|tr_FBgn0036896_3|tr_FBgn0036896_2,0,0,0,0,0.0,8,77.0,205.0,142.66666666666666,146.0,0.017563868613139,0.045434397163121,0.03176400203306567,0.032293740322937
9,2,FBgn0036897,tr_FBgn0036897_3|tr_FBgn0036897_2,0,0,1,2,1.0,4,1899.0,1899.0,1899.0,1899.0,0.49171413775246,0.49171413775246,0.49171413775246,0.49171413775246
10,3,FBgn0036899,tr_FBgn0036899_3|tr_FBgn0036899_2|tr_FBgn0036899_1,0,0,0,0,0.0,9,87.0,373.0,268.6666666666667,346.0,0.0271875,0.1165625,0.084611968395376,0.110085905186128
11,3,FBgn0036900,tr_FBgn0036900_3|tr_FBgn0036900_2|tr_FBgn0036900_1,0,0,1,3,1.0,5,6.0,68.0,45.333333333333336,62.0,0.00194678780013,0.022063595068138,0.014709063378758668,0.020116807268008
12,3,FBgn0036909,tr_FBgn0036909_3|tr_FBgn0036909_1|tr_FBgn0036909_2,0,0,1,3,1.0,4,11.0,982.0,654.6666666666666,971.0,0.016393442622951,0.598051157125457,0.4019322031642073,0.591352009744214
13,4,FBgn0036911,tr_FBgn0036911_3|tr_FBgn0036911_2|tr_FBgn0036911_1|tr_FBgn0036911_4,0,0,1,4,1.0,7,67.0,378.0,204.5,202.0,0.052590266875981,0.24689745264533,0.14344925606009284,0.146929045031645
14,4,FBgn0036913,tr_FBgn0036913_4|tr_FBgn0036913_2|tr_FBgn0036913_3|tr_FBgn0036913_1,0,0,0,0,0.0,14,9.0,66.0,44.0,57.0,0.001426081445096,0.01045793059737,0.006976269746783333,0.0090382984257085
