gene_id,xscript_model_id,ERS_grp_num,flag_nonolp_pair,nonolp_xscript_id
FBgn0038419,FBtr0334733,1,0,
FBgn0038419,FBtr0345255,1,0,
FBgn0038420,FBtr0083324,2,0,
FBgn0038420,FBtr0345202,2,0,
FBgn0038421,FBtr0083323,3,0,
FBgn0038421,FBtr0345208,3,0,
FBgn0038421,FBtr0392900,3,0,
FBgn0038422,FBtr0083320,4,0,
FBgn0038422,FBtr0083321,4,0,
FBgn0038423,FBtr0300677,5,0,
FBgn0038423,FBtr0300678,5,0,
FBgn0038428,FBtr0083314,6,0,
FBgn0038428,FBtr0337016,6,0,
FBgn0038429,FBtr0083289,7,0,
FBgn0038429,FBtr0337015,7,0,
FBgn0038448,FBtr0331687,8,0,
FBgn0038448,FBtr0331688,8,0,
FBgn0038453,FBtr0083336,9,0,
FBgn0038453,FBtr0333728,9,0,
FBgn0038461,FBtr0083376,10,0,
FBgn0038461,FBtr0337064,10,0,
FBgn0038462,FBtr0083375,11,0,
FBgn0038462,FBtr0337063,11,0,
FBgn0038465,FBtr0083371,12,0,
FBgn0038465,FBtr0337060,12,0,
FBgn0038469,FBtr0305130,13,0,
FBgn0038469,FBtr0337062,13,0,
FBgn0038470,FBtr0305129,14,0,
FBgn0038470,FBtr0339156,14,0,
FBgn0038470,FBtr0339157,14,0,
FBgn0038475,FBtr0083422,15,0,
FBgn0038475,FBtr0083424,15,0,
FBgn0038481,FBtr0083417,16,0,
FBgn0038481,FBtr0346149,16,0,
FBgn0038488,FBtr0083414,17,0,
FBgn0038488,FBtr0337043,17,0,
FBgn0038491,FBtr0083410,18,0,
FBgn0038491,FBtr0337042,18,0,
FBgn0038492,FBtr0334402,19,0,
FBgn0038492,FBtr0334403,19,0,
FBgn0038499,FBtr0083452,20,0,
FBgn0038499,FBtr0302317,20,0,
FBgn0038504,FBtr0083447,21,0,
FBgn0038504,FBtr0339531,21,0,
FBgn0038504,FBtr0083448,22,0,
FBgn0038504,FBtr0339532,22,0,
FBgn0038516,FBtr0083454,23,0,
FBgn0038516,FBtr0083455,23,0,
FBgn0038524,FBtr0083462,24,0,
FBgn0038524,FBtr0305308,24,0,
FBgn0038526,FBtr0083465,25,0,
FBgn0038526,FBtr0345206,25,0,
FBgn0038532,FBtr0083476,26,0,
FBgn0038532,FBtr0344347,26,0,
FBgn0038535,FBtr0089412,27,0,
FBgn0038535,FBtr0089413,27,0,
FBgn0038535,FBtr0089417,27,0,
FBgn0038539,FBtr0083533,28,0,
FBgn0038539,FBtr0346730,28,0,
FBgn0038541,FBtr0332174,29,0,
FBgn0038541,FBtr0344630,29,0,
FBgn0038542,FBtr0083532,30,0,
FBgn0038542,FBtr0346161,30,0,
FBgn0038545,FBtr0083513,31,0,
FBgn0038545,FBtr0305007,31,0,
FBgn0038547,FBtr0083528,32,0,
FBgn0038547,FBtr0347216,32,0,
FBgn0038558,FBtr0083519,33,0,
