gene_id,xscript_model_id,ERS_grp_num,flag_nonolp_pair,nonolp_xscript_id,num_ER
FBgn0036816,tr_FBgn0036816_1,1,0,,9
FBgn0036816,tr_FBgn0036816_2,1,0,,9
FBgn0036821,tr_FBgn0036821_3,2,0,,8
FBgn0036821,tr_FBgn0036821_4,3,0,,8
FBgn0036832,tr_FBgn0036832_1,4,0,,3
FBgn0036832,tr_FBgn0036832_2,4,0,,3
FBgn0036850,tr_FBgn0036850_1,5,0,,2
FBgn0036850,tr_FBgn0036850_2,6,0,,2
FBgn0036881,tr_FBgn0036881_1,7,0,,5
FBgn0036881,tr_FBgn0036881_2,7,0,,5
FBgn0036881,tr_FBgn0036881_3,8,0,,5
FBgn0036890,tr_FBgn0036890_1,9,0,,2
FBgn0036890,tr_FBgn0036890_2,10,0,,2
FBgn0036890,tr_FBgn0036890_3,10,0,,2
FBgn0036892,tr_FBgn0036892_1,11,0,,9
FBgn0036892,tr_FBgn0036892_2,11,0,,9
FBgn0036896,tr_FBgn0036896_2,12,0,,8
FBgn0036896,tr_FBgn0036896_3,12,0,,8
FBgn0036896,tr_FBgn0036896_4,12,0,,8
FBgn0036897,tr_FBgn0036897_2,13,0,,4
FBgn0036897,tr_FBgn0036897_3,14,0,,4
FBgn0036899,tr_FBgn0036899_1,15,0,,9
FBgn0036899,tr_FBgn0036899_2,15,0,,9
FBgn0036899,tr_FBgn0036899_3,15,0,,9
FBgn0036900,tr_FBgn0036900_1,16,0,,5
FBgn0036900,tr_FBgn0036900_2,16,0,,5
FBgn0036900,tr_FBgn0036900_3,17,0,,5
FBgn0036909,tr_FBgn0036909_1,18,0,,4
FBgn0036909,tr_FBgn0036909_2,18,0,,4
FBgn0036909,tr_FBgn0036909_3,19,0,,3
FBgn0036911,tr_FBgn0036911_1,20,0,,7
FBgn0036911,tr_FBgn0036911_2,21,0,,7
FBgn0036911,tr_FBgn0036911_3,22,0,,7
FBgn0036911,tr_FBgn0036911_4,22,0,,7
FBgn0036913,tr_FBgn0036913_1,23,0,,14
FBgn0036913,tr_FBgn0036913_2,23,0,,14
FBgn0036913,tr_FBgn0036913_3,23,0,,14
FBgn0036913,tr_FBgn0036913_4,23,0,,14
FBgn0036915,tr_FBgn0036915_1,24,0,,2
FBgn0036915,tr_FBgn0036915_2,25,0,,2
FBgn0036921,tr_FBgn0036921_1,26,0,,5
FBgn0036921,tr_FBgn0036921_2,26,0,,5
FBgn0036922,tr_FBgn0036922_1,27,0,,2
FBgn0036922,tr_FBgn0036922_2,27,0,,2
FBgn0036934,tr_FBgn0036934_1,28,0,,3
FBgn0036934,tr_FBgn0036934_2,28,0,,3
FBgn0036938,tr_FBgn0036938_1,29,0,,2
FBgn0036938,tr_FBgn0036938_2,29,0,,2
FBgn0036945,tr_FBgn0036945_1,30,0,,3
FBgn0036945,tr_FBgn0036945_2,31,0,,3
FBgn0036952,tr_FBgn0036952_1,32,0,,2
FBgn0036952,tr_FBgn0036952_2,32,0,,2
FBgn0036952,tr_FBgn0036952_3,33,0,,3
FBgn0036952,tr_FBgn0036952_4,33,0,,3
FBgn0036958,tr_FBgn0036958_1,34,0,,5
FBgn0036958,tr_FBgn0036958_2,34,0,,5
FBgn0036958,tr_FBgn0036958_3,35,0,,3
FBgn0036958,tr_FBgn0036958_4,35,0,,3
FBgn0036958,tr_FBgn0036958_5,36,0,,11
FBgn0036958,tr_FBgn0036958_7,36,0,,11
FBgn0036967,tr_FBgn0036967_2,37,0,,7
FBgn0036967,tr_FBgn0036967_3,37,0,,7
FBgn0036970,tr_FBgn0036970_1,38,0,,5
FBgn0036970,tr_FBgn0036970_2,38,0,,5
FBgn0036974,tr_FBgn0036974_2,39,0,,8
FBgn0036974,tr_FBgn0036974_3,39,0,,8
FBgn0036974,tr_FBgn0036974_4,39,0,,8
FBgn0036974,tr_FBgn0036974_5,39,0,,8
FBgn0036974,tr_FBgn0036974_6,40,0,,7
FBgn0036977,tr_FBgn0036977_1,41,0,,3
FBgn0036977,tr_FBgn0036977_2,42,0,,3
FBgn0036991,tr_FBgn0036991_1,43,0,,4
FBgn0036991,tr_FBgn0036991_2,43,0,,4
FBgn0036992,tr_FBgn0036992_1,44,0,,4
FBgn0036992,tr_FBgn0036992_2,45,0,,4
FBgn0036994,tr_FBgn0036994_1,46,0,,3
FBgn0036994,tr_FBgn0036994_2,46,0,,3
FBgn0037007,tr_FBgn0037007_1,47,0,,5
FBgn0037007,tr_FBgn0037007_2,47,0,,5
FBgn0037007,tr_FBgn0037007_3,47,0,,5
FBgn0037007,tr_FBgn0037007_4,48,0,,5
FBgn0037007,tr_FBgn0037007_5,48,0,,5
FBgn0037010,tr_FBgn0037010_1,49,0,,6
FBgn0037010,tr_FBgn0037010_2,49,0,,6
FBgn0037015,tr_FBgn0037015_1,50,0,,6
FBgn0037015,tr_FBgn0037015_2,50,0,,6
FBgn0037015,tr_FBgn0037015_3,51,0,,5
FBgn0037024,tr_FBgn0037024_1,52,0,,2
FBgn0037024,tr_FBgn0037024_2,52,0,,2
FBgn0037024,tr_FBgn0037024_3,52,0,,2
FBgn0037025,tr_FBgn0037025_1,53,0,,5
FBgn0037025,tr_FBgn0037025_2,54,0,,5
FBgn0037026,tr_FBgn0037026_1,55,0,,2
FBgn0037026,tr_FBgn0037026_2,56,0,,2
FBgn0037027,tr_FBgn0037027_1,57,0,,6
FBgn0037027,tr_FBgn0037027_2,57,0,,6
FBgn0037027,tr_FBgn0037027_3,57,0,,6
FBgn0037027,tr_FBgn0037027_4,57,0,,6
FBgn0037028,tr_FBgn0037028_1,58,0,,2
FBgn0037028,tr_FBgn0037028_2,59,0,,2
FBgn0037031,tr_FBgn0037031_2,60,0,,5
FBgn0037031,tr_FBgn0037031_3,61,0,,5
FBgn0037039,tr_FBgn0037039_1,62,0,,2
FBgn0037039,tr_FBgn0037039_2,63,0,,2
FBgn0037039,tr_FBgn0037039_3,62,0,,2
FBgn0037040,tr_FBgn0037040_1,64,0,,8
FBgn0037040,tr_FBgn0037040_5,64,0,,8
FBgn0037040,tr_FBgn0037040_2,65,0,,9
FBgn0037040,tr_FBgn0037040_4,66,0,,9
FBgn0037040,tr_FBgn0037040_3,66,0,,9
FBgn0037060,tr_FBgn0037060_2,67,0,,10
FBgn0037060,tr_FBgn0037060_4,67,0,,10
FBgn0037065,tr_FBgn0037065_1,68,0,,5
FBgn0037065,tr_FBgn0037065_2,68,0,,5
