ERG_num,ERG_size,gene_id,xscripts,contains_which_gtf,flag_nonolp_pair,flag_IR_in_set,num_IR_xscripts,prop_IR,num_ER,min_num_nt_noOvlp,max_num_nt_noOvlp,mean_num_nt_noOvlp,median_num_nt_noOvlp,min_prop_nt_noOvlp,max_prop_nt_noOvlp,mean_prop_nt_noOvlp,median_prop_nt_noOvlp
1,2,FBgn0038405,FBtr0100110|FBtr0344472,0,0,1,2,1.0,2,62.0,62.0,62.0,62.0,0.042640990371389,0.042640990371389,0.042640990371389,0.042640990371389
2,2,FBgn0038419,FBtr0083325|FBtr0083326,0,0,1,2,1.0,2,93.0,93.0,93.0,93.0,0.050488599348534,0.050488599348534,0.050488599348534,0.050488599348534
3,2,FBgn0038419,FBtr0345255|FBtr0334733,0,0,0,0,0.0,3,52.0,52.0,52.0,52.0,0.047575480329369,0.047575480329369,0.047575480329369,0.047575480329369
4,2,FBgn0038420,FBtr0345202|FBtr0083324,0,0,0,0,0.0,4,120.0,120.0,120.0,120.0,0.110497237569061,0.110497237569061,0.110497237569061,0.110497237569061
5,4,FBgn0038421,FBtr0332177|FBtr0083323|FBtr0392900|FBtr0345208,0,1,1,2,0.5,3,148.0,753.0,448.0,445.5,0.162637362637363,0.497029702970297,0.32786482785034227,0.3258961228968545
6,2,FBgn0038422,FBtr0083321|FBtr0083320,0,0,0,0,0.0,5,8.0,8.0,8.0,8.0,0.003078106964217,0.003078106964217,0.003078106964217,0.003078106964217
7,2,FBgn0038423,FBtr0300678|FBtr0300677,0,0,0,0,0.0,3,516.0,516.0,516.0,516.0,0.348413234301148,0.348413234301148,0.348413234301148,0.348413234301148
8,2,FBgn0038425,FBtr0083287|FBtr0083288,0,0,1,2,1.0,3,88.0,88.0,88.0,88.0,0.083491461100569,0.083491461100569,0.083491461100569,0.083491461100569
9,2,FBgn0038428,FBtr0337016|FBtr0083314,0,0,0,0,0.0,2,163.0,163.0,163.0,163.0,0.146714671467147,0.146714671467147,0.146714671467147,0.146714671467147
10,2,FBgn0038429,FBtr0337015|FBtr0083289,0,0,0,0,0.0,2,243.0,243.0,243.0,243.0,0.138540478905359,0.138540478905359,0.138540478905359,0.138540478905359
11,2,FBgn0038448,FBtr0331688|FBtr0331687,0,0,0,0,0.0,6,13.0,13.0,13.0,13.0,0.007719714964371,0.007719714964371,0.007719714964371,0.007719714964371
12,2,FBgn0038453,FBtr0083336|FBtr0333728,0,0,0,0,0.0,3,116.0,116.0,116.0,116.0,0.089644513137558,0.089644513137558,0.089644513137558,0.089644513137558
13,2,FBgn0038461,FBtr0337064|FBtr0083376,0,0,0,0,0.0,4,128.0,128.0,128.0,128.0,0.105263157894737,0.105263157894737,0.105263157894737,0.105263157894737
14,2,FBgn0038462,FBtr0083375|FBtr0337063,0,0,0,0,0.0,4,141.0,141.0,141.0,141.0,0.114634146341463,0.114634146341463,0.114634146341463,0.114634146341463
15,2,FBgn0038465,FBtr0337060|FBtr0083371,0,0,0,0,0.0,11,49.0,49.0,49.0,49.0,0.020502092050209,0.020502092050209,0.020502092050209,0.020502092050209
16,2,FBgn0038469,FBtr0305130|FBtr0337062,0,0,0,0,0.0,5,128.0,128.0,128.0,128.0,0.057813911472448,0.057813911472448,0.057813911472448,0.057813911472448
17,3,FBgn0038470,FBtr0339156|FBtr0305129|FBtr0339157,0,0,0,0,0.0,13,3.0,12.0,8.0,9.0,0.001001001001001,0.004004004004004,0.002669336002669333,0.003003003003003
18,2,FBgn0038475,FBtr0083424|FBtr0083422,0,0,0,0,0.0,6,450.0,450.0,450.0,450.0,0.142314990512334,0.142314990512334,0.142314990512334,0.142314990512334
19,2,FBgn0038481,FBtr0083417|FBtr0346149,0,0,0,0,0.0,1,76.0,76.0,76.0,76.0,0.069852941176471,0.069852941176471,0.069852941176471,0.069852941176471
