gene_id,transcript_1,transcript_2,num_junction_T1_only,num_junction_T2_only,num_junction_shared,prop_junction_diff,prop_junction_similar,junction_T1_only,junction_T2_only,junction_shared,num_ER_T1_only,num_ER_T2_only,num_ER_shared,prop_ER_diff,prop_ER_similar,ER_T1_only,ER_T2_only,ER_shared,num_fragment_T1_only,num_fragment_T2_only,num_fragment_shared,prop_fragment_diff,prop_fragment_similar,fragment_T1_only,fragment_T2_only,fragment_shared,num_fragment_singletons_T1_only,num_fragment_singletons_T2_only,num_fragment_singletons_shared,num_IR_fragment_T1,num_IR_fragment_T2,IR_fragment_T1,IR_fragment_T2,num_nt_shared,num_nt_T1_only,num_nt_T2_only,num_nt_diff,total_nt,prop_nt_diff,prop_nt_similar,num_nt_T1_only_in_shared_ER,num_nt_T2_only_in_shared_ER,num_nt_shared_in_shared_ER,total_nt_in_shared_ER,prop_nt_diff_in_shared_ER,prop_nt_similar_in_shared_ER,num_nt_T1_only_in_unique_ER,num_nt_T2_only_in_unique_ER,flag_FSM,flag_IR,flag_5_variation,flag_3_variation,flag_alt_donor_acceptor,flag_alt_exon,flag_no_shared_nt
gene:WBGene00000122,tr_gene:WBGene00000122_1,tr_gene:WBGene00000122_2,1,2,1,0.75,0.25,IV:12123820:12124256:+,IV:12123511:12123581:+|IV:12123681:12123748:+,IV:12124363:12124433:+,0,2,2,0.5,0.5,,IV:12123313:12123521:+|IV:12123571:12123691:+,IV:12123738:12124373:+|IV:12124423:12124807:+,0,3,3,0.5,0.5,,IV:12123313:12123521:+|IV:12123571:12123691:+|IV:12123830:12124246:+,IV:12123738:12123830:+|IV:12124246:12124373:+|IV:12124423:12124807:+,0,2,1,0,1,,IV:12123830:12124246:+,603,0,744,744,1347,0.5523385300668151,0.4476614699331849,0,416,603,1019,0.408243375858685,0.591756624141315,0,328,0,1,1,0,0,0,0
gene:WBGene00000186,tr_gene:WBGene00000186_1,tr_gene:WBGene00000186_2,1,1,10,0.16666666666666666,0.8333333333333334,IV:12622515:12622589:-,IV:12622527:12622589:-,IV:12622814:12623094:-|IV:12623296:12623665:-|IV:12624117:12624925:-|IV:12625438:12626361:-|IV:12626711:12627518:-|IV:12627842:12628368:-|IV:12628669:12629249:-|IV:12629464:12630103:-|IV:12630258:12630704:-|IV:12630770:12630902:-,0,0,12,0.0,1.0,,,IV:12622092:12622537:-|IV:12622579:12622824:-|IV:12623084:12623306:-|IV:12623655:12624127:-|IV:12624915:12625448:-|IV:12626351:12626721:-|IV:12627508:12627852:-|IV:12628358:12628679:-|IV:12629239:12629474:-|IV:12630093:12630268:-|IV:12630694:12630780:-|IV:12630892:12631022:-,0,1,12,0.07692307692307693,0.9230769230769231,,IV:12622525:12622537:-,IV:12622092:12622525:-|IV:12622579:12622824:-|IV:12623084:12623306:-|IV:12623655:12624127:-|IV:12624915:12625448:-|IV:12626351:12626721:-|IV:12627508:12627852:-|IV:12628358:12628679:-|IV:12629239:12629474:-|IV:12630093:12630268:-|IV:12630694:12630780:-|IV:12630892:12631022:-,0,0,11,0,0,,,3566,0,12,12,3578,0.003353828954723309,0.9966461710452766,0,12,3566,3578,0.003353828954723309,0.9966461710452766,0,0,0,0,0,0,1,0,0
gene:WBGene00000376,tr_gene:WBGene00000376_1,tr_gene:WBGene00000376_2,1,1,6,0.25,0.75,IV:12362071:12363048:+,IV:12361684:12363048:+,IV:12363228:12363296:+|IV:12363380:12363886:+|IV:12364125:12368404:+|IV:12368453:12368793:+|IV:12369238:12369307:+|IV:12369815:12370460:+,1,1,7,0.2222222222222222,0.7777777777777778,IV:12361957:12362081:+,IV:12361541:12361694:+,IV:12363038:12363238:+|IV:12363286:12363390:+|IV:12363876:12364135:+|IV:12368394:12368463:+|IV:12368783:12369248:+|IV:12369297:12369825:+|IV:12370450:12371828:+,1,1,7,0.2222222222222222,0.7777777777777778,IV:12361957:12362081:+,IV:12361541:12361694:+,IV:12363038:12363238:+|IV:12363286:12363390:+|IV:12363876:12364135:+|IV:12368394:12368463:+|IV:12368783:12369248:+|IV:12369297:12369825:+|IV:12370450:12371828:+,1,1,7,0,0,,,3003,124,153,277,3280,0.08445121951219513,0.9155487804878049,0,0,3003,3003,0.0,1.0,124,153,0,0,1,0,0,1,0
gene:WBGene00000509,tr_gene:WBGene00000509_1,tr_gene:WBGene00000509_2,1,4,5,0.5,0.5,IV:9732881:9732956:-,IV:9732259:9732335:-|IV:9732463:9732531:-|IV:9732642:9732793:-|IV:9732890:9732956:-,IV:9733003:9733076:-|IV:9733167:9733232:-|IV:9733315:9733419:-|IV:9733551:9733618:-|IV:9733735:9733800:-,0,3,7,0.3,0.7,,IV:9731736:9732269:-|IV:9732325:9732473:-|IV:9732521:9732652:-,IV:9732783:9732900:-|IV:9732946:9733013:-|IV:9733066:9733177:-|IV:9733222:9733325:-|IV:9733409:9733561:-|IV:9733608:9733745:-|IV:9733790:9733928:-,0,4,7,0.36363636363636365,0.6363636363636364,,IV:9731736:9732269:-|IV:9732325:9732473:-|IV:9732521:9732652:-|IV:9732891:9732900:-,IV:9732783:9732891:-|IV:9732946:9733013:-|IV:9733066:9733177:-|IV:9733222:9733325:-|IV:9733409:9733561:-|IV:9733608:9733745:-|IV:9733790:9733928:-,0,3,6,0,0,,,816,0,821,821,1637,0.5015271838729383,0.49847281612706174,0,9,816,825,0.01090909090909091,0.9890909090909091,0,812,0,0,0,1,1,1,0
gene:WBGene00000865,tr_gene:WBGene00000865_1,tr_gene:WBGene00000865_2,5,0,0,1,0,IV:10735371:10735451:+|IV:10735505:10735567:+|IV:10735966:10736065:+|IV:10736432:10736498:+|IV:10736581:10736645:+,,,0,5,1,0.8333333333333334,0.16666666666666663,,IV:10735258:10735381:+|IV:10735441:10735515:+|IV:10735557:10735976:+|IV:10736055:10736442:+|IV:10736488:10736591:+,IV:10736635:10737177:+,1,5,1,0.8571428571428571,0.1428571428571429,IV:10736999:10737177:+,IV:10735258:10735381:+|IV:10735441:10735515:+|IV:10735557:10735976:+|IV:10736055:10736442:+|IV:10736488:10736591:+,IV:10736635:10736999:+,0,5,0,0,0,,,364,178,1106,1284,1648,0.779126213592233,0.220873786407767,178,0,364,542,0.3284132841328413,0.6715867158671587,0,1106,0,0,1,1,1,1,0
gene:WBGene00000866,tr_gene:WBGene00000866_1,tr_gene:WBGene00000866_2,3,0,0,1,0,IV:10986329:10986437:+|IV:10986804:10986868:+|IV:10986951:10987013:+,,,0,0,1,0.0,1.0,,,IV:10985984:10987426:+,3,0,4,0.42857142857142855,0.5714285714285714,IV:10986339:10986427:+|IV:10986814:10986858:+|IV:10986961:10987003:+,,IV:10985984:10986339:+|IV:10986427:10986814:+|IV:10986858:10986961:+|IV:10987003:10987426:+,0,0,0,3,0,IV:10986339:10986427:+|IV:10986814:10986858:+|IV:10986961:10987003:+,,1268,174,0,174,1442,0.12066574202496533,0.8793342579750347,174,0,1268,1442,0.12066574202496533,0.8793342579750347,0,0,0,1,0,0,0,0,0
gene:WBGene00001007,tr_gene:WBGene00001007_1,tr_gene:WBGene00001007_2,1,3,3,0.5714285714285714,0.4285714285714286,IV:13097813:13097883:-,IV:13097240:13097307:-|IV:13097518:13097588:-|IV:13097819:13097883:-,IV:13098028:13098098:-|IV:13098174:13098237:-|IV:13098576:13098645:-,0,2,5,0.2857142857142857,0.7142857142857143,,IV:13096957:13097250:-|IV:13097297:13097528:-,IV:13097578:13097829:-|IV:13097873:13098038:-|IV:13098088:13098184:-|IV:13098227:13098586:-|IV:13098635:13098813:-,0,3,5,0.375,0.625,,IV:13096957:13097250:-|IV:13097297:13097528:-|IV:13097823:13097829:-,IV:13097578:13097823:-|IV:13097873:13098038:-|IV:13098088:13098184:-|IV:13098227:13098586:-|IV:13098635:13098813:-,0,2,4,0,0,,,1043,0,530,530,1573,0.336935791481246,0.6630642085187539,0,6,1043,1049,0.005719733079122974,0.994280266920877,0,524,0,0,0,1,1,1,0
gene:WBGene00001058,tr_gene:WBGene00001058_1,tr_gene:WBGene00001058_2,6,0,0,1,0,IV:4802926:4802992:-|IV:4803376:4803861:-|IV:4803986:4804054:-|IV:4804480:4804825:-|IV:4805315:4805387:-|IV:4805683:4806290:-,,,0,6,1,0.8571428571428571,0.1428571428571429,,IV:4802701:4802936:-|IV:4802982:4803386:-|IV:4803851:4803996:-|IV:4804044:4804490:-|IV:4804815:4805325:-|IV:4805377:4805693:-,IV:4806280:4806586:-,0,7,1,0.875,0.125,,IV:4802701:4802936:-|IV:4802982:4803386:-|IV:4803851:4803996:-|IV:4804044:4804490:-|IV:4804815:4805325:-|IV:4805377:4805693:-|IV:4806280:4806281:-,IV:4806281:4806586:-,0,6,0,0,0,,,305,0,2057,2057,2362,0.8708721422523286,0.12912785774767144,0,1,305,306,0.0032679738562091504,0.9967320261437909,0,2056,0,0,0,1,1,1,0
gene:WBGene00001085,tr_gene:WBGene00001085_1,tr_gene:WBGene00001085_2,2,1,7,0.3,0.7,IV:12450791:12450866:-|IV:12451189:12451258:-,IV:12445076:12445759:-,IV:12446494:12446566:-|IV:12447062:12447130:-|IV:12447215:12447284:-|IV:12447333:12447841:-|IV:12447915:12447980:-|IV:12448578:12449056:-|IV:12449758:12449831:-,2,1,8,0.2727272727272727,0.7272727272727273,IV:12450856:12451199:-|IV:12451248:12451299:-,IV:12444449:12445086:-,IV:12445749:12446504:-|IV:12446556:12447072:-|IV:12447120:12447225:-|IV:12447274:12447343:-|IV:12447831:12447925:-|IV:12447970:12448588:-|IV:12449046:12449768:-|IV:12449821:12450801:-,3,2,8,0.38461538461538464,0.6153846153846154,IV:12449922:12450801:-|IV:12450856:12451199:-|IV:12451248:12451299:-,IV:12444449:12445086:-|IV:12445749:12445884:-,IV:12445884:12446504:-|IV:12446556:12447072:-|IV:12447120:12447225:-|IV:12447274:12447343:-|IV:12447831:12447925:-|IV:12447970:12448588:-|IV:12449046:12449768:-|IV:12449821:12449922:-,2,1,6,0,0,,,2845,1273,772,2045,4890,0.418200408997955,0.581799591002045,879,135,2845,3859,0.2627623736719357,0.7372376263280642,394,637,0,0,1,1,1,1,0
gene:WBGene00001151,tr_gene:WBGene00001151_1,tr_gene:WBGene00001151_2,1,5,0,1.0,0.0,IV:11856206:11856276:-,IV:11855269:11855440:-|IV:11855696:11855763:-|IV:11855934:11856007:-|IV:11856053:11856115:-|IV:11856213:11856276:-,,0,4,2,0.6666666666666666,0.33333333333333337,,IV:11854978:11855279:-|IV:11855430:11855706:-|IV:11855753:11855944:-|IV:11855997:11856063:-,IV:11856105:11856223:-|IV:11856266:11856341:-,0,5,2,0.7142857142857143,0.2857142857142857,,IV:11854978:11855279:-|IV:11855430:11855706:-|IV:11855753:11855944:-|IV:11855997:11856063:-|IV:11856216:11856223:-,IV:11856105:11856216:-|IV:11856266:11856341:-,0,4,1,0,0,,,186,0,841,841,1027,0.818889970788705,0.18111002921129504,0,7,186,193,0.03626943005181347,0.9637305699481865,0,834,0,0,0,1,1,1,0
gene:WBGene00001173,tr_gene:WBGene00001173_1,tr_gene:WBGene00001173_2,0,7,2,0.7777777777777778,0.2222222222222222,,IV:1848216:1860845:+|IV:1860993:1862692:+|IV:1862908:1864129:+|IV:1864276:1865382:+|IV:1865459:1871773:+|IV:1871877:1873594:+|IV:1873682:1875651:+,IV:1876197:1877196:+|IV:1877810:1879853:+,0,7,3,0.7,0.30000000000000004,,IV:1847967:1848226:+|IV:1860835:1861003:+|IV:1862682:1862918:+|IV:1864119:1864286:+|IV:1865372:1865469:+|IV:1871763:1871887:+|IV:1873584:1873692:+,IV:1875641:1876207:+|IV:1877186:1877820:+|IV:1879843:1880587:+,0,8,3,0.7272727272727273,0.2727272727272727,,IV:1847967:1848226:+|IV:1860835:1861003:+|IV:1862682:1862918:+|IV:1864119:1864286:+|IV:1865372:1865469:+|IV:1871763:1871887:+|IV:1873584:1873692:+|IV:1875641:1875650:+,IV:1875650:1876207:+|IV:1877186:1877820:+|IV:1879843:1880587:+,0,7,2,0,0,,,1935,0,1168,1168,3103,0.3764099258781824,0.6235900741218177,0,9,1935,1944,0.004629629629629629,0.9953703703703703,0,1159,0,0,1,0,1,1,0
gene:WBGene00001239,tr_gene:WBGene00001239_1,tr_gene:WBGene00001239_2,1,1,2,0.5,0.5,IV:9526514:9526999:+,IV:9526523:9527002:+,IV:9527163:9527408:+|IV:9527774:9528020:+,0,0,4,0.0,1.0,,,IV:9526365:9526533:+|IV:9526989:9527173:+|IV:9527398:9527784:+|IV:9528010:9528350:+,1,1,4,0.3333333333333333,0.6666666666666667,IV:9526989:9526992:+,IV:9526524:9526533:+,IV:9526365:9526524:+|IV:9526992:9527173:+|IV:9527398:9527784:+|IV:9528010:9528350:+,0,0,2,0,0,,,1066,3,9,12,1078,0.011131725417439703,0.9888682745825603,3,9,1066,1078,0.011131725417439703,0.9888682745825603,0,0,0,0,0,0,1,0,0
gene:WBGene00001330,tr_gene:WBGene00001330_1,tr_gene:WBGene00001330_2,5,12,0,1.0,0.0,IV:14896116:14897330:+|IV:14897495:14897629:+|IV:14897691:14898139:+|IV:14898276:14898654:+|IV:14898770:14900283:+,IV:14879605:14885582:+|IV:14885693:14886623:+|IV:14886824:14888388:+|IV:14888596:14889219:+|IV:14889323:14891473:+|IV:14891764:14891842:+|IV:14892055:14893796:+|IV:14893954:14894176:+|IV:14894231:14894350:+|IV:14894434:14894543:+|IV:14894839:14894915:+|IV:14895006:14896069:+,,5,12,1,0.9444444444444444,0.05555555555555558,IV:14897320:14897505:+|IV:14897619:14897701:+|IV:14898129:14898286:+|IV:14898644:14898780:+|IV:14900273:14900652:+,IV:14879489:14879615:+|IV:14885572:14885703:+|IV:14886613:14886834:+|IV:14888378:14888606:+|IV:14889209:14889333:+|IV:14891463:14891774:+|IV:14891832:14892065:+|IV:14893786:14893964:+|IV:14894166:14894241:+|IV:14894340:14894444:+|IV:14894533:14894849:+|IV:14894905:14895016:+,IV:14896059:14896693:+,5,13,1,0.9473684210526315,0.052631578947368474,IV:14897320:14897505:+|IV:14897619:14897701:+|IV:14898129:14898286:+|IV:14898644:14898780:+|IV:14900273:14900652:+,IV:14879489:14879615:+|IV:14885572:14885703:+|IV:14886613:14886834:+|IV:14888378:14888606:+|IV:14889209:14889333:+|IV:14891463:14891774:+|IV:14891832:14892065:+|IV:14893786:14893964:+|IV:14894166:14894241:+|IV:14894340:14894444:+|IV:14894533:14894849:+|IV:14894905:14895016:+|IV:14896126:14896693:+,IV:14896059:14896126:+,5,12,0,0,0,,,67,939,2725,3664,3731,0.9820423478960064,0.017957652103993582,0,567,67,634,0.8943217665615142,0.10567823343848581,939,2158,0,0,1,1,1,1,0
gene:WBGene00001398,tr_gene:WBGene00001398_1,tr_gene:WBGene00001398_2,1,4,0,1.0,0.0,IV:11915169:11915558:-,IV:11914088:11914216:-|IV:11914358:11914433:-|IV:11914750:11915068:-|IV:11915171:11915558:-,,0,3,2,0.6,0.4,,IV:11913691:11914098:-|IV:11914206:11914368:-|IV:11914423:11914760:-,IV:11915058:11915181:-|IV:11915548:11915687:-,0,4,2,0.6666666666666666,0.33333333333333337,,IV:11913691:11914098:-|IV:11914206:11914368:-|IV:11914423:11914760:-|IV:11915179:11915181:-,IV:11915058:11915179:-|IV:11915548:11915687:-,0,3,1,0,0,,,260,0,908,908,1168,0.7773972602739726,0.2226027397260274,0,2,260,262,0.007633587786259542,0.9923664122137404,0,906,0,0,0,1,1,1,0
gene:WBGene00001411,tr_gene:WBGene00001411_1,tr_gene:WBGene00001411_2,1,8,2,0.8181818181818182,0.18181818181818177,IV:5537438:5537507:-,IV:5533515:5534134:-|IV:5534830:5534916:-|IV:5535042:5536535:-|IV:5536632:5536698:-|IV:5537044:5537119:-|IV:5537188:5537255:-|IV:5537341:5537411:-|IV:5537445:5537507:-,IV:5537548:5537612:-|IV:5537718:5537791:-,0,7,4,0.6363636363636364,0.36363636363636365,,IV:5533141:5533525:-|IV:5534124:5534840:-|IV:5534906:5535052:-|IV:5536525:5536642:-|IV:5536688:5537054:-|IV:5537109:5537198:-|IV:5537245:5537351:-,IV:5537401:5537455:-|IV:5537497:5537558:-|IV:5537602:5537728:-|IV:5537781:5537929:-,0,8,4,0.6666666666666666,0.33333333333333337,,IV:5533141:5533525:-|IV:5534124:5534840:-|IV:5534906:5535052:-|IV:5536525:5536642:-|IV:5536688:5537054:-|IV:5537109:5537198:-|IV:5537245:5537351:-|IV:5537448:5537455:-,IV:5537401:5537448:-|IV:5537497:5537558:-|IV:5537602:5537728:-|IV:5537781:5537929:-,0,7,3,0,0,,,382,0,1931,1931,2313,0.8348465196714224,0.16515348032857757,0,7,382,389,0.017994858611825194,0.9820051413881749,0,1924,0,0,0,1,1,1,0
