ERS_grp_num,ERS_grp_size,gene_id,xscripts,contains_which_gtf,flag_nonolp_pair,flag_IR_in_set,num_IR_xscripts,prop_IR,num_ER,min_num_nt_diff,max_num_nt_diff,mean_num_nt_diff,median_num_nt_diff,min_prop_nt_diff,max_prop_nt_diff,mean_prop_nt_diff,median_prop_nt_diff
1,2,XLOC_004413,flair_XLOC_004413_1_FLAIR|isoseq3cluster_XLOC_004413_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,XLOC_004381,isoseq3cluster_XLOC_004381_1_isoseq3cluster|flair_XLOC_004381_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,XLOC_004372,flair_XLOC_004372_1_FLAIR|isoseq3cluster_XLOC_004372_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,XLOC_004353,isoseq3cluster_XLOC_004353_1_isoseq3cluster|flair_XLOC_004353_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,XLOC_004347,flair_XLOC_004347_1_FLAIR|isoseq3cluster_XLOC_004347_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,XLOC_004346,isoseq3cluster_XLOC_004346_1_isoseq3cluster|flair_XLOC_004346_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,XLOC_004342,isoseq3cluster_XLOC_004342_1_isoseq3cluster|flair_XLOC_004342_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,XLOC_004341,isoseq3cluster_XLOC_004341_1_isoseq3cluster|flair_XLOC_004341_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,XLOC_004340,flair_XLOC_004340_1_FLAIR|isoseq3cluster_XLOC_004340_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,XLOC_004328,flair_XLOC_004328_1_FLAIR|isoseq3cluster_XLOC_004328_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2,XLOC_004299,isoseq3cluster_XLOC_004299_1_isoseq3cluster|flair_XLOC_004299_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2,XLOC_004292,flair_XLOC_004292_1_FLAIR|isoseq3cluster_XLOC_004292_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,XLOC_004279,isoseq3cluster_XLOC_004279_1_isoseq3cluster|flair_XLOC_004279_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2,XLOC_004258,flair_XLOC_004258_1_FLAIR|isoseq3cluster_XLOC_004258_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2,XLOC_004253,flair_XLOC_004253_1_FLAIR|isoseq3cluster_XLOC_004253_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,XLOC_004248,isoseq3cluster_XLOC_004248_1_isoseq3cluster|flair_XLOC_004248_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2,XLOC_004247,flair_XLOC_004247_1_FLAIR|isoseq3cluster_XLOC_004247_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2,XLOC_004217,flair_XLOC_004217_1_FLAIR|isoseq3cluster_XLOC_004217_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2,XLOC_004204,isoseq3cluster_XLOC_004204_1_isoseq3cluster|flair_XLOC_004204_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2,XLOC_004200,isoseq3cluster_XLOC_004200_1_isoseq3cluster|flair_XLOC_004200_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,3,XLOC_004192,isoseq3cluster_XLOC_004192_1_isoseq3cluster|flair_XLOC_004192_1_FLAIR|isoseq3cluster_XLOC_004192_2_isoseq3cluster,3,1,0,0,0.0,1,0.0,28.0,14.0,14.0,0.0,0.0123348017621145,0.00616740088105725,0.00616740088105725
22,2,XLOC_004182,flair_XLOC_004182_1_FLAIR|isoseq3cluster_XLOC_004182_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3,XLOC_004170,isoseq3cluster_XLOC_004170_2_isoseq3cluster|flair_XLOC_004170_1_FLAIR|isoseq3cluster_XLOC_004170_1_isoseq3cluster,3,1,0,0,0.0,1,0.0,56.0,28.0,28.0,0.0,0.0161569532602423,0.00807847663012115,0.00807847663012115
24,2,XLOC_004163,isoseq3cluster_XLOC_004163_1_isoseq3cluster|flair_XLOC_004163_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2,XLOC_004162,flair_XLOC_004162_1_FLAIR|isoseq3cluster_XLOC_004162_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2,XLOC_004160,flair_XLOC_004160_1_FLAIR|isoseq3cluster_XLOC_004160_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2,XLOC_004155,flair_XLOC_004155_1_FLAIR|isoseq3cluster_XLOC_004155_1_isoseq3cluster,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,XLOC_004142,isoseq3cluster_XLOC_004142_1_isoseq3cluster|flair_XLOC_004142_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,7,XLOC_004135,flair_XLOC_004135_1_FLAIR|isoseq3cluster_XLOC_004135_6_isoseq3cluster|isoseq3cluster_XLOC_004135_3_isoseq3cluster|isoseq3cluster_XLOC_004135_1_isoseq3cluster|isoseq3cluster_XLOC_004135_5_isoseq3cluster|isoseq3cluster_XLOC_004135_4_isoseq3cluster|isoseq3cluster_XLOC_004135_2_isoseq3cluster,3,1,0,0,0.0,1,0.0,1767.0,783.3333333333334,882.5,0.0,0.4322407045009784,0.20213706761891376,0.24645729880661393
30,2,XLOC_004131,isoseq3cluster_XLOC_004131_1_isoseq3cluster|flair_XLOC_004131_1_FLAIR,3,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,3,XLOC_004130,flair_XLOC_004130_2_FLAIR|flair_XLOC_004130_1_FLAIR|isoseq3cluster_XLOC_004130_1_isoseq3cluster,3,1,0,0,0.0,1,0.0,400.0,200.0,200.0,0.0,0.1514004542013626,0.0757002271006813,0.0757002271006813
