transcript_id,input_gene_id,output_gene_id
FBtr0307364,FBtr0307364,XLOC_013877
FBtr0112921,FBtr0112921,XLOC_015099
FBtr0307094,FBtr0307094,XLOC_015099
FBtr0307095,FBtr0307095,XLOC_015099
FBtr0340053,FBtr0340053,XLOC_013878
FBtr0340054,FBtr0340054,XLOC_013878
FBtr0112919,FBtr0112919,XLOC_013878
FBtr0112920,FBtr0112920,XLOC_013878
FBtr0302200,FBtr0302200,XLOC_013878
FBtr0340055,FBtr0340055,XLOC_013878
FBtr0309716,FBtr0309716,XLOC_013879
FBtr0345995,FBtr0345995,XLOC_015100
FBtr0345996,FBtr0345996,XLOC_015100
FBtr0345997,FBtr0345997,XLOC_015100
FBtr0345993,FBtr0345993,XLOC_013880
FBtr0345994,FBtr0345994,XLOC_013880
FBtr0300673,FBtr0300673,XLOC_015101
FBtr0340051,FBtr0340051,XLOC_015101
FBtr0340057,FBtr0340057,XLOC_013880
FBtr0332568,FBtr0332568,XLOC_015102
FBtr0100135,FBtr0100135,XLOC_013880
FBtr0100136,FBtr0100136,XLOC_013880
FBtr0340056,FBtr0340056,XLOC_013880
FBtr0340207,FBtr0340207,XLOC_015103
FBtr0070107,FBtr0070107,XLOC_015103
FBtr0070108,FBtr0070108,XLOC_015103
FBtr0070063,FBtr0070063,XLOC_013881
FBtr0332992,FBtr0332992,XLOC_013881
FBtr0299977,FBtr0299977,XLOC_013882
FBtr0299978,FBtr0299978,XLOC_013882
FBtr0070064,FBtr0070064,XLOC_013883
FBtr0070065,FBtr0070065,XLOC_013883
FBtr0070106,FBtr0070106,XLOC_015104
FBtr0332990,FBtr0332990,XLOC_015104
FBtr0332991,FBtr0332991,XLOC_013883
FBtr0332988,FBtr0332988,XLOC_015105
FBtr0332989,FBtr0332989,XLOC_015105
FBtr0308207,FBtr0308207,XLOC_015105
FBtr0100577,FBtr0100577,XLOC_015106
FBtr0100578,FBtr0100578,XLOC_015106
FBtr0100579,FBtr0100579,XLOC_015106
FBtr0100580,FBtr0100580,XLOC_015106
FBtr0100581,FBtr0100581,XLOC_015106
FBtr0100582,FBtr0100582,XLOC_015106
FBtr0089442,FBtr0089442,XLOC_015106
FBtr0332976,FBtr0332976,XLOC_015106
FBtr0332977,FBtr0332977,XLOC_015106
FBtr0332978,FBtr0332978,XLOC_015106
FBtr0089441,FBtr0089441,XLOC_015106
FBtr0308208,FBtr0308208,XLOC_015106
FBtr0308209,FBtr0308209,XLOC_015106
FBtr0070066,FBtr0070066,XLOC_013884
FBtr0304371,FBtr0304371,XLOC_015107
FBtr0300326,FBtr0300326,XLOC_015108
FBtr0070103,FBtr0070103,XLOC_015108
FBtr0342963,FBtr0342963,XLOC_015108
FBtr0070069,FBtr0070069,XLOC_013885
FBtr0070070,FBtr0070070,XLOC_013886
FBtr0070101,FBtr0070101,XLOC_015109
FBtr0070102,FBtr0070102,XLOC_015109
FBtr0344150,FBtr0344150,XLOC_015109
FBtr0344151,FBtr0344151,XLOC_015109
FBtr0273443,FBtr0273443,XLOC_015109
FBtr0273442,FBtr0273442,XLOC_015109
FBtr0342962,FBtr0342962,XLOC_013884
FBtr0070067,FBtr0070067,XLOC_013884
FBtr0070068,FBtr0070068,XLOC_013884
FBtr0344149,FBtr0344149,XLOC_013884
FBtr0306054,FBtr0306054,XLOC_013887
FBtr0306055,FBtr0306055,XLOC_013888
FBtr0070071,FBtr0070071,XLOC_013889
FBtr0308355,FBtr0308355,XLOC_013890
FBtr0308356,FBtr0308356,XLOC_013890
FBtr0308357,FBtr0308357,XLOC_013890
FBtr0308358,FBtr0308358,XLOC_013890
FBtr0308359,FBtr0308359,XLOC_013890
FBtr0308360,FBtr0308360,XLOC_013890
FBtr0303213,FBtr0303213,XLOC_013890
FBtr0308354,FBtr0308354,XLOC_013890
FBtr0070072,FBtr0070072,XLOC_013891
FBtr0342968,FBtr0342968,XLOC_013892
FBtr0342967,FBtr0342967,XLOC_013892
FBtr0342969,FBtr0342969,XLOC_013893
FBtr0342970,FBtr0342970,XLOC_015110
FBtr0070073,FBtr0070073,XLOC_013894
FBtr0070074,FBtr0070074,XLOC_013895
FBtr0070100,FBtr0070100,XLOC_015111
FBtr0070075,FBtr0070075,XLOC_013896
FBtr0070099,FBtr0070099,XLOC_015112
FBtr0070098,FBtr0070098,XLOC_015113
FBtr0339442,FBtr0339442,XLOC_015113
FBtr0339443,FBtr0339443,XLOC_015113
FBtr0070097,FBtr0070097,XLOC_015114
FBtr0112947,FBtr0112947,XLOC_013897
FBtr0070076,FBtr0070076,XLOC_013897
FBtr0336919,FBtr0336919,XLOC_013898
FBtr0070077,FBtr0070077,XLOC_013898
FBtr0300328,FBtr0300328,XLOC_013898
FBtr0070095,FBtr0070095,XLOC_015115
FBtr0339441,FBtr0339441,XLOC_015115
FBtr0301337,FBtr0301337,XLOC_015115
FBtr0336921,FBtr0336921,XLOC_013899
FBtr0336920,FBtr0336920,XLOC_013899
FBtr0070078,FBtr0070078,XLOC_013899
FBtr0343501,FBtr0343501,XLOC_013899
FBtr0070094,FBtr0070094,XLOC_015116
FBtr0070079,FBtr0070079,XLOC_013900
FBtr0346791,FBtr0346791,XLOC_015117
FBtr0070093,FBtr0070093,XLOC_015118
FBtr0070092,FBtr0070092,XLOC_015118
FBtr0340145,FBtr0340145,XLOC_013901
FBtr0070080,FBtr0070080,XLOC_013901
FBtr0070085,FBtr0070085,XLOC_013902
FBtr0340146,FBtr0340146,XLOC_013902
FBtr0070084,FBtr0070084,XLOC_013902
FBtr0290016,FBtr0290016,XLOC_013902
FBtr0343793,FBtr0343793,XLOC_015119
FBtr0343792,FBtr0343792,XLOC_015120
FBtr0070086,FBtr0070086,XLOC_013902
FBtr0070081,FBtr0070081,XLOC_013902
FBtr0070087,FBtr0070087,XLOC_013902
FBtr0344737,FBtr0344737,XLOC_013902
