gene_id,ujc_id,num_xscripts,junction_string
FBgn0000003,tr_FBtr0081624,1,monoexon_6822498_6822796
FBgn0000008,tr_FBtr0071763,1,2R:22137208:22138000:+|2R:22138251:22151654:+|2R:22151695:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171985:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
FBgn0000008,tr_FBtr0100521,1,2R:22137026:22138000:+|2R:22138251:22151654:+|2R:22151695:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171985:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
FBgn0000008,tr_FBtr0342981,1,2R:22137026:22138000:+|2R:22138251:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171259:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
FBgn0000008,tr_FBtr0071764,1,2R:22138251:22151654:+|2R:22151695:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171985:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
FBgn0000014,tr_FBtr0300485,2,3R:16810061:16810132:-|3R:16810355:16822422:-|3R:16822469:16826051:-|3R:16826307:16827135:-|3R:16827897:16828921:-
FBgn0000014,tr_FBtr0083387,1,3R:16810061:16810132:-|3R:16810355:16822422:-|3R:16822469:16826051:-|3R:16826307:16827135:-|3R:16827637:16827739:-|3R:16827897:16828921:-
FBgn0000014,tr_FBtr0083388,1,3R:16810061:16810132:-|3R:16810355:16822422:-|3R:16822469:16826051:-|3R:16826307:16827135:-
FBgn0000015,tr_FBtr0083383,4,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16943782:-
FBgn0000015,tr_FBtr0083384,2,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16932371:-
FBgn0000015,tr_FBtr0083385,1,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16971759:-
FBgn0000015,tr_FBtr0083381,2,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16963159:-
FBgn0000015,tr_FBtr0083382,1,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16959972:-
FBgn0000017,tr_FBtr0075357,2,3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
FBgn0000017,tr_FBtr0112790,2,3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
FBgn0000017,tr_FBtr0330130,1,3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
FBgn0000017,tr_FBtr0330131,1,3L:16623288:16623637:-|3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
FBgn0000017,tr_FBtr0330132,1,3L:16623288:16623637:-|3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
FBgn0000017,tr_FBtr0330133,1,3L:16625274:16626273:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
FBgn0000017,tr_FBtr0330134,1,3L:16623288:16623637:-|3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16631377:-|3L:16631430:16646810:-
FBgn0000017,tr_FBtr0330135,1,3L:16623288:16623637:-|3L:16625274:16626528:-|3L:16626616:16626743:-|3L:16626863:16626922:-|3L:16627192:16627502:-|3L:16628088:16628174:-|3L:16628589:16628663:-|3L:16629206:16646810:-
FBgn0000018,tr_FBtr0080168,1,2L:10974210:10974268:-
FBgn0000022,tr_FBtr0070072,1,monoexon_370031_370947
FBgn0000024,tr_FBtr0335223,1,3R:13223378:13232679:-|3R:13232842:13232961:-|3R:13233124:13237129:-|3R:13237278:13238057:-|3R:13238199:13243219:-|3R:13243426:13243586:-|3R:13244131:13244261:-|3R:13244399:13245810:-|3R:13246654:13258303:-
FBgn0000024,tr_FBtr0082780,1,3R:13229770:13232679:-|3R:13232842:13232961:-|3R:13233124:13237129:-|3R:13237278:13238057:-|3R:13238199:13243219:-|3R:13243426:13243586:-|3R:13244131:13244261:-|3R:13244399:13245810:-|3R:13246654:13258303:-
FBgn0000024,tr_FBtr0300486,1,3R:13229770:13232679:-|3R:13232842:13232961:-|3R:13233124:13237129:-|3R:13237278:13238057:-|3R:13238199:13243219:-|3R:13243426:13243586:-|3R:13244131:13244261:-|3R:13244399:13245810:-|3R:13246654:13258303:-|3R:13258425:13259453:-
FBgn0000028,tr_FBtr0305191,1,X:15351958:15352334:-|X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15378189:-
FBgn0000028,tr_FBtr0100328,1,X:15351958:15352334:-|X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15372152:-|X:15372208:15377561:-|X:15377593:15378189:-
FBgn0000028,tr_FBtr0074015,1,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15372152:-|X:15372208:15377561:-|X:15377593:15378189:-
FBgn0000028,tr_FBtr0100326,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15377561:-|X:15377593:15378189:-
FBgn0000028,tr_FBtr0290063,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15377561:-|X:15377593:15378189:-
FBgn0000028,tr_FBtr0290064,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15378189:-
FBgn0000028,tr_FBtr0305189,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15372152:-|X:15372208:15377561:-|X:15377593:15378189:-
FBgn0000028,tr_FBtr0305190,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15378189:-
FBgn0000028,tr_FBtr0305192,1,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15378189:-
FBgn0000028,tr_FBtr0305193,1,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15377561:-|X:15377593:15378189:-
FBgn0000028,tr_FBtr0305194,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15372152:-|X:15372208:15378189:-
FBgn0000028,tr_FBtr0305195,1,X:15353167:15353225:-|X:15353382:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354953:15371512:-|X:15371688:15372152:-|X:15372208:15378189:-
FBgn0000028,tr_FBtr0305196,1,X:15353167:15353225:-|X:15353388:15354227:-|X:15354458:15354536:-|X:15354676:15354755:-|X:15354932:15371512:-|X:15371688:15372152:-|X:15372208:15378189:-
