gene_id,transcript_id,coords
IV:12108000,tr_IV:12108000_1,IV:12109631:12110114:-
IV:1969000,tr_IV:1969000_1,IV:1969805:1969953:+
IV:4178000,tr_IV:4178000_1,IV:4178546:4179272:+
gene:WBGene00000002,tr_gene:WBGene00000002_1,IV:9599485:9599570:-
gene:WBGene00000002,tr_gene:WBGene00000002_1,IV:9599643:9599711:-
gene:WBGene00000002,tr_gene:WBGene00000002_1,IV:9599863:9600011:-
gene:WBGene00000002,tr_gene:WBGene00000002_1,IV:9600382:9600636:-
gene:WBGene00000002,tr_gene:WBGene00000002_1,IV:9600770:9600837:-
gene:WBGene00000002,tr_gene:WBGene00000002_1,IV:9600943:9601049:-
gene:WBGene00000002,tr_gene:WBGene00000002_1,IV:9601335:9601526:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6272804:6272936:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6273036:6273107:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6273187:6273276:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6273443:6273718:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6273836:6273986:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6274194:6274264:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6274389:6274495:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6274607:6274681:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6274742:6274809:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6274898:6275344:-
gene:WBGene00000005,tr_gene:WBGene00000005_1,IV:6275503:6275632:-
gene:WBGene00000093,tr_gene:WBGene00000093_1,IV:13368711:13368999:-
gene:WBGene00000093,tr_gene:WBGene00000093_1,IV:13369114:13369184:-
gene:WBGene00000093,tr_gene:WBGene00000093_1,IV:13369308:13369371:-
gene:WBGene00000109,tr_gene:WBGene00000109_1,IV:11022721:11022872:+
gene:WBGene00000109,tr_gene:WBGene00000109_1,IV:11023084:11023150:+
gene:WBGene00000109,tr_gene:WBGene00000109_1,IV:11023317:11023388:+
gene:WBGene00000109,tr_gene:WBGene00000109_1,IV:11023974:11024038:+
gene:WBGene00000109,tr_gene:WBGene00000109_1,IV:11024745:11024847:+
gene:WBGene00000109,tr_gene:WBGene00000109_1,IV:11025419:11025489:+
gene:WBGene00000120,tr_gene:WBGene00000120_1,IV:9109137:9109206:+
gene:WBGene00000121,tr_gene:WBGene00000121_1,IV:9147690:9147760:+
gene:WBGene00000121,tr_gene:WBGene00000121_1,IV:9147952:9148248:+
gene:WBGene00000122,tr_gene:WBGene00000122_1,IV:12123820:12124256:+
gene:WBGene00000122,tr_gene:WBGene00000122_1,IV:12124363:12124433:+
gene:WBGene00000123,tr_gene:WBGene00000123_1,IV:4248121:4248197:+
gene:WBGene00000123,tr_gene:WBGene00000123_1,IV:4248261:4248331:+
gene:WBGene00000123,tr_gene:WBGene00000123_1,IV:4248421:4248538:+
gene:WBGene00000123,tr_gene:WBGene00000123_1,IV:4248847:4249351:+
