gene_id,num_sets,min_ER,max_ER,mean_ER,median_ER,min_grp_size,max_grp_size,mean_grp_size,median_grp_size
XLOC_004413,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004381,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004372,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004353,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004347,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004346,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004342,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004341,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004340,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004328,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004299,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004292,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004279,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004258,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004253,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004248,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004247,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004217,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004204,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004200,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004192,1,1,1,1.0,1.0,3,3,3.0,3.0
XLOC_004182,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004170,1,1,1,1.0,1.0,3,3,3.0,3.0
XLOC_004163,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004162,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004160,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004155,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004142,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004135,1,1,1,1.0,1.0,7,7,7.0,7.0
XLOC_004131,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004130,1,1,1,1.0,1.0,3,3,3.0,3.0
XLOC_004129,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004128,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004115,1,1,1,1.0,1.0,4,4,4.0,4.0
XLOC_004100,1,1,1,1.0,1.0,3,3,3.0,3.0
XLOC_004094,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004083,1,1,1,1.0,1.0,4,4,4.0,4.0
XLOC_004065,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004063,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004050,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004015,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004008,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_004001,1,1,1,1.0,1.0,41,41,41.0,41.0
XLOC_003994,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003980,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003939,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003918,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003903,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003881,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003872,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003867,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003866,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003864,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003862,1,1,1,1.0,1.0,3,3,3.0,3.0
XLOC_003861,4,1,14,7.25,7.0,1,2,1.25,1.0
XLOC_003846,1,1,1,1.0,1.0,2,2,2.0,2.0
XLOC_003823,1,1,1,1.0,1.0,2,2,2.0,2.0
