gene_id,transcript_id,ujc_id,junction_string
FBgn0000008,FBtr0071763,FBtr0071763,2R:22137208:22138000:+|2R:22138251:22151654:+|2R:22151695:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171985:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
FBgn0000008,FBtr0100521,FBtr0100521,2R:22137026:22138000:+|2R:22138251:22151654:+|2R:22151695:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171985:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
FBgn0000008,FBtr0342981,FBtr0342981,2R:22137026:22138000:+|2R:22138251:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171259:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
FBgn0000008,FBtr0071764,FBtr0071764,2R:22138251:22151654:+|2R:22151695:22162905:+|2R:22163694:22164777:+|2R:22164989:22169244:+|2R:22170717:22170778:+|2R:22171985:22172082:+|2R:22172252:22172316:+|2R:22172433:22172497:+
FBgn0000014,FBtr0300485,FBtr0300485,3R:16810061:16810132:-|3R:16810355:16822422:-|3R:16822469:16826051:-|3R:16826307:16827135:-|3R:16827897:16828921:-
FBgn0000014,FBtr0306337,FBtr0300485,3R:16810061:16810132:-|3R:16810355:16822422:-|3R:16822469:16826051:-|3R:16826307:16827135:-|3R:16827897:16828921:-
FBgn0000014,FBtr0083387,FBtr0083387,3R:16810061:16810132:-|3R:16810355:16822422:-|3R:16822469:16826051:-|3R:16826307:16827135:-|3R:16827637:16827739:-|3R:16827897:16828921:-
FBgn0000014,FBtr0083388,FBtr0083388,3R:16810061:16810132:-|3R:16810355:16822422:-|3R:16822469:16826051:-|3R:16826307:16827135:-
FBgn0000015,FBtr0083383,FBtr0083383,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16943782:-
FBgn0000015,FBtr0330709,FBtr0083383,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16943782:-
FBgn0000015,FBtr0346764,FBtr0083383,3R:16929580:16929638:-|3R:16929852:16931116:-|3R:16931317:16931402:-|3R:16931613:16935927:-|3R:16936104:16943253:-|3R:16943299:16943782:-
