ERG_num,ERG_size,gene_id,xscripts,contains_which_gtf,flag_nonolp_pair,flag_IR_in_set,num_IR_xscripts,prop_IR,num_ER,min_num_nt_diff,max_num_nt_diff,mean_num_nt_diff,median_num_nt_diff,min_prop_nt_diff,max_prop_nt_diff,mean_prop_nt_diff,median_prop_nt_diff
1,12,FBgn0266579,mel_isoseq3cluster_FBgn0266579_9_mel_isoseq3cluster|mel_flair_FBgn0266579_4_mel_FLAIR|mel_flair_FBgn0266579_6_mel_FLAIR|mel_isoseq3cluster_FBgn0266579_8_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0266579_7_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0266579_6_mel_isoseq3cluster|mel_flair_FBgn0266579_3_mel_FLAIR|mel_isoseq3cluster_FBgn0266579_5_mel_isoseq3cluster|T1_flair|mel_flair_FBgn0266579_5_mel_FLAIR|T1_isoseq|mel_flair_FBgn0266579_8_mel_FLAIR,3,1,1,6,0.5,6,0.0,2732.0,1035.0833333333333,1242.0,0.0,0.553596757852077,0.27574465353345534,0.35577198510455454
2,2,FBgn0266579,mel_flair_FBgn0266579_2_mel_FLAIR|T2_isoseq,3,0,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,FBgn0263994,mel_isoseq3cluster_FBgn0263994_2_mel_isoseq3cluster|mel_flair_FBgn0263994_1_mel_FLAIR|T3_isoseq|mel_isoseq3cluster_FBgn0263994_3_mel_isoseq3cluster|mel_flair_FBgn0263994_2_mel_FLAIR,3,1,1,2,0.4,3,0.0,450.0,179.25,133.5,0.0,0.642857142857143,0.2598809523809525,0.1983333333333335
4,9,FBgn0051660,mel_flair_FBgn0051660_4_mel_FLAIR|T6_isoseq|T5_isoseq|mel_flair_FBgn0051660_5_mel_FLAIR|T4_isoseq|mel_flair_FBgn0051660_3_mel_FLAIR|T7_isoseq|mel_flair_FBgn0051660_2_mel_FLAIR|mel_flair_FBgn0051660_1_mel_FLAIR,3,1,1,5,0.5555555555555556,14,0.0,1895.0,637.1666666666666,54.0,0.0,0.348794404564697,0.118960619508003,0.014989717901885
5,6,FBgn0051363,mel_flair_FBgn0051363_12_mel_FLAIR|mel_flair_FBgn0051363_14_mel_FLAIR|mel_flair_FBgn0051363_15_mel_FLAIR|mel_isoseq3cluster_FBgn0051363_11_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0051363_15_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0051363_12_mel_isoseq3cluster,3,1,1,5,0.8333333333333334,4,0.0,1774.0,808.8571428571429,372.0,0.0,0.689467547609794,0.329162315523006,0.197242841993637
6,5,FBgn0051363,mel_flair_FBgn0051363_11_mel_FLAIR|mel_flair_FBgn0051363_9_mel_FLAIR|mel_flair_FBgn0051363_13_mel_FLAIR|mel_isoseq3cluster_FBgn0051363_14_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0051363_13_mel_isoseq3cluster,3,1,1,2,0.4,6,0.0,715.0,360.25,363.0,0.0,0.46218487394958,0.21012672917004227,0.1891610213652945
7,7,FBgn0038610,mel_flair_FBgn0038610_1_mel_FLAIR|mel_isoseq3cluster_FBgn0038610_3_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0038610_4_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0038610_2_mel_isoseq3cluster|mel_flair_FBgn0038610_2_mel_FLAIR|mel_flair_FBgn0038610_3_mel_FLAIR|mel_isoseq3cluster_FBgn0038610_1_mel_isoseq3cluster,3,1,1,4,0.5714285714285714,3,0.0,1716.0,626.25,49.0,0.0,0.614613180515759,0.23094549500861636,0.0435943060498225
8,9,FBgn0037094,mel_isoseq3cluster_FBgn0037094_6_mel_isoseq3cluster|mel_flair_FBgn0037094_5_mel_FLAIR|mel_isoseq3cluster_FBgn0037094_4_mel_isoseq3cluster|mel_flair_FBgn0037094_2_mel_FLAIR|mel_flair_FBgn0037094_6_mel_FLAIR|mel_flair_FBgn0037094_3_mel_FLAIR|mel_isoseq3cluster_FBgn0037094_5_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0037094_3_mel_isoseq3cluster|mel_flair_FBgn0037094_4_mel_FLAIR,3,1,0,0,0.0,4,0.0,376.0,141.5,143.0,0.0,0.112406576980568,0.0436282226556035,0.0458627325208465
9,2,FBgn0051363,mel_isoseq3cluster_FBgn0051363_2_mel_isoseq3cluster|mel_flair_FBgn0051363_1_mel_FLAIR,3,0,0,0,0.0,3,3.0,3.0,3.0,3.0,0.001887979861548,0.001887979861548,0.001887979861548,0.001887979861548
10,13,FBgn0051363,mel_isoseq3cluster_FBgn0051363_9_mel_isoseq3cluster|mel_flair_FBgn0051363_6_mel_FLAIR|mel_flair_FBgn0051363_3_mel_FLAIR|mel_flair_FBgn0051363_4_mel_FLAIR|mel_isoseq3cluster_FBgn0051363_5_mel_isoseq3cluster|mel_flair_FBgn0051363_8_mel_FLAIR|mel_isoseq3cluster_FBgn0051363_7_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0051363_10_mel_isoseq3cluster|mel_flair_FBgn0051363_5_mel_FLAIR|mel_isoseq3cluster_FBgn0051363_8_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0051363_4_mel_isoseq3cluster|mel_flair_FBgn0051363_7_mel_FLAIR|mel_flair_FBgn0051363_2_mel_FLAIR,3,1,1,5,0.38461538461538464,7,5.0,1815.0,651.25,50.0,0.002988643156007,0.666299559471366,0.27552002755108057,0.054024255788313
11,2,FBgn0263994,mel_isoseq3cluster_FBgn0263994_6_mel_isoseq3cluster|mel_flair_FBgn0263994_4_mel_FLAIR,3,0,0,0,0.0,4,1297.0,1297.0,1297.0,1297.0,0.367006225240521,0.367006225240521,0.367006225240521,0.367006225240521
12,1,FBgn0051363,mel_flair_FBgn0051363_10_mel_FLAIR,2,0,0,0,0.0,3,,,,,,,,
13,1,FBgn0037094,mel_flair_FBgn0037094_1_mel_FLAIR,2,0,0,0,0.0,4,,,,,,,,
14,1,FBgn0051363,mel_isoseq3cluster_FBgn0051363_3_mel_isoseq3cluster,1,0,0,0,0.0,3,,,,,,,,
15,1,FBgn0263994,mel_isoseq3cluster_FBgn0263994_5_mel_isoseq3cluster,1,0,0,0,0.0,3,,,,,,,,
16,1,FBgn0051363,mel_isoseq3cluster_FBgn0051363_6_mel_isoseq3cluster,1,0,0,0,0.0,5,,,,,,,,
17,1,FBgn0266579,mel_flair_FBgn0266579_1_mel_FLAIR,2,0,0,0,0.0,5,,,,,,,,
18,1,FBgn0263994,mel_flair_FBgn0263994_5_mel_FLAIR,2,0,0,0,0.0,4,,,,,,,,
19,1,FBgn0051363,mel_isoseq3cluster_FBgn0051363_1_mel_isoseq3cluster,1,0,0,0,0.0,2,,,,,,,,
20,1,FBgn0266579,mel_isoseq3cluster_FBgn0266579_1_mel_isoseq3cluster,1,0,0,0,0.0,2,,,,,,,,
21,1,FBgn0266579,mel_isoseq3cluster_FBgn0266579_2_mel_isoseq3cluster,1,0,0,0,0.0,3,,,,,,,,
