gene_id,xscript_model_id,ERG_id,flag_nonOlp_pair,nonOlp_xscript_id,num_ER,which_gtf
FBgn0000017,FBtr0075357,FBgn0000017_1,0,,7,1
FBgn0000017,FBtr0330130,FBgn0000017_1,0,,7,1
FBgn0000017,FBtr0330132,FBgn0000017_1,0,,7,1
FBgn0000017,FBtr0330135,FBgn0000017_1,0,,7,1
FBgn0000017,FBtr0112790,FBgn0000017_2,0,,8,1
FBgn0000017,FBtr0330133,FBgn0000017_2,0,,8,1
FBgn0000017,FBtr0330131,FBgn0000017_2,0,,8,1
FBgn0000017,FBtr0330134,FBgn0000017_2,0,,8,1
FBgn0003944,FBtr0083348,FBgn0003944_2,0,,2,1
FBgn0003944,FBtr0083350,FBgn0003944_2,0,,2,1
FBgn0003944,FBtr0083347,FBgn0003944_1,0,,3,1
FBgn0003944,FBtr0083351,FBgn0003944_1,0,,3,1
FBgn0003944,FBtr0083349,FBgn0003944_2,0,,2,1
FBgn0003944,FBtr0083352,FBgn0003944_2,0,,2,1
