gene_id,xscript_model_id,ERS_grp_num,flag_nonolp_pair,nonolp_xscript_id,num_ER
LOC107986886,tr_LOC107986886_2,1,0,,4
LOC107986886,tr_LOC107986886_3,1,0,,4
LOC107986893,tr_LOC107986893_1,2,0,,3
LOC107986893,tr_LOC107986893_2,2,0,,3
LOC107986930,tr_LOC107986930_1,3,0,,3
LOC107986930,tr_LOC107986930_2,3,0,,3
LOC107986944,tr_LOC107986944_1,4,0,,3
LOC107986944,tr_LOC107986944_2,4,0,,3
LOC107986974,tr_LOC107986974_1,5,0,,3
LOC107986974,tr_LOC107986974_2,5,0,,3
LOC107986986,tr_LOC107986986_1,6,0,,3
LOC107986986,tr_LOC107986986_2,6,0,,3
LOC107987043,tr_LOC107987043_1,7,0,,3
LOC107987043,tr_LOC107987043_2,7,0,,3
LOC107987068,tr_LOC107987068_2,8,0,,3
LOC107987068,tr_LOC107987068_3,8,0,,3
LOC107987088,tr_LOC107987088_1,9,0,,4
LOC107987088,tr_LOC107987088_2,9,0,,4
LOC107987088,tr_LOC107987088_3,9,0,,4
LOC107987101,tr_LOC107987101_1,10,0,,4
LOC107987101,tr_LOC107987101_2,10,0,,4
LOC107987124,tr_LOC107987124_1,11,0,,4
LOC107987124,tr_LOC107987124_2,11,0,,4
LOC107987132,tr_LOC107987132_1,12,1,tr_LOC107987132_4,3
LOC107987132,tr_LOC107987132_2,12,1,tr_LOC107987132_4,3
LOC107987132,tr_LOC107987132_3,12,1,tr_LOC107987132_4,3
LOC107987132,tr_LOC107987132_5,12,0,,2
LOC107987132,tr_LOC107987132_4,12,1,tr_LOC107987132_3|tr_LOC107987132_1|tr_LOC107987132_2,2
LOC107987137,tr_LOC107987137_1,13,0,,3
LOC107987137,tr_LOC107987137_2,13,0,,3
LOC107987139,tr_LOC107987139_1,14,0,,3
LOC107987139,tr_LOC107987139_2,14,0,,3
LOC107987172,tr_LOC107987172_1,15,0,,3
LOC107987172,tr_LOC107987172_2,15,0,,3
LOC107987209,tr_LOC107987209_1,16,0,,3
LOC107987209,tr_LOC107987209_2,16,0,,3
LOC107987228,tr_LOC107987228_1,17,0,,2
LOC107987228,tr_LOC107987228_2,17,0,,2
LOC107987334,tr_LOC107987334_1,18,0,,3
LOC107987334,tr_LOC107987334_2,18,0,,3
LOC107987348,tr_LOC107987348_1,19,0,,3
LOC107987348,tr_LOC107987348_2,19,0,,3
LOC107987350,tr_LOC107987350_1,20,0,,3
LOC107987350,tr_LOC107987350_2,20,0,,3
LOC112267905,tr_LOC112267905_1,21,0,,4
LOC112267905,tr_LOC112267905_2,21,0,,4
LOC112267905,tr_LOC112267905_3,21,0,,4
LOC112267937,tr_LOC112267937_1,22,0,,2
LOC112267937,tr_LOC112267937_2,22,0,,2
LOC112267988,tr_LOC112267988_1,23,0,,3
LOC112267988,tr_LOC112267988_2,23,0,,3
LOC112268008,tr_LOC112268008_1,24,0,,3
LOC112268008,tr_LOC112268008_2,24,0,,3
LOC112268051,tr_LOC112268051_2,25,0,,3
LOC112268051,tr_LOC112268051_3,25,0,,3
LOC112268061,tr_LOC112268061_1,26,0,,2
LOC112268061,tr_LOC112268061_2,26,0,,2
LOC112268152,tr_LOC112268152_1,27,0,,3
LOC112268152,tr_LOC112268152_2,27,0,,3
LOC112268195,tr_LOC112268195_1,28,0,,2
LOC112268195,tr_LOC112268195_2,28,0,,2
LOC112268288,tr_LOC112268288_1,29,0,,2
LOC112268288,tr_LOC112268288_2,29,0,,2
LOC112268446,tr_LOC112268446_1,30,0,,3
LOC112268446,tr_LOC112268446_2,30,0,,3
LOC112268446,tr_LOC112268446_3,30,0,,3
LOC112268446,tr_LOC112268446_4,31,0,,3
LOC112268446,tr_LOC112268446_5,31,0,,3
LOC112268455,tr_LOC112268455_1,32,0,,2
LOC112268455,tr_LOC112268455_2,32,0,,2
MFSD4A-AS1,tr_MFSD4A-AS1_1,33,0,,4
MFSD4A-AS1,tr_MFSD4A-AS1_2,33,0,,4
NPY4R,tr_NPY4R_1,34,0,,2
NPY4R,tr_NPY4R_2,34,0,,2
PLCXD1_1,tr_PLCXD1_1_4,35,0,,7
PLCXD1_1,tr_PLCXD1_1_5,35,0,,7
PLCXD1_1,tr_PLCXD1_1_6,36,0,,8
PLCXD1_1,tr_PLCXD1_1_7,36,0,,8
TCONS_00068220,tr_TCONS_00068220_2,37,0,,3
TCONS_00068220,tr_TCONS_00068220_3,37,0,,3
TTLL8,tr_TTLL8_1,38,0,,2
TTLL8,tr_TTLL8_2,38,0,,2
VAMP7_1,tr_VAMP7_1_1,39,0,,8
VAMP7_1,tr_VAMP7_1_3,39,0,,8
VAMP7_1,tr_VAMP7_1_7,39,0,,8
VAMP7_1,tr_VAMP7_1_2,40,0,,7
VAMP7_1,tr_VAMP7_1_5,40,0,,7
VAMP7_1,tr_VAMP7_1_4,41,0,,7
VAMP7_1,tr_VAMP7_1_6,41,0,,7
ZBED1_1,tr_ZBED1_1_2,42,0,,2
ZBED1_1,tr_ZBED1_1_3,42,0,,2
LOC107984582,tr_LOC107984582_1,43,0,,3
LOC107984582,tr_LOC107984582_2,43,0,,3
LOC107984613,tr_LOC107984613_1,44,0,,3
LOC107984613,tr_LOC107984613_2,44,0,,3
LOC107984613,tr_LOC107984613_3,44,0,,2
LOC107984615,tr_LOC107984615_1,45,0,,2
LOC107984615,tr_LOC107984615_2,45,0,,2
LOC107984634,tr_LOC107984634_1,46,0,,3
LOC107984634,tr_LOC107984634_2,46,0,,3
LOC107984641,tr_LOC107984641_1,47,0,,2
LOC107984641,tr_LOC107984641_2,47,0,,2
LOC107984676,tr_LOC107984676_1,48,0,,4
LOC107984676,tr_LOC107984676_2,48,0,,4
LOC107984842,tr_LOC107984842_1,49,0,,3
LOC107984842,tr_LOC107984842_2,49,0,,3
LOC107984859,tr_LOC107984859_1,50,0,,3
LOC107984859,tr_LOC107984859_2,50,0,,3
LOC107984859,tr_LOC107984859_3,50,0,,2
LOC107984862,tr_LOC107984862_1,51,0,,3
LOC107984862,tr_LOC107984862_2,51,0,,3
LOC107984905,tr_LOC107984905_1,52,0,,3
LOC107984905,tr_LOC107984905_2,52,0,,3
LOC107984912,tr_LOC107984912_1,53,0,,3
LOC107984912,tr_LOC107984912_2,53,0,,3
LOC107984960,tr_LOC107984960_1,54,1,tr_LOC107984960_2,2
LOC107984960,tr_LOC107984960_3,54,0,,2
LOC107984960,tr_LOC107984960_4,54,0,,2
LOC107984960,tr_LOC107984960_2,54,1,tr_LOC107984960_1,2
LOC107985023,tr_LOC107985023_1,55,0,,2
LOC107985023,tr_LOC107985023_2,55,0,,2
LOC107985036,tr_LOC107985036_1,56,0,,8
LOC107985036,tr_LOC107985036_2,56,0,,8
LOC107985059,tr_LOC107985059_1,57,0,,2
LOC107985059,tr_LOC107985059_2,57,0,,2
LOC107985059,tr_LOC107985059_3,57,0,,2
LOC107985088,tr_LOC107985088_1,58,0,,5
LOC107985088,tr_LOC107985088_4,58,0,,5
LOC107985091,tr_LOC107985091_1,59,0,,4
LOC107985091,tr_LOC107985091_2,59,0,,4
LOC107985115,tr_LOC107985115_3,60,0,,3
LOC107985115,tr_LOC107985115_4,60,0,,3
LOC107985137,tr_LOC107985137_1,61,0,,3
LOC107985137,tr_LOC107985137_2,61,0,,3
LOC107985233,tr_LOC107985233_1,62,0,,2
LOC107985233,tr_LOC107985233_2,62,0,,2
LOC107985255,tr_LOC107985255_1,63,0,,3
LOC107985255,tr_LOC107985255_2,63,0,,3
LOC107985285,tr_LOC107985285_1,64,0,,2
LOC107985285,tr_LOC107985285_2,64,0,,2
LOC107985285,tr_LOC107985285_3,64,0,,2
LOC107985295,tr_LOC107985295_1,65,0,,2
LOC107985295,tr_LOC107985295_2,65,0,,2
LOC107985306,tr_LOC107985306_1,66,0,,3
LOC107985306,tr_LOC107985306_2,66,0,,3
LOC107985306,tr_LOC107985306_3,66,0,,3
LOC107985347,tr_LOC107985347_2,67,0,,2
LOC107985347,tr_LOC107985347_3,67,0,,2
LOC107985371,tr_LOC107985371_1,68,0,,3
LOC107985371,tr_LOC107985371_2,68,0,,3
LOC107985402,tr_LOC107985402_2,69,0,,3
LOC107985402,tr_LOC107985402_3,69,0,,3
LOC107985409,tr_LOC107985409_1,70,0,,2
LOC107985409,tr_LOC107985409_2,70,0,,2
LOC107985409,tr_LOC107985409_3,70,0,,2
LOC107985409,tr_LOC107985409_4,70,1,tr_LOC107985409_5,2
LOC107985409,tr_LOC107985409_5,70,1,tr_LOC107985409_4,2
LOC107985438,tr_LOC107985438_1,71,0,,3
LOC107985438,tr_LOC107985438_2,71,0,,3
LOC107985466,tr_LOC107985466_1,72,0,,3
LOC107985466,tr_LOC107985466_2,72,0,,3
LOC107985467,tr_LOC107985467_1,73,0,,2
LOC107985467,tr_LOC107985467_2,73,0,,2
LOC107985486,tr_LOC107985486_1,74,0,,2
LOC107985486,tr_LOC107985486_2,74,0,,2
LOC107985492,tr_LOC107985492_1,75,0,,3
LOC107985492,tr_LOC107985492_2,75,0,,3
LOC107985517,tr_LOC107985517_1,76,0,,2
LOC107985517,tr_LOC107985517_2,76,0,,2
LOC107985549,tr_LOC107985549_3,77,0,,2
LOC107985549,tr_LOC107985549_4,77,0,,2
LOC107985556,tr_LOC107985556_1,78,0,,2
LOC107985556,tr_LOC107985556_2,78,0,,2
LOC107985662,tr_LOC107985662_1,79,0,,3
LOC107985662,tr_LOC107985662_2,79,0,,3
LOC107985664,tr_LOC107985664_10,80,0,,4
LOC107985664,tr_LOC107985664_11,80,0,,4
LOC107985664,tr_LOC107985664_5,81,0,,5
LOC107985664,tr_LOC107985664_6,81,0,,5
LOC107985664,tr_LOC107985664_7,82,0,,4
LOC107985664,tr_LOC107985664_8,82,1,tr_LOC107985664_9,4
LOC107985664,tr_LOC107985664_9,82,1,tr_LOC107985664_8,4
LOC107985680,tr_LOC107985680_1,83,0,,3
LOC107985680,tr_LOC107985680_2,83,0,,3
LOC107985709,tr_LOC107985709_2,84,0,,4
LOC107985709,tr_LOC107985709_3,84,0,,4
LOC107985709,tr_LOC107985709_5,85,0,,7
LOC107985709,tr_LOC107985709_6,85,0,,7
LOC107985719,tr_LOC107985719_1,86,0,,3
LOC107985719,tr_LOC107985719_2,86,0,,3
LOC107985817,tr_LOC107985817_1,87,0,,4
LOC107985817,tr_LOC107985817_2,87,0,,4
LOC107985838,tr_LOC107985838_1,88,0,,3
LOC107985838,tr_LOC107985838_2,88,0,,3
LOC107985838,tr_LOC107985838_3,88,0,,2
LOC107985858,tr_LOC107985858_1,89,0,,3
LOC107985858,tr_LOC107985858_2,89,0,,3
LOC107985858,tr_LOC107985858_3,89,0,,2
LOC107985862,tr_LOC107985862_1,90,0,,6
LOC107985862,tr_LOC107985862_2,90,0,,6
LOC107985862,tr_LOC107985862_3,91,0,,6
LOC107985862,tr_LOC107985862_5,91,0,,6
LOC107985876,tr_LOC107985876_1,92,0,,2
LOC107985876,tr_LOC107985876_2,92,0,,2
LOC107985892,tr_LOC107985892_1,93,0,,2
LOC107985892,tr_LOC107985892_2,93,0,,2
LOC107985936,tr_LOC107985936_1,94,0,,2
LOC107985936,tr_LOC107985936_2,94,0,,2
LOC107985959,tr_LOC107985959_1,95,1,tr_LOC107985959_2,4
LOC107985959,tr_LOC107985959_3,95,0,,4
LOC107985959,tr_LOC107985959_2,95,1,tr_LOC107985959_1,4
LOC107985988,tr_LOC107985988_1,96,0,,3
LOC107985988,tr_LOC107985988_2,96,0,,3
LOC107986066,tr_LOC107986066_1,97,0,,3
LOC107986066,tr_LOC107986066_2,97,0,,3
LOC107986066,tr_LOC107986066_3,98,0,,4
LOC107986066,tr_LOC107986066_4,98,0,,4
LOC107986088,tr_LOC107986088_1,99,0,,4
LOC107986088,tr_LOC107986088_2,99,0,,4
LOC107986095,tr_LOC107986095_1,100,0,,3
LOC107986095,tr_LOC107986095_2,100,0,,3
LOC107986108,tr_LOC107986108_2,101,0,,4
