transcript_id,ujc_id
FBtr0081624,tr3R_6822498_6822796_1008
FBtr0071764,tr2R_22137433_22172834_28941
FBtr0071763,tr2R_22136968_22172834_28972
FBtr0100521,tr2R_22136968_22172834_28973
FBtr0342981,tr2R_22136968_22172834_28974
FBtr0083388,tr3R_16807627_16828105_27235
FBtr0083387,tr3R_16807627_16829752_27516
FBtr0300485,tr3R_16807214_16830049_27637
FBtr0306337,tr3R_16807214_16830049_27637
FBtr0083384,tr3R_16927212_16934242_21946
FBtr0415463,tr3R_16927212_16934242_21946
FBtr0083383,tr3R_16927212_16944273_26445
FBtr0330709,tr3R_16927212_16944273_26445
FBtr0346764,tr3R_16927212_16944273_26445
FBtr0415464,tr3R_16927212_16944273_26445
FBtr0083382,tr3R_16927667_16960281_28717
FBtr0083381,tr3R_16927667_16968574_29306
FBtr0415465,tr3R_16927667_16968574_29306
FBtr0083385,tr3R_16927212_16972236_29559
FBtr0330130,tr3L_16622370_16647882_27980
FBtr0330131,tr3L_16622370_16647882_27981
FBtr0330132,tr3L_16622370_16647882_27982
FBtr0330133,tr3L_16622370_16647882_27983
FBtr0330134,tr3L_16622370_16647882_27984
FBtr0330135,tr3L_16622370_16647882_27985
FBtr0075357,tr3L_16615866_16647882_28675
FBtr0345369,tr3L_16615866_16647882_28675
FBtr0112790,tr3L_16615866_16647882_28676
FBtr0330136,tr3L_16615866_16647882_28676
FBtr0080168,tr2L_10973443_10975293_11148
FBtr0070072,trX_370031_370947_5418
FBtr0300486,tr3R_13228242_13259517_28615
FBtr0082780,tr3R_13224625_13258777_28844
FBtr0335223,tr3R_13222951_13258777_28969
FBtr0074015,trX_15352357_15379064_28133
FBtr0100326,trX_15352357_15379064_28134
FBtr0290063,trX_15352357_15379064_28135
FBtr0290064,trX_15352357_15379064_28136
FBtr0305189,trX_15352357_15379064_28137
FBtr0305190,trX_15352357_15379064_28138
FBtr0305192,trX_15352357_15379064_28139
FBtr0305193,trX_15352357_15379064_28140
FBtr0305194,trX_15352357_15379064_28141
FBtr0305195,trX_15352357_15379064_28142
FBtr0305196,trX_15352357_15379064_28143
FBtr0100328,trX_15351148_15379064_28288
FBtr0305191,trX_15350239_15379064_28401
FBtr0085610,tr3R_29991144_29993276_12498
FBtr0085609,tr3R_29991144_29993411_13065
FBtr0084619,tr3R_24393896_24457157_30296
FBtr0330310,tr3R_24393896_24457157_30296
FBtr0334916,tr3R_24393896_24457157_30296
FBtr0072367,tr2R_24378630_24390294_24765
FBtr0072368,tr2R_24378630_24390294_24766
FBtr0073300,tr3L_4429349_4430229_5149
FBtr0073299,tr3L_4429349_4435993_21579
FBtr0084639,tr3R_24485428_24491147_20548
FBtr0084640,tr3R_24485428_24491147_20549
FBtr0070823,trX_5901982_5905227_16234
FBtr0070822,trX_5900861_5905399_18840
FBtr0100662,trX_5900861_5905399_18840
FBtr0100663,trX_5900861_5905399_18840
FBtr0345894,trX_5900861_5905399_18840
FBtr0086029,tr2R_6013910_6015689_10807
FBtr0071519,tr2R_20944021_20946431_13678
FBtr0078478,tr3L_21985210_21987190_11847
FBtr0334090,tr3L_21985210_21987190_11848
