gene_id,transcript_id,coords
gene:WBGene00000122,tr_gene:WBGene00000122_1,IV:12123820:12124256:+
gene:WBGene00000122,tr_gene:WBGene00000122_1,IV:12124363:12124433:+
gene:WBGene00000122,tr_gene:WBGene00000122_2,IV:12123511:12123581:+
gene:WBGene00000122,tr_gene:WBGene00000122_2,IV:12123681:12123748:+
gene:WBGene00000122,tr_gene:WBGene00000122_2,IV:12124363:12124433:+
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12622515:12622589:-
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12622814:12623094:-
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12623296:12623665:-
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12624117:12624925:-
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12625438:12626361:-
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12626711:12627518:-
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12627842:12628368:-
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12628669:12629249:-
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12629464:12630103:-
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12630258:12630704:-
gene:WBGene00000186,tr_gene:WBGene00000186_1,IV:12630770:12630902:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12622527:12622589:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12622814:12623094:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12623296:12623665:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12624117:12624925:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12625438:12626361:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12626711:12627518:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12627842:12628368:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12628669:12629249:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12629464:12630103:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12630258:12630704:-
gene:WBGene00000186,tr_gene:WBGene00000186_2,IV:12630770:12630902:-
