gene_id,xscript_model_id,ERS_grp_num,flag_nonolp_pair,nonolp_xscript_id,num_ER
FBgn0036816,tr_FBgn0036816_1,1,0,,9
FBgn0036816,tr_FBgn0036816_2,1,0,,9
FBgn0036821,tr_FBgn0036821_3,2,0,,8
FBgn0036821,tr_FBgn0036821_4,2,0,,8
FBgn0036832,tr_FBgn0036832_1,3,0,,3
FBgn0036832,tr_FBgn0036832_2,3,0,,3
FBgn0036850,tr_FBgn0036850_1,4,0,,2
FBgn0036850,tr_FBgn0036850_2,4,0,,2
FBgn0036881,tr_FBgn0036881_1,5,0,,5
FBgn0036881,tr_FBgn0036881_2,5,0,,5
FBgn0036881,tr_FBgn0036881_3,5,0,,5
FBgn0036890,tr_FBgn0036890_1,6,0,,2
FBgn0036890,tr_FBgn0036890_2,6,0,,2
FBgn0036890,tr_FBgn0036890_3,6,0,,2
FBgn0036892,tr_FBgn0036892_1,7,0,,9
FBgn0036892,tr_FBgn0036892_2,7,0,,9
FBgn0036896,tr_FBgn0036896_2,8,0,,8
FBgn0036896,tr_FBgn0036896_3,8,0,,8
FBgn0036896,tr_FBgn0036896_4,8,0,,8
FBgn0036897,tr_FBgn0036897_2,9,0,,4
FBgn0036897,tr_FBgn0036897_3,9,0,,4
FBgn0036899,tr_FBgn0036899_1,10,0,,9
FBgn0036899,tr_FBgn0036899_2,10,0,,9
FBgn0036899,tr_FBgn0036899_3,10,0,,9
FBgn0036900,tr_FBgn0036900_1,11,0,,5
FBgn0036900,tr_FBgn0036900_2,11,0,,5
FBgn0036900,tr_FBgn0036900_3,11,0,,5
FBgn0036909,tr_FBgn0036909_1,12,0,,4
FBgn0036909,tr_FBgn0036909_2,12,0,,4
FBgn0036909,tr_FBgn0036909_3,12,0,,3
FBgn0036911,tr_FBgn0036911_1,13,0,,7
FBgn0036911,tr_FBgn0036911_2,13,0,,7
FBgn0036911,tr_FBgn0036911_3,13,0,,7
FBgn0036911,tr_FBgn0036911_4,13,0,,7
FBgn0036913,tr_FBgn0036913_1,14,0,,14
FBgn0036913,tr_FBgn0036913_2,14,0,,14
FBgn0036913,tr_FBgn0036913_3,14,0,,14
FBgn0036913,tr_FBgn0036913_4,14,0,,14
FBgn0036915,tr_FBgn0036915_1,15,0,,2
FBgn0036915,tr_FBgn0036915_2,15,0,,2
FBgn0036921,tr_FBgn0036921_1,16,0,,5
FBgn0036921,tr_FBgn0036921_2,16,0,,5
FBgn0036922,tr_FBgn0036922_1,17,0,,2
FBgn0036922,tr_FBgn0036922_2,17,0,,2
FBgn0036934,tr_FBgn0036934_1,18,0,,3
FBgn0036934,tr_FBgn0036934_2,18,0,,3
FBgn0036938,tr_FBgn0036938_1,19,0,,2
FBgn0036938,tr_FBgn0036938_2,19,0,,2
FBgn0036945,tr_FBgn0036945_1,20,0,,3
FBgn0036945,tr_FBgn0036945_2,20,0,,3
FBgn0036952,tr_FBgn0036952_1,21,0,,2
FBgn0036952,tr_FBgn0036952_2,21,0,,2
FBgn0036952,tr_FBgn0036952_3,22,0,,3
FBgn0036952,tr_FBgn0036952_4,22,0,,3
FBgn0036958,tr_FBgn0036958_1,23,0,,5
FBgn0036958,tr_FBgn0036958_2,23,0,,5
FBgn0036958,tr_FBgn0036958_3,24,0,,3
FBgn0036958,tr_FBgn0036958_4,24,0,,3
FBgn0036958,tr_FBgn0036958_5,25,0,,11
FBgn0036958,tr_FBgn0036958_7,25,0,,11
FBgn0036967,tr_FBgn0036967_2,26,0,,7
FBgn0036967,tr_FBgn0036967_3,26,0,,7
FBgn0036970,tr_FBgn0036970_1,27,0,,5
FBgn0036970,tr_FBgn0036970_2,27,0,,5
FBgn0036974,tr_FBgn0036974_2,28,0,,8
FBgn0036974,tr_FBgn0036974_3,28,0,,8
FBgn0036974,tr_FBgn0036974_4,28,0,,8
FBgn0036974,tr_FBgn0036974_5,28,0,,8
FBgn0036974,tr_FBgn0036974_6,28,0,,7
FBgn0036977,tr_FBgn0036977_1,29,0,,3
FBgn0036977,tr_FBgn0036977_2,29,0,,3
FBgn0036991,tr_FBgn0036991_1,30,0,,4
FBgn0036991,tr_FBgn0036991_2,30,0,,4
FBgn0036992,tr_FBgn0036992_1,31,0,,4
FBgn0036992,tr_FBgn0036992_2,31,0,,4
FBgn0036994,tr_FBgn0036994_1,32,0,,3
FBgn0036994,tr_FBgn0036994_2,32,0,,3
FBgn0037007,tr_FBgn0037007_1,33,0,,5
FBgn0037007,tr_FBgn0037007_2,33,0,,5
FBgn0037007,tr_FBgn0037007_3,33,0,,5
FBgn0037007,tr_FBgn0037007_4,34,0,,5
FBgn0037007,tr_FBgn0037007_5,34,0,,5
FBgn0037010,tr_FBgn0037010_1,35,0,,6
FBgn0037010,tr_FBgn0037010_2,35,0,,6
FBgn0037015,tr_FBgn0037015_1,36,0,,6
FBgn0037015,tr_FBgn0037015_2,36,0,,6
FBgn0037015,tr_FBgn0037015_3,36,0,,5
FBgn0037024,tr_FBgn0037024_1,37,0,,2
FBgn0037024,tr_FBgn0037024_2,37,0,,2
FBgn0037024,tr_FBgn0037024_3,37,0,,2
FBgn0037025,tr_FBgn0037025_1,38,0,,5
FBgn0037025,tr_FBgn0037025_2,38,0,,5
FBgn0037026,tr_FBgn0037026_1,39,0,,2
FBgn0037026,tr_FBgn0037026_2,39,0,,2
FBgn0037027,tr_FBgn0037027_1,40,0,,6
FBgn0037027,tr_FBgn0037027_2,40,0,,6
FBgn0037027,tr_FBgn0037027_3,40,0,,6
FBgn0037027,tr_FBgn0037027_4,40,0,,6
FBgn0037028,tr_FBgn0037028_1,41,0,,2
FBgn0037028,tr_FBgn0037028_2,41,0,,2
FBgn0037031,tr_FBgn0037031_2,42,0,,5
FBgn0037031,tr_FBgn0037031_3,42,0,,5
FBgn0037039,tr_FBgn0037039_1,43,0,,2
FBgn0037039,tr_FBgn0037039_2,43,1,tr_FBgn0037039_3,2
FBgn0037039,tr_FBgn0037039_3,43,1,tr_FBgn0037039_2,2
FBgn0037040,tr_FBgn0037040_1,44,1,tr_FBgn0037040_4|tr_FBgn0037040_2|tr_FBgn0037040_3,8
FBgn0037040,tr_FBgn0037040_5,44,0,,8
FBgn0037040,tr_FBgn0037040_2,44,1,tr_FBgn0037040_3|tr_FBgn0037040_1,9
FBgn0037040,tr_FBgn0037040_4,44,1,tr_FBgn0037040_1,9
