gene_id,xscript_model_id,ERS_grp_num,flag_nonolp_pair,nonolp_xscript_id,num_ER
XLOC_019285,mel_isoseq3cluster_XLOC_019285_2_mel_isoseq3cluster,1,1,mel_isoseq3cluster_XLOC_019285_1_mel_isoseq3cluster,1
XLOC_019285,mel_flair_XLOC_019285_1_mel_FLAIR,1,0,,1
XLOC_019271,mel_isoseq3cluster_XLOC_019271_1_mel_isoseq3cluster,2,0,,1
XLOC_019271,mel_flair_XLOC_019271_1_mel_FLAIR,2,0,,1
XLOC_019257,mel_isoseq3cluster_XLOC_019257_1_mel_isoseq3cluster,3,0,,1
XLOC_019257,mel_flair_XLOC_019257_1_mel_FLAIR,3,0,,1
XLOC_017440,mel_isoseq3cluster_XLOC_017440_1_mel_isoseq3cluster,4,0,,1
XLOC_017440,mel_flair_XLOC_017440_1_mel_FLAIR,4,0,,1
XLOC_017405,mel_isoseq3cluster_XLOC_017405_1_mel_isoseq3cluster,5,0,,1
XLOC_017405,mel_flair_XLOC_017405_1_mel_FLAIR,5,0,,1
XLOC_017386,mel_isoseq3cluster_XLOC_017386_1_mel_isoseq3cluster,6,0,,1
XLOC_017386,mel_flair_XLOC_017386_1_mel_FLAIR,6,0,,1
XLOC_015641,mel_isoseq3cluster_XLOC_015641_1_mel_isoseq3cluster,7,0,,1
XLOC_015641,mel_flair_XLOC_015641_1_mel_FLAIR,7,0,,1
XLOC_015628,mel_isoseq3cluster_XLOC_015628_2_mel_isoseq3cluster,8,0,,1
XLOC_015628,mel_flair_XLOC_015628_1_mel_FLAIR,8,0,,1
XLOC_014806,mel_isoseq3cluster_XLOC_014806_2_mel_isoseq3cluster,9,0,,5
XLOC_014806,mel_flair_XLOC_014806_1_mel_FLAIR,9,0,,5
XLOC_011815,mel_isoseq3cluster_XLOC_011815_1_mel_isoseq3cluster,10,0,,1
XLOC_011815,mel_flair_XLOC_011815_1_mel_FLAIR,10,0,,1
XLOC_011155,mel_isoseq3cluster_XLOC_011155_2_mel_isoseq3cluster,11,0,,1
XLOC_011155,mel_flair_XLOC_011155_2_mel_FLAIR,11,0,,1
XLOC_010891,mel_isoseq3cluster_XLOC_010891_1_mel_isoseq3cluster,12,0,,1
XLOC_010891,mel_flair_XLOC_010891_1_mel_FLAIR,12,0,,1
XLOC_010108,mel_isoseq3cluster_XLOC_010108_1_mel_isoseq3cluster,13,0,,1
XLOC_010108,mel_flair_XLOC_010108_1_mel_FLAIR,13,0,,1
XLOC_009899,mel_isoseq3cluster_XLOC_009899_1_mel_isoseq3cluster,14,0,,1
XLOC_009899,mel_flair_XLOC_009899_1_mel_FLAIR,14,0,,1
XLOC_009127,mel_isoseq3cluster_XLOC_009127_1_mel_isoseq3cluster,15,0,,1
XLOC_009127,mel_flair_XLOC_009127_1_mel_FLAIR,15,0,,1
XLOC_009097,mel_isoseq3cluster_XLOC_009097_2_mel_isoseq3cluster,16,0,,1
XLOC_009097,mel_flair_XLOC_009097_1_mel_FLAIR,16,0,,1
XLOC_009065,mel_isoseq3cluster_XLOC_009065_1_mel_isoseq3cluster,17,0,,1
XLOC_009065,mel_flair_XLOC_009065_1_mel_FLAIR,17,0,,1
XLOC_009058,mel_isoseq3cluster_XLOC_009058_1_mel_isoseq3cluster,18,0,,1
XLOC_009058,mel_flair_XLOC_009058_1_mel_FLAIR,18,0,,1
XLOC_008732,mel_isoseq3cluster_XLOC_008732_1_mel_isoseq3cluster,19,0,,1
XLOC_008732,mel_flair_XLOC_008732_1_mel_FLAIR,19,0,,1
XLOC_007541,mel_isoseq3cluster_XLOC_007541_1_mel_isoseq3cluster,20,0,,1
XLOC_007541,mel_flair_XLOC_007541_1_mel_FLAIR,20,0,,1
XLOC_007278,mel_isoseq3cluster_XLOC_007278_1_mel_isoseq3cluster,21,0,,1
XLOC_007278,mel_flair_XLOC_007278_1_mel_FLAIR,21,0,,1
XLOC_005521,mel_isoseq3cluster_XLOC_005521_1_mel_isoseq3cluster,22,0,,1
XLOC_005521,mel_flair_XLOC_005521_1_mel_FLAIR,22,0,,1
XLOC_004966,mel_isoseq3cluster_XLOC_004966_1_mel_isoseq3cluster,23,0,,1
XLOC_004966,mel_flair_XLOC_004966_1_mel_FLAIR,23,0,,1
XLOC_003636,mel_isoseq3cluster_XLOC_003636_1_mel_isoseq3cluster,24,0,,1
XLOC_003636,mel_flair_XLOC_003636_1_mel_FLAIR,24,0,,1
XLOC_003615,mel_isoseq3cluster_XLOC_003615_1_mel_isoseq3cluster,25,0,,1
XLOC_003615,mel_flair_XLOC_003615_1_mel_FLAIR,25,0,,1
XLOC_003194,mel_isoseq3cluster_XLOC_003194_1_mel_isoseq3cluster,26,0,,1
XLOC_003194,mel_flair_XLOC_003194_1_mel_FLAIR,26,0,,1
XLOC_002903,mel_isoseq3cluster_XLOC_002903_1_mel_isoseq3cluster,27,0,,1
XLOC_002903,mel_flair_XLOC_002903_1_mel_FLAIR,27,0,,1
XLOC_001643,mel_isoseq3cluster_XLOC_001643_1_mel_isoseq3cluster,28,0,,1
XLOC_001643,mel_flair_XLOC_001643_1_mel_FLAIR,28,0,,1
FBgn0285991,mel_isoseq3cluster_FBgn0285991_10_mel_isoseq3cluster,29,1,mel_isoseq3cluster_FBgn0285991_9_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0285991_12_mel_isoseq3cluster,6
FBgn0285991,mel_flair_FBgn0285991_1_mel_FLAIR,29,1,mel_flair_FBgn0285991_2_mel_FLAIR,6
FBgn0285963,mel_isoseq3cluster_FBgn0285963_4_mel_isoseq3cluster,30,0,,12
FBgn0285963,mel_flair_FBgn0285963_1_mel_FLAIR,30,0,,12
FBgn0285962,mel_isoseq3cluster_FBgn0285962_1_mel_isoseq3cluster,31,1,,4
FBgn0285962,mel_flair_FBgn0285962_1_mel_FLAIR,31,1,,4
FBgn0285958,mel_isoseq3cluster_FBgn0285958_1_mel_isoseq3cluster,32,0,,6
FBgn0285958,mel_flair_FBgn0285958_1_mel_FLAIR,32,0,,6
FBgn0285943,mel_isoseq3cluster_FBgn0285943_1_mel_isoseq3cluster,33,0,,2
FBgn0285943,mel_flair_FBgn0285943_1_mel_FLAIR,33,0,,2
FBgn0285925,mel_isoseq3cluster_FBgn0285925_49_mel_isoseq3cluster,34,0,,15
FBgn0285925,mel_flair_FBgn0285925_15_mel_FLAIR,34,0,,15
FBgn0285925,mel_isoseq3cluster_FBgn0285925_48_mel_isoseq3cluster,35,1,mel_isoseq3cluster_FBgn0285925_47_mel_isoseq3cluster,17
FBgn0285925,mel_flair_FBgn0285925_10_mel_FLAIR,35,0,,17
FBgn0285925,mel_isoseq3cluster_FBgn0285925_45_mel_isoseq3cluster,36,0,,15
FBgn0285925,mel_flair_FBgn0285925_8_mel_FLAIR,36,0,,15
FBgn0285925,mel_isoseq3cluster_FBgn0285925_44_mel_isoseq3cluster,37,0,,16
FBgn0285925,mel_flair_FBgn0285925_7_mel_FLAIR,37,0,,16
FBgn0285925,mel_isoseq3cluster_FBgn0285925_34_mel_isoseq3cluster,38,1,mel_isoseq3cluster_FBgn0285925_29_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0285925_31_mel_isoseq3cluster,5
FBgn0285925,mel_flair_FBgn0285925_4_mel_FLAIR,38,1,mel_isoseq3cluster_FBgn0285925_35_mel_isoseq3cluster,5
FBgn0285912,mel_isoseq3cluster_FBgn0285912_1_mel_isoseq3cluster,39,0,,5
FBgn0285912,mel_flair_FBgn0285912_1_mel_FLAIR,39,0,,5
FBgn0285911,mel_isoseq3cluster_FBgn0285911_1_mel_isoseq3cluster,40,0,,9
FBgn0285911,mel_flair_FBgn0285911_1_mel_FLAIR,40,0,,9
FBgn0284421,mel_isoseq3cluster_FBgn0284421_3_mel_isoseq3cluster,41,1,,9
FBgn0284421,mel_flair_FBgn0284421_2_mel_FLAIR,41,1,mel_flair_FBgn0284421_5_mel_FLAIR|mel_flair_FBgn0284421_4_mel_FLAIR,9
FBgn0284421,mel_isoseq3cluster_FBgn0284421_2_mel_isoseq3cluster,41,1,,9
FBgn0284421,mel_flair_FBgn0284421_1_mel_FLAIR,41,1,mel_flair_FBgn0284421_4_mel_FLAIR,9
FBgn0284257,mel_isoseq3cluster_FBgn0284257_10_mel_isoseq3cluster,42,0,,11
FBgn0284257,mel_flair_FBgn0284257_2_mel_FLAIR,42,0,,11
FBgn0284252,mel_isoseq3cluster_FBgn0284252_4_mel_isoseq3cluster,43,0,,5
FBgn0284252,mel_flair_FBgn0284252_1_mel_FLAIR,43,0,,5
FBgn0284249,mel_isoseq3cluster_FBgn0284249_2_mel_isoseq3cluster,44,1,,4
FBgn0284249,mel_flair_FBgn0284249_1_mel_FLAIR,44,1,,4
FBgn0284246,mel_isoseq3cluster_FBgn0284246_1_mel_isoseq3cluster,45,0,,3
FBgn0284246,mel_flair_FBgn0284246_1_mel_FLAIR,45,0,,3
FBgn0284245,mel_isoseq3cluster_FBgn0284245_1_mel_isoseq3cluster,46,0,,1
FBgn0284245,mel_flair_FBgn0284245_1_mel_FLAIR,46,0,,1
FBgn0284243,mel_isoseq3cluster_FBgn0284243_5_mel_isoseq3cluster,47,1,mel_isoseq3cluster_FBgn0284243_1_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0284243_3_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0284243_7_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0284243_6_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0284243_4_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0284243_8_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0284243_2_mel_isoseq3cluster,2
FBgn0284243,mel_flair_FBgn0284243_2_mel_FLAIR,47,0,,2
FBgn0284235,mel_isoseq3cluster_FBgn0284235_4_mel_isoseq3cluster,48,0,,12
FBgn0284235,mel_flair_FBgn0284235_1_mel_FLAIR,48,0,,12
FBgn0284221,mel_isoseq3cluster_FBgn0284221_2_mel_isoseq3cluster,49,0,,12
FBgn0284221,mel_flair_FBgn0284221_1_mel_FLAIR,49,0,,12
FBgn0284084,mel_isoseq3cluster_FBgn0284084_1_mel_isoseq3cluster,50,0,,5
FBgn0284084,mel_flair_FBgn0284084_1_mel_FLAIR,50,0,,5
FBgn0284082,mel_isoseq3cluster_FBgn0284082_1_mel_isoseq3cluster,51,0,,1
FBgn0284082,mel_flair_FBgn0284082_1_mel_FLAIR,51,0,,1
FBgn0283682,mel_isoseq3cluster_FBgn0283682_2_mel_isoseq3cluster,52,0,,6
FBgn0283682,mel_flair_FBgn0283682_1_mel_FLAIR,52,0,,6
FBgn0283681,mel_isoseq3cluster_FBgn0283681_1_mel_isoseq3cluster,53,0,,3
FBgn0283681,mel_flair_FBgn0283681_1_mel_FLAIR,53,0,,3
FBgn0283680,mel_isoseq3cluster_FBgn0283680_9_mel_isoseq3cluster,54,1,mel_isoseq3cluster_FBgn0283680_8_mel_isoseq3cluster,6
FBgn0283680,mel_flair_FBgn0283680_3_mel_FLAIR,54,0,,6
FBgn0283658,mel_isoseq3cluster_FBgn0283658_11_mel_isoseq3cluster,55,1,,7
FBgn0283658,mel_flair_FBgn0283658_4_mel_FLAIR,55,1,mel_isoseq3cluster_FBgn0283658_7_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0283658_14_mel_isoseq3cluster|mel_isoseq3cluster_FBgn0283658_13_mel_isoseq3cluster|mel_flair_FBgn0283658_5_mel_FLAIR,7
FBgn0283657,mel_isoseq3cluster_FBgn0283657_4_mel_isoseq3cluster,56,1,mel_isoseq3cluster_FBgn0283657_3_mel_isoseq3cluster,2
FBgn0283657,mel_flair_FBgn0283657_3_mel_FLAIR,56,0,,2
FBgn0283657,mel_isoseq3cluster_FBgn0283657_2_mel_isoseq3cluster,57,1,,2
FBgn0283657,mel_flair_FBgn0283657_2_mel_FLAIR,57,1,,2
