gene_id,transcript_id,ujc_id
FBgn0000003,FBtr0081624,tr_FBtr0081624
FBgn0000008,FBtr0071763,tr_FBtr0071763
FBgn0000008,FBtr0100521,tr_FBtr0100521
FBgn0000008,FBtr0342981,tr_FBtr0342981
FBgn0000008,FBtr0071764,tr_FBtr0071764
FBgn0000014,FBtr0300485,tr_FBtr0300485
FBgn0000014,FBtr0306337,tr_FBtr0300485
FBgn0000014,FBtr0083387,tr_FBtr0083387
FBgn0000014,FBtr0083388,tr_FBtr0083388
FBgn0000015,FBtr0083383,tr_FBtr0083383
FBgn0000015,FBtr0330709,tr_FBtr0083383
FBgn0000015,FBtr0346764,tr_FBtr0083383
FBgn0000015,FBtr0415464,tr_FBtr0083383
FBgn0000015,FBtr0083384,tr_FBtr0083384
FBgn0000015,FBtr0415463,tr_FBtr0083384
FBgn0000015,FBtr0083385,tr_FBtr0083385
FBgn0000015,FBtr0083381,tr_FBtr0083381
FBgn0000015,FBtr0415465,tr_FBtr0083381
FBgn0000015,FBtr0083382,tr_FBtr0083382
FBgn0000017,FBtr0075357,tr_FBtr0075357
FBgn0000017,FBtr0345369,tr_FBtr0075357
FBgn0000017,FBtr0112790,tr_FBtr0112790
FBgn0000017,FBtr0330136,tr_FBtr0112790
FBgn0000017,FBtr0330130,tr_FBtr0330130
FBgn0000017,FBtr0330131,tr_FBtr0330131
FBgn0000017,FBtr0330132,tr_FBtr0330132
FBgn0000017,FBtr0330133,tr_FBtr0330133
FBgn0000017,FBtr0330134,tr_FBtr0330134
FBgn0000017,FBtr0330135,tr_FBtr0330135
FBgn0000018,FBtr0080168,tr_FBtr0080168
FBgn0000022,FBtr0070072,tr_FBtr0070072
FBgn0000024,FBtr0335223,tr_FBtr0335223
FBgn0000024,FBtr0082780,tr_FBtr0082780
FBgn0000024,FBtr0300486,tr_FBtr0300486
FBgn0000028,FBtr0305191,tr_FBtr0305191
FBgn0000028,FBtr0100328,tr_FBtr0100328
FBgn0000028,FBtr0074015,tr_FBtr0074015
FBgn0000028,FBtr0100326,tr_FBtr0100326
FBgn0000028,FBtr0290063,tr_FBtr0290063
FBgn0000028,FBtr0290064,tr_FBtr0290064
FBgn0000028,FBtr0305189,tr_FBtr0305189
FBgn0000028,FBtr0305190,tr_FBtr0305190
FBgn0000028,FBtr0305192,tr_FBtr0305192
