gene_id,transcript_id,consolidation_transcript_id
IV:12108000,FLAIR_IV:12108000_1,tr_IV:12108000_1
IV:13421000,FLAIR_IV:13421000_1,tr_IV:13421000_1
IV:1399000,FLAIR_IV:1399000_1,tr_IV:1399000_1
IV:1969000,FLAIR_IV:1969000_1,tr_IV:1969000_1
IV:2709000,FLAIR_IV:2709000_1,tr_IV:2709000_1
IV:4178000,FLAIR_IV:4178000_1,tr_IV:4178000_1
IV:8978000,FLAIR_IV:8978000_1,tr_IV:8978000_1
gene:WBGene00000002,FLAIR_gene:WBGene00000002_1,tr_gene:WBGene00000002_1
gene:WBGene00000005,FLAIR_gene:WBGene00000005_1,tr_gene:WBGene00000005_1
gene:WBGene00000093,FLAIR_gene:WBGene00000093_1,tr_gene:WBGene00000093_1
gene:WBGene00000109,FLAIR_gene:WBGene00000109_1,tr_gene:WBGene00000109_1
gene:WBGene00000120,FLAIR_gene:WBGene00000120_1,tr_gene:WBGene00000120_1
gene:WBGene00000121,FLAIR_gene:WBGene00000121_1,tr_gene:WBGene00000121_1
gene:WBGene00000122,FLAIR_gene:WBGene00000122_2,tr_gene:WBGene00000122_2
gene:WBGene00000122,FLAIR_gene:WBGene00000122_1,tr_gene:WBGene00000122_1
gene:WBGene00000123,FLAIR_gene:WBGene00000123_1,tr_gene:WBGene00000123_1
gene:WBGene00000181,FLAIR_gene:WBGene00000181_1,tr_gene:WBGene00000181_1
gene:WBGene00000183,FLAIR_gene:WBGene00000183_1,tr_gene:WBGene00000183_1
gene:WBGene00000184,FLAIR_gene:WBGene00000184_1,tr_gene:WBGene00000184_1
gene:WBGene00000186,FLAIR_gene:WBGene00000186_1,tr_gene:WBGene00000186_1
gene:WBGene00000186,FLAIR_gene:WBGene00000186_2,tr_gene:WBGene00000186_2
gene:WBGene00000190,FLAIR_gene:WBGene00000190_1,tr_gene:WBGene00000190_1
gene:WBGene00000192,FLAIR_gene:WBGene00000192_1,tr_gene:WBGene00000192_1
gene:WBGene00000213,FLAIR_gene:WBGene00000213_1,tr_gene:WBGene00000213_1
gene:WBGene00000224,FLAIR_gene:WBGene00000224_1,tr_gene:WBGene00000224_1
gene:WBGene00000247,FLAIR_gene:WBGene00000247_1,tr_gene:WBGene00000247_1
gene:WBGene00000266,FLAIR_gene:WBGene00000266_1,tr_gene:WBGene00000266_1
gene:WBGene00000270,FLAIR_gene:WBGene00000270_1,tr_gene:WBGene00000270_1
gene:WBGene00000292,FLAIR_gene:WBGene00000292_1,tr_gene:WBGene00000292_1
gene:WBGene00000301,FLAIR_gene:WBGene00000301_1,tr_gene:WBGene00000301_1
gene:WBGene00000370,FLAIR_gene:WBGene00000370_1,tr_gene:WBGene00000370_1
gene:WBGene00000376,FLAIR_gene:WBGene00000376_2,tr_gene:WBGene00000376_2
gene:WBGene00000376,FLAIR_gene:WBGene00000376_1,tr_gene:WBGene00000376_1
gene:WBGene00000416,FLAIR_gene:WBGene00000416_1,tr_gene:WBGene00000416_1
gene:WBGene00000417,FLAIR_gene:WBGene00000417_1,tr_gene:WBGene00000417_1
gene:WBGene00000419,FLAIR_gene:WBGene00000419_1,tr_gene:WBGene00000419_1
gene:WBGene00000424,FLAIR_gene:WBGene00000424_1,tr_gene:WBGene00000424_1
gene:WBGene00000442,FLAIR_gene:WBGene00000442_1,tr_gene:WBGene00000442_1
gene:WBGene00000509,FLAIR_gene:WBGene00000509_2,tr_gene:WBGene00000509_2
gene:WBGene00000509,FLAIR_gene:WBGene00000509_1,tr_gene:WBGene00000509_1
