transcript_id,ujc_id
FBtr0081624,tr_FBgn0000003_1
FBtr0071764,tr_FBgn0000008_1
FBtr0071763,tr_FBgn0000008_2
FBtr0100521,tr_FBgn0000008_3
FBtr0342981,tr_FBgn0000008_4
FBtr0083388,tr_FBgn0000014_1
FBtr0083387,tr_FBgn0000014_2
FBtr0300485,tr_FBgn0000014_3
FBtr0306337,tr_FBgn0000014_3
FBtr0083384,tr_FBgn0000015_1
FBtr0415463,tr_FBgn0000015_1
FBtr0083383,tr_FBgn0000015_2
FBtr0330709,tr_FBgn0000015_2
FBtr0346764,tr_FBgn0000015_2
FBtr0415464,tr_FBgn0000015_2
FBtr0083382,tr_FBgn0000015_3
FBtr0083381,tr_FBgn0000015_4
FBtr0415465,tr_FBgn0000015_4
FBtr0083385,tr_FBgn0000015_5
FBtr0330130,tr_FBgn0000017_1
FBtr0330131,tr_FBgn0000017_2
FBtr0330132,tr_FBgn0000017_3
FBtr0330133,tr_FBgn0000017_4
FBtr0330134,tr_FBgn0000017_5
FBtr0330135,tr_FBgn0000017_6
FBtr0075357,tr_FBgn0000017_7
FBtr0345369,tr_FBgn0000017_7
FBtr0112790,tr_FBgn0000017_8
FBtr0330136,tr_FBgn0000017_8
FBtr0080168,tr_FBgn0000018_1
FBtr0070072,tr_FBgn0000022_1
FBtr0300486,tr_FBgn0000024_1
FBtr0082780,tr_FBgn0000024_2
FBtr0335223,tr_FBgn0000024_3
FBtr0074015,tr_FBgn0000028_1
FBtr0100326,tr_FBgn0000028_2
FBtr0290063,tr_FBgn0000028_3
FBtr0290064,tr_FBgn0000028_4
FBtr0305189,tr_FBgn0000028_5
FBtr0305190,tr_FBgn0000028_6
FBtr0305192,tr_FBgn0000028_7
FBtr0305193,tr_FBgn0000028_8
FBtr0305194,tr_FBgn0000028_9
FBtr0305195,tr_FBgn0000028_10
FBtr0305196,tr_FBgn0000028_11
FBtr0100328,tr_FBgn0000028_12
FBtr0305191,tr_FBgn0000028_13
FBtr0085610,tr_FBgn0000032_1
FBtr0085609,tr_FBgn0000032_2
FBtr0084619,tr_FBgn0000036_1
FBtr0330310,tr_FBgn0000036_1
FBtr0334916,tr_FBgn0000036_1
FBtr0072367,tr_FBgn0000037_1
FBtr0072368,tr_FBgn0000037_2
FBtr0073300,tr_FBgn0000038_1
FBtr0073299,tr_FBgn0000038_2
FBtr0084639,tr_FBgn0000039_1
FBtr0084640,tr_FBgn0000039_2
FBtr0070823,tr_FBgn0000042_1
FBtr0070822,tr_FBgn0000042_2
FBtr0100662,tr_FBgn0000042_2
FBtr0100663,tr_FBgn0000042_2
FBtr0345894,tr_FBgn0000042_2
FBtr0086029,tr_FBgn0000043_1
