"ERS_grp_num","ERS_grp_size","gene_id","xscripts","flag_nonolp_pair","flag_IR_exclusion"
1,2,"FBgn0038405","FBtr0344472|FBtr0100110",0,0
2,2,"FBgn0038419","FBtr0083325|FBtr0083326",0,0
3,2,"FBgn0038419","FBtr0345255|FBtr0334733",0,0
4,2,"FBgn0038420","FBtr0083324|FBtr0345202",0,0
5,4,"FBgn0038421","FBtr0332177|FBtr0345208|FBtr0392900|FBtr0083323",1,0
6,2,"FBgn0038422","FBtr0083320|FBtr0083321",0,0
7,2,"FBgn0038423","FBtr0300677|FBtr0300678",0,0
8,2,"FBgn0038425","FBtr0083288|FBtr0083287",0,0
9,2,"FBgn0038428","FBtr0083314|FBtr0337016",0,0
10,2,"FBgn0038429","FBtr0337015|FBtr0083289",0,0
11,2,"FBgn0038448","FBtr0331688|FBtr0331687",0,0
12,2,"FBgn0038453","FBtr0083336|FBtr0333728",0,0
13,2,"FBgn0038461","FBtr0083376|FBtr0337064",0,0
14,2,"FBgn0038462","FBtr0083375|FBtr0337063",0,0
15,2,"FBgn0038465","FBtr0083371|FBtr0337060",0,0
16,2,"FBgn0038469","FBtr0305130|FBtr0337062",0,0
17,3,"FBgn0038470","FBtr0305129|FBtr0339156|FBtr0339157",0,0
18,2,"FBgn0038475","FBtr0083424|FBtr0083422",0,0
19,2,"FBgn0038481","FBtr0083417|FBtr0346149",0,0
20,2,"FBgn0038488","FBtr0337043|FBtr0083414",0,0
21,2,"FBgn0038491","FBtr0337042|FBtr0083410",0,0
22,2,"FBgn0038492","FBtr0334402|FBtr0334403",0,0
23,2,"FBgn0038499","FBtr0083452|FBtr0302317",0,0
24,2,"FBgn0038504","FBtr0083447|FBtr0339531",0,0
25,2,"FBgn0038504","FBtr0083448|FBtr0339532",0,0
26,2,"FBgn0038515","FBtr0321266|FBtr0083505",0,0
27,2,"FBgn0038516","FBtr0083454|FBtr0083455",0,0
28,2,"FBgn0038524","FBtr0083462|FBtr0305308",0,0
29,2,"FBgn0038526","FBtr0345206|FBtr0083465",0,0
30,3,"FBgn0038532","FBtr0344347|FBtr0083476|FBtr0331347",0,0
31,3,"FBgn0038535","FBtr0089412|FBtr0089417|FBtr0089413",0,0
32,2,"FBgn0038539","FBtr0346730|FBtr0083533",0,0
33,2,"FBgn0038541","FBtr0344630|FBtr0332174",0,0
34,2,"FBgn0038542","FBtr0083532|FBtr0346161",0,0
35,2,"FBgn0038545","FBtr0305007|FBtr0083513",0,0
36,2,"FBgn0038547","FBtr0083528|FBtr0347216",0,0
37,2,"FBgn0038558","FBtr0083519|FBtr0308497",0,0
38,2,"FBgn0038569","FBtr0344646|FBtr0083623",0,0
39,2,"FBgn0038576","FBtr0083557|FBtr0336468",0,0
40,2,"FBgn0038590","FBtr0347215|FBtr0083605",0,0
