gene_id,num_sets,min_ER,max_ER,mean_ER,median_ER,min_grp_size,max_grp_size,mean_grp_size,median_grp_size
LOC107986886,2,4,4,4.0,4.0,1,2,1.5,1.5
LOC107986893,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107986930,2,3,3,3.0,3.0,1,2,1.5,1.5
LOC107986944,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107986974,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107986986,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107987043,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107987068,2,3,3,3.0,3.0,1,2,1.5,1.5
LOC107987088,1,4,4,4.0,4.0,3,3,3.0,3.0
LOC107987101,1,4,4,4.0,4.0,2,2,2.0,2.0
LOC107987124,1,4,4,4.0,4.0,2,2,2.0,2.0
LOC107987132,1,3,3,3.0,3.0,5,5,5.0,5.0
LOC107987137,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107987139,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107987172,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107987209,2,3,3,3.0,3.0,1,2,1.5,1.5
LOC107987228,1,2,2,2.0,2.0,2,2,2.0,2.0
LOC107987334,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107987348,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107987350,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC112267905,2,4,5,4.5,4.5,1,3,2.0,2.0
LOC112267937,1,2,2,2.0,2.0,2,2,2.0,2.0
LOC112267988,4,3,4,3.5,3.5,1,2,1.25,1.0
LOC112268008,2,3,3,3.0,3.0,1,2,1.5,1.5
LOC112268051,2,2,3,2.5,2.5,1,2,1.5,1.5
LOC112268061,1,2,2,2.0,2.0,2,2,2.0,2.0
LOC112268152,2,3,3,3.0,3.0,1,2,1.5,1.5
LOC112268195,1,2,2,2.0,2.0,2,2,2.0,2.0
LOC112268288,1,2,2,2.0,2.0,2,2,2.0,2.0
LOC112268446,2,3,3,3.0,3.0,2,3,2.5,2.5
LOC112268455,1,2,2,2.0,2.0,2,2,2.0,2.0
MFSD4A-AS1,1,4,4,4.0,4.0,2,2,2.0,2.0
NPY4R,1,2,2,2.0,2.0,2,2,2.0,2.0
PLCXD1_1,7,7,8,7.285714285714286,7.0,1,2,1.2857142857142858,1.0
TCONS_00068220,2,3,3,3.0,3.0,1,2,1.5,1.5
TTLL8,1,2,2,2.0,2.0,2,2,2.0,2.0
VAMP7_1,3,7,8,7.333333333333333,7.0,2,3,2.3333333333333335,2.0
ZBED1_1,2,2,2,2.0,2.0,1,2,1.5,1.5
LOC107984582,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107984613,1,3,3,3.0,3.0,3,3,3.0,3.0
LOC107984615,2,2,3,2.5,2.5,1,2,1.5,1.5
LOC107984634,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107984641,1,2,2,2.0,2.0,2,2,2.0,2.0
LOC107984676,1,4,4,4.0,4.0,2,2,2.0,2.0
LOC107984842,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107984859,1,3,3,3.0,3.0,3,3,3.0,3.0
LOC107984862,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107984905,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107984912,1,3,3,3.0,3.0,2,2,2.0,2.0
LOC107984960,1,2,2,2.0,2.0,4,4,4.0,4.0
LOC107985023,1,2,2,2.0,2.0,2,2,2.0,2.0
LOC107985036,1,8,8,8.0,8.0,2,2,2.0,2.0
LOC107985059,1,2,2,2.0,2.0,3,3,3.0,3.0
LOC107985088,3,3,5,4.0,4.0,1,2,1.3333333333333333,1.0
LOC107985091,2,3,4,3.5,3.5,1,2,1.5,1.5
LOC107985115,3,3,4,3.3333333333333335,3.0,1,2,1.3333333333333333,1.0
