gene_id,transcript_1,transcript_2,prop_ER_similar,flag_IR
FBgn0038404,FBtr0083253,FBtr0113241,0.857142857142857,0
FBgn0038405,FBtr0100110,FBtr0344472,1,1
FBgn0038419,FBtr0083325,FBtr0083326,1,1
FBgn0038419,FBtr0083325,FBtr0334733,0.666666666666667,0
FBgn0038419,FBtr0083325,FBtr0345255,0.666666666666667,0
FBgn0038419,FBtr0083326,FBtr0334733,0.666666666666667,1
FBgn0038419,FBtr0083326,FBtr0345255,0.666666666666667,1
FBgn0038419,FBtr0334733,FBtr0345255,1,0
FBgn0038420,FBtr0083324,FBtr0345202,1,0
FBgn0038421,FBtr0083323,FBtr0332177,0.75,0
FBgn0038421,FBtr0083323,FBtr0345208,1,0
FBgn0038421,FBtr0083323,FBtr0392900,1,0
FBgn0038421,FBtr0332177,FBtr0345208,1,1
FBgn0038421,FBtr0332177,FBtr0392900,0.75,0
FBgn0038421,FBtr0345208,FBtr0392900,1,0
FBgn0038422,FBtr0083320,FBtr0083321,1,0
FBgn0038423,FBtr0300677,FBtr0300678,1,0
FBgn0038425,FBtr0083287,FBtr0083288,1,1
FBgn0038427,FBtr0083315,FBtr0100643,0.909090909090909,0
FBgn0038427,FBtr0083315,FBtr0337017,0.909090909090909,0
FBgn0038427,FBtr0100643,FBtr0337017,0.818181818181818,0
FBgn0038428,FBtr0083314,FBtr0337016,1,0
FBgn0038429,FBtr0083289,FBtr0337015,1,0
FBgn0038435,FBtr0110962,FBtr0110963,0.333333333333333,0
FBgn0038448,FBtr0331687,FBtr0331688,1,0
FBgn0038453,FBtr0083336,FBtr0333728,1,0
FBgn0038460,FBtr0083377,FBtr0337065,0.5,0
FBgn0038460,FBtr0083377,FBtr0346338,0.5,0
FBgn0038460,FBtr0337065,FBtr0346338,0.5,0
FBgn0038461,FBtr0083376,FBtr0337064,1,0
FBgn0038462,FBtr0083375,FBtr0337063,1,0
FBgn0038465,FBtr0083371,FBtr0337060,1,0
FBgn0038466,FBtr0083372,FBtr0305271,0.75,0
FBgn0038469,FBtr0305130,FBtr0337062,1,0
FBgn0038470,FBtr0305129,FBtr0339156,1,0
FBgn0038470,FBtr0305129,FBtr0339157,1,0
FBgn0038470,FBtr0339156,FBtr0339157,1,0
FBgn0038475,FBtr0083422,FBtr0083423,0.714285714285714,0
FBgn0038475,FBtr0083422,FBtr0083424,1,0
FBgn0038475,FBtr0083423,FBtr0083424,0.714285714285714,0
