transcript_id,ujc_id
mel_FBtr0081624,tr_FBgn0000003_1
mel_FBtr0071764,tr_FBgn0000008_1
sim_FBtr0358259,tr_FBgn0000008_1
mel_FBtr0071763,tr_FBgn0000008_2
mel_FBtr0100521,tr_FBgn0000008_3
mel_FBtr0342981,tr_FBgn0000008_4
mel_FBtr0083388,tr_FBgn0000014_1
sim_FBtr0349354,tr_FBgn0000014_1
mel_FBtr0083387,tr_FBgn0000014_2
sim_FBtr0361182,tr_FBgn0000014_3
mel_FBtr0300485,tr_FBgn0000014_4
mel_FBtr0306337,tr_FBgn0000014_4
sim_FBtr0352852,tr_FBgn0000014_4
mel_FBtr0083384,tr_FBgn0000015_1
mel_FBtr0415463,tr_FBgn0000015_1
sim_FBtr0360356,tr_FBgn0000015_1
sim_FBtr0355191,tr_FBgn0000015_2
mel_FBtr0083383,tr_FBgn0000015_3
mel_FBtr0330709,tr_FBgn0000015_3
mel_FBtr0346764,tr_FBgn0000015_3
mel_FBtr0415464,tr_FBgn0000015_3
mel_FBtr0083382,tr_FBgn0000015_4
mel_FBtr0083381,tr_FBgn0000015_5
mel_FBtr0415465,tr_FBgn0000015_5
mel_FBtr0083385,tr_FBgn0000015_6
mel_FBtr0330130,tr_FBgn0000017_1
mel_FBtr0330131,tr_FBgn0000017_2
mel_FBtr0330132,tr_FBgn0000017_3
mel_FBtr0330133,tr_FBgn0000017_4
mel_FBtr0330134,tr_FBgn0000017_5
mel_FBtr0330135,tr_FBgn0000017_6
mel_FBtr0075357,tr_FBgn0000017_7
mel_FBtr0345369,tr_FBgn0000017_7
mel_FBtr0112790,tr_FBgn0000017_8
mel_FBtr0330136,tr_FBgn0000017_8
sim_FBtr0356447,tr_FBgn0000017_9
sim_FBtr0358397,tr_FBgn0000018_1
mel_FBtr0080168,tr_FBgn0000018_2
sim_FBtr0222118,tr_FBgn0000018_2
sim_FBtr0365347,tr_FBgn0000022_1
mel_FBtr0070072,tr_FBgn0000022_1
mel_FBtr0300486,tr_FBgn0000024_1
sim_FBtr0350636,tr_FBgn0000024_1
mel_FBtr0082780,tr_FBgn0000024_2
sim_FBtr0352990,tr_FBgn0000024_2
mel_FBtr0335223,tr_FBgn0000024_3
sim_FBtr0352207,tr_FBgn0000024_3
sim_FBtr0359992,tr_FBgn0000028_1
sim_FBtr0359429,tr_FBgn0000028_2
sim_FBtr0363590,tr_FBgn0000028_3
mel_FBtr0074015,tr_FBgn0000028_4
mel_FBtr0100326,tr_FBgn0000028_5
mel_FBtr0290063,tr_FBgn0000028_6
sim_FBtr0364108,tr_FBgn0000028_6
mel_FBtr0290064,tr_FBgn0000028_7
sim_FBtr0354362,tr_FBgn0000028_7
mel_FBtr0305189,tr_FBgn0000028_8
mel_FBtr0305190,tr_FBgn0000028_9
mel_FBtr0305192,tr_FBgn0000028_10
mel_FBtr0305193,tr_FBgn0000028_11
mel_FBtr0305194,tr_FBgn0000028_12
mel_FBtr0305195,tr_FBgn0000028_13
sim_FBtr0362039,tr_FBgn0000028_13
mel_FBtr0305196,tr_FBgn0000028_14
mel_FBtr0100328,tr_FBgn0000028_15
mel_FBtr0305191,tr_FBgn0000028_16
mel_FBtr0085610,tr_FBgn0000032_1
sim_FBtr0353386,tr_FBgn0000032_1
mel_FBtr0085609,tr_FBgn0000032_2
sim_FBtr0362500,tr_FBgn0000032_2
sim_FBtr0358979,tr_FBgn0000036_1
mel_FBtr0084619,tr_FBgn0000036_2
mel_FBtr0330310,tr_FBgn0000036_2
mel_FBtr0334916,tr_FBgn0000036_2
sim_FBtr0355473,tr_FBgn0000037_1
mel_FBtr0072367,tr_FBgn0000037_2
mel_FBtr0072368,tr_FBgn0000037_3
mel_FBtr0073300,tr_FBgn0000038_1
mel_FBtr0073299,tr_FBgn0000038_2
sim_FBtr0349242,tr_FBgn0000038_2
mel_FBtr0084640,tr_FBgn0000039_1
mel_FBtr0084639,tr_FBgn0000039_2
sim_FBtr0221013,tr_FBgn0000039_2
mel_FBtr0070823,tr_FBgn0000042_1
sim_FBtr0216674,tr_FBgn0000042_1
mel_FBtr0070822,tr_FBgn0000042_2
mel_FBtr0100662,tr_FBgn0000042_2
mel_FBtr0100663,tr_FBgn0000042_2
mel_FBtr0345894,tr_FBgn0000042_2
sim_FBtr0351580,tr_FBgn0000042_2
mel_FBtr0086029,tr_FBgn0000043_1
sim_FBtr0210252,tr_FBgn0000043_1
mel_FBtr0071519,tr_FBgn0000044_1
sim_FBtr0211458,tr_FBgn0000044_1
mel_FBtr0334090,tr_FBgn0000045_1
mel_FBtr0078478,tr_FBgn0000045_2
sim_FBtr0214925,tr_FBgn0000045_2
mel_FBtr0082786,tr_FBgn0000046_1
mel_FBtr0082785,tr_FBgn0000046_2
mel_FBtr0346242,tr_FBgn0000046_2
sim_FBtr0218819,tr_FBgn0000046_2
mel_FBtr0083143,tr_FBgn0000047_1
sim_FBtr0218935,tr_FBgn0000047_1
mel_FBtr0079221,tr_FBgn0000052_1
mel_FBtr0079219,tr_FBgn0000052_2
sim_FBtr0222515,tr_FBgn0000052_2
mel_FBtr0079220,tr_FBgn0000052_3
sim_FBtr0348014,tr_FBgn0000052_3
mel_FBtr0100353,tr_FBgn0000053_1
mel_FBtr0079431,tr_FBgn0000053_2
mel_FBtr0339663,tr_FBgn0000053_2
sim_FBtr0222428,tr_FBgn0000053_2
mel_FBtr0100590,tr_FBgn0000055_1
mel_FBtr0100594,tr_FBgn0000055_2
mel_FBtr0100589,tr_FBgn0000055_3
sim_FBtr0223878,tr_FBgn0000055_3
mel_FBtr0100187,tr_FBgn0000055_4
mel_FBtr0100593,tr_FBgn0000055_4
mel_FBtr0006151,tr_FBgn0000055_5
mel_FBtr0100591,tr_FBgn0000055_5
sim_FBtr0348491,tr_FBgn0000055_5
sim_FBtr0351844,tr_FBgn0000056_1
mel_FBtr0343699,tr_FBgn0000056_2
mel_FBtr0086744,tr_FBgn0000057_1
mel_FBtr0340288,tr_FBgn0000057_1
sim_FBtr0211253,tr_FBgn0000057_1
mel_FBtr0078053,tr_FBgn0000061_1
sim_FBtr0222930,tr_FBgn0000061_1
mel_FBtr0331348,tr_FBgn0000063_1
mel_FBtr0083478,tr_FBgn0000063_2
sim_FBtr0219090,tr_FBgn0000063_2
sim_FBtr0349216,tr_FBgn0000064_1
mel_FBtr0085000,tr_FBgn0000064_2
sim_FBtr0357947,tr_FBgn0000064_2
mel_FBtr0084999,tr_FBgn0000064_3
mel_FBtr0114544,tr_FBgn0000064_4
sim_FBtr0358080,tr_FBgn0000064_5
mel_FBtr0310660,tr_FBgn0000064_6
sim_FBtr0354132,tr_FBgn0000064_6
mel_FBtr0084995,tr_FBgn0000064_7
sim_FBtr0365535,tr_FBgn0000064_7
sim_FBtr0360463,tr_FBgn0000064_8
mel_FBtr0085001,tr_FBgn0000064_9
sim_FBtr0358013,tr_FBgn0000064_10
mel_FBtr0306657,tr_FBgn0000064_11
sim_FBtr0364624,tr_FBgn0000064_11
mel_FBtr0310661,tr_FBgn0000064_12
sim_FBtr0355167,tr_FBgn0000064_12
mel_FBtr0084994,tr_FBgn0000064_13
mel_FBtr0339614,tr_FBgn0000064_13
sim_FBtr0360068,tr_FBgn0000064_13
sim_FBtr0351482,tr_FBgn0000071_1
sim_FBtr0219804,tr_FBgn0000071_2
mel_FBtr0081619,tr_FBgn0000071_3
sim_FBtr0364098,tr_FBgn0000071_3
mel_FBtr0081620,tr_FBgn0000071_4
sim_FBtr0362774,tr_FBgn0000071_4
mel_FBtr0081618,tr_FBgn0000071_5
mel_FBtr0081154,tr_FBgn0000075_1
sim_FBtr0362359,tr_FBgn0000075_1
mel_FBtr0081153,tr_FBgn0000075_2
sim_FBtr0224094,tr_FBgn0000075_2
mel_FBtr0307281,tr_FBgn0000077_1
mel_FBtr0071331,tr_FBgn0000077_1
sim_FBtr0224471,tr_FBgn0000077_1
sim_FBtr0211160,tr_FBgn0000078_1
mel_FBtr0086983,tr_FBgn0000078_2
sim_FBtr0352857,tr_FBgn0000078_2
mel_FBtr0345521,tr_FBgn0000079_1
mel_FBtr0087004,tr_FBgn0000079_1
sim_FBtr0365329,tr_FBgn0000079_1
sim_FBtr0225404,tr_FBgn0000079_1
mel_FBtr0336797,tr_FBgn0000083_1
mel_FBtr0336798,tr_FBgn0000083_2
sim_FBtr0347765,tr_FBgn0000083_2
mel_FBtr0089519,tr_FBgn0000083_3
sim_FBtr0358707,tr_FBgn0000083_3
mel_FBtr0089517,tr_FBgn0000083_4
sim_FBtr0357992,tr_FBgn0000083_4
mel_FBtr0089520,tr_FBgn0000083_5
sim_FBtr0351886,tr_FBgn0000083_5
mel_FBtr0089518,tr_FBgn0000083_6
sim_FBtr0362607,tr_FBgn0000083_6
mel_FBtr0070025,tr_FBgn0000084_1
sim_FBtr0222839,tr_FBgn0000084_1
mel_FBtr0301931,tr_FBgn0000084_2
sim_FBtr0364330,tr_FBgn0000084_2
mel_FBtr0070504,tr_FBgn0000092_1
sim_FBtr0224515,tr_FBgn0000092_1
mel_FBtr0085611,tr_FBgn0000094_1
mel_FBtr0346141,tr_FBgn0000094_1
sim_FBtr0357678,tr_FBgn0000094_1
mel_FBtr0330659,tr_FBgn0000097_1
mel_FBtr0077851,tr_FBgn0000097_2
sim_FBtr0351129,tr_FBgn0000097_2
mel_FBtr0330658,tr_FBgn0000097_3
mel_FBtr0077850,tr_FBgn0000097_4
mel_FBtr0330660,tr_FBgn0000097_4
sim_FBtr0363218,tr_FBgn0000097_4
mel_FBtr0078481,tr_FBgn0000100_1
sim_FBtr0351537,tr_FBgn0000100_1
mel_FBtr0334113,tr_FBgn0000100_2
sim_FBtr0348116,tr_FBgn0000108_1
sim_FBtr0349958,tr_FBgn0000108_2
sim_FBtr0350494,tr_FBgn0000108_3
sim_FBtr0359035,tr_FBgn0000108_4
sim_FBtr0359678,tr_FBgn0000108_5
sim_FBtr0360312,tr_FBgn0000108_6
sim_FBtr0361891,tr_FBgn0000108_7
sim_FBtr0364346,tr_FBgn0000108_8
sim_FBtr0365014,tr_FBgn0000108_9
mel_FBtr0307292,tr_FBgn0000108_10
mel_FBtr0070109,tr_FBgn0000108_11
sim_FBtr0352971,tr_FBgn0000108_11
mel_FBtr0307293,tr_FBgn0000108_12
sim_FBtr0353459,tr_FBgn0000108_12
mel_FBtr0307295,tr_FBgn0000108_13
sim_FBtr0362791,tr_FBgn0000108_13
mel_FBtr0307291,tr_FBgn0000108_14
mel_FBtr0307294,tr_FBgn0000108_15
sim_FBtr0348052,tr_FBgn0000108_15
mel_FBtr0089420,tr_FBgn0000109_1
mel_FBtr0346440,tr_FBgn0000109_1
mel_FBtr0346441,tr_FBgn0000109_1
sim_FBtr0213337,tr_FBgn0000109_1
mel_FBtr0080347,tr_FBgn0000114_1
mel_FBtr0300567,tr_FBgn0000114_2
mel_FBtr0080345,tr_FBgn0000114_3
mel_FBtr0331644,tr_FBgn0000114_4
mel_FBtr0331645,tr_FBgn0000114_5
mel_FBtr0331647,tr_FBgn0000114_6
sim_FBtr0365248,tr_FBgn0000114_7
mel_FBtr0331646,tr_FBgn0000114_8
mel_FBtr0080344,tr_FBgn0000114_9
mel_FBtr0331648,tr_FBgn0000114_10
mel_FBtr0331998,tr_FBgn0000114_11
mel_FBtr0075517,tr_FBgn0000115_1
sim_FBtr0214496,tr_FBgn0000115_1
mel_FBtr0345030,tr_FBgn0000116_1
sim_FBtr0359591,tr_FBgn0000116_2
mel_FBtr0076546,tr_FBgn0000116_3
sim_FBtr0361385,tr_FBgn0000116_3
mel_FBtr0331550,tr_FBgn0000116_4
mel_FBtr0076545,tr_FBgn0000116_5
sim_FBtr0356324,tr_FBgn0000116_5
mel_FBtr0076544,tr_FBgn0000116_6
mel_FBtr0076543,tr_FBgn0000116_7
sim_FBtr0360725,tr_FBgn0000116_7
mel_FBtr0112791,tr_FBgn0000116_8
sim_FBtr0358856,tr_FBgn0000116_8
mel_FBtr0089988,tr_FBgn0000117_1
sim_FBtr0348386,tr_FBgn0000117_1
mel_FBtr0332583,tr_FBgn0000117_2
sim_FBtr0350559,tr_FBgn0000117_3
mel_FBtr0089989,tr_FBgn0000117_4
sim_FBtr0360456,tr_FBgn0000117_4
mel_FBtr0089990,tr_FBgn0000117_5
sim_FBtr0362463,tr_FBgn0000117_5
mel_FBtr0089991,tr_FBgn0000117_6
sim_FBtr0356341,tr_FBgn0000117_6
mel_FBtr0089992,tr_FBgn0000117_7
sim_FBtr0352079,tr_FBgn0000117_7
mel_FBtr0087702,tr_FBgn0000119_1
sim_FBtr0225669,tr_FBgn0000119_1
mel_FBtr0340229,tr_FBgn0000120_1
mel_FBtr0081030,tr_FBgn0000120_2
mel_FBtr0307350,tr_FBgn0000120_2
sim_FBtr0224036,tr_FBgn0000120_2
mel_FBtr0076599,tr_FBgn0000121_1
sim_FBtr0212879,tr_FBgn0000121_1
sim_FBtr0357618,tr_FBgn0000137_1
mel_FBtr0070075,tr_FBgn0000137_1
sim_FBtr0362834,tr_FBgn0000139_1
mel_FBtr0084659,tr_FBgn0000139_2
sim_FBtr0221025,tr_FBgn0000139_2
mel_FBtr0306171,tr_FBgn0000139_3
mel_FBtr0084660,tr_FBgn0000139_4
mel_FBtr0084692,tr_FBgn0000140_1
sim_FBtr0351629,tr_FBgn0000140_1
mel_FBtr0112793,tr_FBgn0000146_1
mel_FBtr0080165,tr_FBgn0000146_2
sim_FBtr0349156,tr_FBgn0000146_2
mel_FBtr0082483,tr_FBgn0000147_1
sim_FBtr0218702,tr_FBgn0000147_1
mel_FBtr0339146,tr_FBgn0000150_1
mel_FBtr0346150,tr_FBgn0000150_1
mel_FBtr0346611,tr_FBgn0000150_1
sim_FBtr0216247,tr_FBgn0000150_1
mel_FBtr0074372,tr_FBgn0000152_1
sim_FBtr0215644,tr_FBgn0000152_1
mel_FBtr0080542,tr_FBgn0000153_1
mel_FBtr0309960,tr_FBgn0000153_1
mel_FBtr0342712,tr_FBgn0000153_1
sim_FBtr0223838,tr_FBgn0000153_1
sim_FBtr0356853,tr_FBgn0000157_1
mel_FBtr0072378,tr_FBgn0000157_2
mel_FBtr0300076,tr_FBgn0000157_3
sim_FBtr0361895,tr_FBgn0000157_3
mel_FBtr0072379,tr_FBgn0000157_4
sim_FBtr0211811,tr_FBgn0000157_4
mel_FBtr0084869,tr_FBgn0000158_1
sim_FBtr0218132,tr_FBgn0000158_1
mel_FBtr0111000,tr_FBgn0000163_1
mel_FBtr0343763,tr_FBgn0000163_2
mel_FBtr0343764,tr_FBgn0000163_3
sim_FBtr0359179,tr_FBgn0000163_4
mel_FBtr0074388,tr_FBgn0000163_5
mel_FBtr0081664,tr_FBgn0000166_1
mel_FBtr0081665,tr_FBgn0000166_2
sim_FBtr0219430,tr_FBgn0000166_2
mel_FBtr0081666,tr_FBgn0000166_3
